Time,heaPum.heaPum.QCon_flow,chi.chi.QEva_flow
28500,38359.57,0.100582
28800,35625.31,0.100582
29100,56930.504,0.100582
29400,39103.74,0.100582
29700,32524.857,0.100582
30000,30897.445,0.100582
30300,57111.727,0.100582
30600,30305.096,0.100582
30900,26260.479,0.100582
31200,25962.928,0.100582
31500,38745.93,0.100582
31800,23814.158,0.100582
32100,21230.182,0.100582
32400,21299.89,0.100582
32700,22990.154,0.100582
33000,16393.795,0.100582
33300,19107.686,0.100582
33600,20450.322,0.100582
33900,22376.773,0.100582
34200,15271.702,0.100582
34500,19019.305,0.100582
34800,21115.916,0.100582
35100,58093.742,0.100582
35400,12286.282,0.100582
35700,9436.265,0.100582
36000,16612.98,0.100582
36300,18107.053,0.100582
36600,19203.088,0.100582
36900,19657.74,0.100582
37200,19298.664,0.100582
37500,13090.265,0.32581577
37800,15966.58,0.32581615
38100,16885.133,0.32581654
38400,35153.098,0.3258169
38700,13587.192,0.3258173
39000,15063.098,0.32581764
39300,15781.51,0.32581797
39600,16189.102,0.32581833
39900,14136.226,0.32581866
40200,13921.553,0.325819
40500,14597.261,0.3258193
40800,14953.922,0.32581964
41100,15095.004,0.32581997
41400,15374.054,0.32582027
41700,13204.333,0.32582057
42000,13508.947,0.32582086
42300,13674.529,0.32582116
42600,13772.087,0.32582143
42900,13417.005,0.3258217
43200,12355.792,0.32582197
43500,13847.547,0.32582223
43800,14145.142,0.3258225
44100,14266.612,0.32582274
44400,14220.426,0.325823
44700,14095.638,0.32582325
45000,13939.517,0.32582346
45300,13778.648,0.3258237
45600,13621.889,0.3258239
45900,13470.325,0.32582414
46200,13325.586,0.32582435
46500,13194.131,0.32582453
46800,13060.819,0.32582474
47100,10547.201,0.32582492
47400,10054.541,0.3258251
47700,9719.154,0.32582527
48000,9500.293,0.32582545
48300,9329.071,0.32582563
48600,9166.5,0.32582578
48900,9003.111,0.32582593
49200,8841.031,0.32582608
49500,8683.628,0.32582623
49800,8539.666,0.32582635
50100,8422.994,0.32582647
50400,8334.055,0.3258266
50700,8272.576,0.3258267
51000,8217.319,0.32582682
51300,8162.757,0.3258269
51600,8113.8765,0.32582703
51900,8071.2065,0.32582712
52200,8034.3213,0.3258272
52500,8002.4746,0.32582727
52800,7974.962,0.32582736
53100,7951.172,0.32582742
53400,7930.6553,0.32582748
53700,7913.0825,0.32582754
54000,7898.1,0.32582757
54300,7885.2354,0.32582763
54600,7873.795,0.32582766
54900,7863.416,0.3258277
55200,7857.019,0.3258277
55500,7859.089,0.32582772
55800,7864.519,0.32582772
56100,7867.238,0.32582772
56400,7867.1,0.32582772
56700,7865.1626,0.32582772
57000,7863.0337,0.32582772
57300,7861.9463,0.3258277
57600,7861.991,0.32582766
57900,7864.8906,0.32582763
58200,7868.311,0.3258276
58500,7870.309,0.32582754
58800,7873.232,0.3258275
59100,7878.407,0.32582745
59400,7861.5864,0.3258274
59700,7851.994,0.3258273
60000,7834.6514,0.32582724
60300,7811.7617,0.32582715
60600,7784.59,0.32582706
60900,7753.272,0.32582697
61200,7717.444,0.32582688
61500,7963.063,0.32582676
61800,8502.479,0.32582664
62100,9798.407,0.32582653
62400,10745.034,0.3258264
62700,11526.257,0.3258263
63000,12190.06,0.32582614
63300,12788.897,0.325826
63600,13364.421,0.32582584
63900,13935.602,0.3258257
64200,14505.973,0.32582554
64500,15071.806,0.32582536
64800,15627.445,0.32582518
65100,16164.099,0.325825
65400,16638.604,0.32582483
65700,16988.502,0.32582465
66000,17450.312,0.32582444
66300,18002.996,0.32582423
66600,18609.68,0.32582402
66900,19237.338,0.3258238
67200,19843.2,0.3258236
67500,21794.293,0.32582337
67800,22510.727,0.32582313
68100,23149.031,0.3258229
68400,2.2386098,0.32582265
68700,2.2386034,0.3258224
69000,2.238597,0.32582214
69300,2.2385905,0.32582188
69600,2.238584,0.3258216
69900,2.2385776,0.32582134
70200,2.2385712,0.32582104
70500,2.238565,0.32582077
70800,2.2385585,0.32582048
71100,2.238552,0.32582018
71400,2.2385457,0.32581988
71700,2.2385392,0.32581955
72000,2.2385328,0.32581925
72300,2.2385263,0.32581893
72600,2.23852,0.3258186
72900,2.2385135,0.32581824
73200,2.2385073,0.3258179
73500,2.2385008,0.32581756
73800,2.2384944,0.3258172
74100,2.238488,0.32581684
74400,2.2384815,0.32581648
74700,2.238475,0.32581612
75000,2.2384686,0.32581574
75300,2.2384622,0.32581535
75600,2.2384558,0.32581496
75900,2.2384496,0.32581457
76200,2.2384431,0.32581416
76500,2.2384367,0.32581377
76800,2.2384303,0.32581335
77100,2.2384238,0.32581294
77400,2.2384174,0.3258125
77700,2.238411,0.32581207
78000,2.2384045,0.32581162
78300,2.2383983,0.32581118
78600,2.2383919,0.32581073
78900,2.2383854,0.32581028
79200,2.238379,0.3258098
79500,2.2383726,0.32580936
79800,2.2383661,0.32580888
80100,2.2383597,0.3258084
80400,2.2383533,0.32580793
80700,2.2383468,0.32580742
81000,2.2383406,0.32580692
81300,2.2383342,0.3258064
81600,2.2383277,0.3258059
81900,2.2383213,0.3258054
82200,2.2383149,0.3258049
82500,2.2383084,0.32580435
82800,2.238302,0.32580382
83100,2.2382956,0.32580328
83400,2.2382894,0.32580274
83700,2.238283,0.32580218
84000,2.2382765,0.32580164
84300,2.23827,0.32580107
84600,2.2382636,0.3258005
84900,2.2382572,0.3257999
85200,2.2382507,0.32579935
85500,2.2382443,0.32579875
85800,2.238238,0.32579815
86100,2.2382317,0.32579756
86400,2.2382252,0.32579696
86700,2.2382188,0.32579637
87000,2.2382123,0.32579574
87300,2.238206,0.3257951
87600,2.2381995,0.3257945
87900,2.238193,0.32579386
88200,2.2381868,0.3257932
88500,2.2381804,0.32579258
88800,2.238174,0.32579193
89100,2.2381675,0.32579127
89400,2.238161,0.3257906
89700,2.2381546,0.32578993
90000,2.2381482,0.32578927
90300,2.2381418,0.3257886
90600,2.2381353,0.3257879
90900,2.2381291,0.3257872
91200,2.2381227,0.3257865
91500,2.2381163,0.3257858
91800,2.2381098,0.3257851
92100,2.2381034,0.3257844
92400,2.238097,0.32578364
92700,2.2380905,0.32578292
93000,2.238084,0.32578218
93300,2.2380779,0.32578146
93600,2.2380714,0.32578072
93900,2.238065,0.32577994
94200,2.2380586,0.3257792
94500,2.2380521,0.32577842
94800,2.2380457,0.32577768
95100,2.2380393,0.3257769
95400,2.2380328,0.3257761
95700,2.2380266,0.32577533
96000,2.2380202,0.32577455
96300,2.2380137,0.32577375
96600,2.2380073,0.32577294
96900,2.2380009,0.32577214
97200,2.2379944,0.3257713
97500,2.237988,0.3257705
97800,2.2379816,0.32576966
98100,2.2379751,0.32576883
98400,2.237969,0.325768
98700,2.2379625,0.32576716
99000,2.237956,0.3257663
99300,2.2379496,0.32576543
99600,2.2379432,0.32576457
99900,2.2379367,0.3257637
100200,2.2379303,0.32576284
100500,2.2379239,0.32576197
100800,2.2379174,0.32576108
101100,2.2379112,0.3257602
101400,2.2379048,0.3257593
101700,2.2378983,0.3257584
102000,2.237892,0.32575747
102300,2.2378855,0.32575655
102600,2.237879,0.32575566
102900,2.2378726,0.32575473
103200,2.2378662,0.32575378
103500,2.2378597,0.32575285
103800,2.2378535,0.3257519
104100,2.237847,0.32575095
104400,2.2378407,0.32575
104700,2.2378342,0.32574904
105000,2.2378278,0.3257481
105300,2.2378213,0.3257471
105600,2.237815,0.32574612
105900,2.2378085,0.32574514
106200,2.237802,0.32574415
106500,105210.03,0.32574317
106800,17681.57,0.32574216
107100,0.71317863,0.32574114
107400,0.71371263,0.32574013
107700,0.713758,0.32573912
108000,0.7138105,0.3257381
108300,983.80853,0.32573706
108600,8806.577,0.32573605
108900,23241.324,0.325735
109200,33250.73,0.32573396
109500,35410.76,0.3257329
109800,33891.895,0.32573184
110100,31955.05,0.32573077
110400,30758.088,0.3257297
110700,30344.11,0.32572863
111000,30442.89,0.32572755
111300,30737.117,0.32572645
111600,30983.887,0.32572538
111900,31093.797,0.32572427
112200,31093.375,0.32572317
112500,31047.63,0.32572207
112800,31005.791,0.32572094
113100,30987.727,0.32571983
113400,30990.71,0.3257187
113700,31251.754,0.32571757
114000,32437.629,0.3257164
114300,33548.98,0.32571527
114600,34033.047,0.32571414
114900,34019,0.32571298
115200,33810.676,0.32571182
115500,33238.57,0.32571065
115800,32124.143,0.32570946
116100,30782.566,0.3257083
116400,29445.016,0.3257071
116700,28199.646,0.32570592
117000,27039.592,0.32570472
117300,25937.604,0.32570353
117600,24850.31,0.3257023
117900,23760.082,0.3257011
118200,22666.8,0.3256999
118500,21564.846,0.32569867
118800,19175.139,0.32569742
119100,19279.111,0.3256962
119400,19045.56,0.32569495
119700,18898.883,0.3256937
120000,18792.941,0.32569245
120300,18688.05,0.3256912
120600,18573.043,0.32568994
120900,18460.781,0.32568866
121200,18334.76,0.32568738
121500,18212.92,0.3256861
121800,18096.098,0.32568482
122100,17984.422,0.32568353
122400,17877.887,0.32568222
122700,17773.512,0.32568094
123000,17664.598,0.32567963
123300,17552.906,0.32567832
123600,17438.373,0.32567698
123900,17320.824,0.32567567
124200,17200.57,0.32567433
124500,17077.725,0.32567298
124800,16952.861,0.32567164
125100,16827.262,0.3256703
125400,16703.074,0.32566893
125700,16582.24,0.3256676
126000,16466.34,0.32566622
126300,16354.449,0.32566485
126600,16237.481,0.32566348
126900,16117.372,0.32566208
127200,15994.459,0.3256607
127500,15869.133,0.3256593
127800,15742.538,0.3256579
128100,15615.986,0.3256565
128400,15490.354,0.3256551
128700,15365.827,0.32565367
129000,15242.461,0.32565227
129300,15120.448,0.32565084
129600,15000.058,0.3256494
129900,16161.059,0.32564795
130200,16261.87,0.32564652
130500,16266.166,0.32564506
130800,16167.786,0.3256436
131100,16027.096,0.32564214
131400,15880.779,0.32564068
131700,15740.81,0.32563922
132000,15606.897,0.32563773
132300,15475.184,0.32563624
132600,15343.371,0.32563475
132900,15211.093,0.32563326
133200,15079.854,0.32563177
133500,12514.545,0.32563025
133800,12000.491,0.32562876
134100,11709.887,0.32562724
134400,11604.005,0.32562572
134700,11601.42,0.3256242
135000,11650.771,0.32562265
135300,11722.402,0.3256211
135600,11798.04,0.32561958
135900,11869.294,0.32561803
136200,11931.21,0.32561645
136500,11978.088,0.3256149
136800,12006.339,0.32561332
137100,12016.52,0.32561177
137400,12016.047,0.3256102
137700,12004.813,0.3256086
138000,11986.23,0.325607
138300,11962.612,0.32560542
138600,11935.808,0.3256038
138900,11907.302,0.3256022
139200,11878.489,0.3256006
139500,11850.911,0.32559898
139800,11826.141,0.32559738
140100,11805.652,0.32559574
140400,11790.524,0.3255941
140700,11780.555,0.32559246
141000,11772.696,0.32559082
141300,11767.956,0.32558918
141600,11765.81,0.3255875
141900,11765.269,0.32558584
142200,11765.907,0.32558417
142500,11767.472,0.3255825
142800,11770.096,0.32558084
143100,11774.541,0.32557917
143400,11782.054,0.32557747
143700,11794.033,0.32557577
144000,11811.825,0.32557407
144300,11835.705,0.32557237
144600,11861.526,0.32557064
144900,11890.18,0.32556894
145200,11920.85,0.32556722
145500,11951.3,0.3255655
145800,11980.986,0.32556376
146100,12010.86,0.32556203
146400,12029.874,0.32556027
146700,12098.884,0.3255585
147000,12624.225,0.32555678
147300,13320.426,0.32555503
147600,13863.5,0.32555324
147900,14441.079,0.32555148
148200,14874.419,0.3255497
148500,15083.571,0.3255479
148800,14972.256,0.32554612
149100,14869.019,0.32554433
149400,15187.165,0.32554254
149700,15721.75,0.32554072
150000,16384.959,0.32553893
150300,17086.139,0.32553712
150600,17749.096,0.3255353
150900,18356.56,0.32553345
151200,18925.996,0.32553163
151500,19482.855,0.32552978
151800,20042.182,0.32552797
152100,20592.297,0.32552612
152400,21050.525,0.32552424
152700,21437.834,0.3255224
153000,21914.438,0.32552052
153300,22459.566,0.32551867
153600,23047.176,0.3255168
153900,23656.684,0.3255149
154200,24275.705,0.325513
154500,24899.34,0.32551113
154800,2.1578577,0.32550922
155100,2.157856,0.32550734
155400,2.1578543,0.32550544
155700,2.157853,0.3255035
156000,2.1578512,0.3255016
156300,2.1578496,0.32549965
156600,2.157848,0.32549775
156900,2.1578462,0.3254958
157200,2.1578445,0.32549387
157500,2.1578429,0.3254919
157800,2.1578412,0.32548997
158100,2.1578395,0.325488
158400,2.1578379,0.32548603
158700,2.1578362,0.32548407
159000,2.1578345,0.3254821
159300,2.1578329,0.32548013
159600,2.1578312,0.32547814
159900,2.1578295,0.32547617
160200,2.1578279,0.32547417
160500,2.1578262,0.32547218
160800,2.1578245,0.32547015
161100,2.1578228,0.32546815
161400,2.1578212,0.32546613
161700,2.1578195,0.3254641
162000,2.1578178,0.32546207
162300,2.1578162,0.32546005
162600,2.1578145,0.32545802
162900,2.1578128,0.32545596
163200,2.1578112,0.32545394
163500,2.1578095,0.32545188
163800,2.1578078,0.32544982
164100,2.1578062,0.32544774
164400,2.1578045,0.32544568
164700,2.1578028,0.3254436
165000,2.1578012,0.32544154
165300,2.1577995,0.32543945
165600,2.1577978,0.32543734
165900,2.1577961,0.32543525
166200,2.1577945,0.32543314
166500,2.1577928,0.32543105
166800,2.1577911,0.32542893
167100,2.1577895,0.32542682
167400,2.1577878,0.3254247
167700,2.1577861,0.32542256
168000,2.1577845,0.32542044
168300,2.1577828,0.3254183
168600,2.1577811,0.32541615
168900,2.1577795,0.325414
169200,2.1577778,0.32541183
169500,2.157776,0.32540968
169800,2.1577744,0.3254075
170100,2.1577728,0.32540533
170400,2.157771,0.32540315
170700,2.1577694,0.32540098
171000,2.1577678,0.3253988
171300,2.157766,0.3253966
171600,2.1577644,0.3253944
171900,2.1577628,0.3253922
172200,2.157761,0.32538998
172500,2.1577594,0.32538778
172800,2.1577578,0.32538557
173100,2.157756,0.32538334
173400,2.1577544,0.3253811
173700,2.1577528,0.32537887
174000,2.157751,0.32537663
174300,2.1577494,0.32537436
174600,2.1577477,0.32537213
174900,2.157746,0.32536986
175200,2.1577444,0.3253676
175500,2.1577427,0.32536533
175800,2.157741,0.32536307
176100,2.1577394,0.3253608
176400,2.1577377,0.3253585
176700,2.157736,0.32535622
177000,2.1577342,0.32535392
177300,2.1577325,0.32535163
177600,2.1577308,0.32534933
177900,2.1577291,0.325347
178200,2.1577275,0.3253447
178500,2.1577258,0.3253424
178800,2.1577241,0.32534006
179100,2.1577225,0.32533774
179400,2.1577208,0.32533538
179700,2.1577191,0.32533306
180000,2.1577175,0.3253307
180300,2.1577158,0.32532835
180600,2.1577141,0.325326
180900,2.1577125,0.32532364
181200,2.1577108,0.32532126
181500,2.1577091,0.3253189
181800,2.1577075,0.32531652
182100,2.1577058,0.32531413
182400,2.1577039,0.32531175
182700,2.1577022,0.32530934
183000,2.1577005,0.32530695
183300,2.1576989,0.32530454
183600,2.1576972,0.32530212
183900,2.1576955,0.3252997
184200,2.1576939,0.3252973
184500,2.1576922,0.32529488
184800,2.1576905,0.32529244
185100,2.1576889,0.32529
185400,2.1576872,0.32528755
185700,2.1576855,0.3252851
186000,2.1576838,0.32528266
186300,2.157682,0.32528022
186600,2.1576803,0.32527775
186900,2.1576786,0.32527527
187200,2.157677,0.3252728
187500,2.1576753,0.32527032
187800,2.1576736,0.32526785
188100,2.157672,0.32526535
188400,2.1576703,0.32526287
188700,2.1576686,0.32526037
189000,2.157667,0.32525787
189300,2.157665,0.32525536
189600,2.1576633,0.32525283
189900,2.1576617,0.32525033
190200,2.15766,0.3252478
190500,2.1576583,0.32524526
190800,2.1576567,0.32524273
191100,2.157655,0.3252402
191400,2.1576533,0.32523763
191700,2.1576517,0.3252351
192000,2.1576498,0.32523254
192300,2.157648,0.32522997
192600,2.1576464,0.3252274
192900,105709.23,0.32522485
193200,77473.89,0.32522225
193500,43.968277,0.3252197
193800,0.42527807,0.3252171
194100,0.4253306,0.3252145
194400,0.4253933,0.3252119
194700,672.8751,0.3252093
195000,7504.0444,0.3252067
195300,22670.035,0.32520407
195600,35199.62,0.32520145
195900,38956.594,0.32519883
196200,38052.945,0.3251962
196500,36279.938,0.32519358
196800,35146.51,0.32519093
197100,34832.19,0.32518828
197400,35087.895,0.32518566
197700,35563.22,0.325183
198000,35976.375,0.32518032
198300,36227.48,0.32517767
198600,36336.266,0.325175
198900,36351.11,0.32517233
199200,36311.004,0.32516965
199500,36232.535,0.32516694
199800,36114.137,0.32516426
200100,35980.793,0.32516158
200400,35858.258,0.32515886
200700,35734.066,0.32515615
201000,35606.754,0.32515344
201300,35486.875,0.32515073
201600,35384.516,0.32514802
201900,34937.164,0.32514527
202200,33908.04,0.32514256
202500,32610.615,0.32513982
202800,31301.959,0.32513708
203100,30105.959,0.32513434
203400,29027.68,0.32513157
203700,28034.223,0.32512882
204000,27069.734,0.32512605
204300,26103.885,0.32512328
204600,25113.062,0.3251205
204900,24095.506,0.32511774
205200,23057.398,0.32511497
205500,21427.11,0.32511216
205800,21870.46,0.32510936
206100,21858.523,0.3251066
206400,21803.24,0.3251038
206700,21741.97,0.32510096
207000,21646.537,0.32509816
207300,21543.455,0.32509533
207600,21422.36,0.32509252
207900,21272.756,0.3250897
208200,21108.654,0.32508686
208500,20931.48,0.325084
208800,20742.947,0.32508117
209100,20545.623,0.3250783
209400,20344.521,0.32507548
209700,20144.926,0.32507262
210000,19948.762,0.32506973
210300,19757.164,0.32506686
210600,19571.14,0.325064
210900,19390.574,0.3250611
211200,19215.117,0.32505822
211500,19043.287,0.32505533
211800,18874.582,0.32505244
212100,18706.506,0.32504955
212400,18540.273,0.32504663
212700,18370.725,0.32504374
213000,18206.611,0.32504082
213300,18041.508,0.3250379
213600,17885.734,0.32503498
213900,17703.877,0.32503203
214200,17559.158,0.3250291
214500,17398.17,0.32502615
214800,17240.953,0.3250232
215100,17085.033,0.32502025
215400,16930.432,0.3250173
215700,16777.602,0.32501435
216000,16626.25,0.32501137
216300,17778.371,0.32500842
216600,17860.371,0.32500544
216900,17813.818,0.32500246
217200,17659.371,0.32499948
217500,17469.545,0.32499647
217800,17283.834,0.3249935
218100,17112.395,0.32499048
218400,16954.912,0.32498747
218700,16809.58,0.32498446
219000,16675.785,0.32498145
219300,16554.316,0.32497844
219600,16446.818,0.3249754
219900,13892.93,0.32497236
220200,13326.905,0.32496932
220500,13022.02,0.32496628
220800,12902.857,0.32496324
221100,12864.265,0.3249602
221400,12848.185,0.32495713
221700,12827.794,0.3249541
222000,12796.893,0.32495102
222300,12758.567,0.32494795
222600,12717.474,0.32494485
222900,12676.548,0.32494178
223200,12636.477,0.32493868
223500,12596.649,0.32493562
223800,12555.756,0.32493252
224100,12512.462,0.32492942
224400,12465.939,0.32492632
224700,12415.97,0.3249232
225000,12362.723,0.3249201
225300,12306.521,0.32491696
225600,12247.912,0.32491383
225900,12187.9375,0.3249107
226200,12128.264,0.32490757
226500,12071.062,0.3249044
226800,12018.811,0.32490128
227100,11973.767,0.32489812
227400,11937.249,0.32489496
227700,11908.953,0.3248918
228000,11886.799,0.32488865
228300,11868.393,0.32488546
228600,11852.433,0.3248823
228900,11838.876,0.3248791
229200,11828.38,0.32487592
229500,11821.512,0.32487273
229800,11818.546,0.32486954
230100,11819.493,0.32486632
230400,11825.615,0.32486314
230700,11840.825,0.32485992
231000,11869.043,0.3248567
231300,11909.913,0.32485348
231600,11960.747,0.32485026
231900,12018.116,0.324847
232200,12079.113,0.3248438
232500,12144.133,0.32484055
232800,12213.631,0.3248373
233100,12281.539,0.32483405
233400,12338.796,0.3248308
233700,12381.83,0.32482752
234000,12412.319,0.32482427
234300,12735.571,0.324821
234600,13227.081,0.32481772
234900,13810.052,0.32481444
235200,14429.26,0.32481116
235500,15051.581,0.32480788
235800,15666.211,0.32480457
236100,16272.574,0.32480127
236400,16875.947,0.32479796
236700,17478.348,0.32479465
237000,18080.385,0.32479134
237300,18681.666,0.32478803
237600,19282.012,0.3247847
237900,19881.316,0.32478136
238200,20478.373,0.32477805
238500,21066.977,0.32477468
238800,21612.723,0.32477134
239100,22020.693,0.324768
239400,22507.549,0.32476464
239700,23082.822,0.3247613
240000,23715.027,0.32475793
240300,24373.406,0.32475457
240600,25036.193,0.3247512
240900,25692.58,0.3247478
241200,2.097215,0.32474443
241500,2.097217,0.32474104
241800,2.0972192,0.32473764
242100,2.0972214,0.32473424
242400,2.0972235,0.32473084
242700,2.0972257,0.32472745
243000,2.0972278,0.32472402
243300,2.0972297,0.3247206
243600,2.0972319,0.32471716
243900,2.097234,0.32471374
244200,2.0972362,0.3247103
244500,2.0972383,0.32470688
244800,2.0972404,0.32470343
245100,2.0972426,0.3247
245400,2.0972447,0.32469654
245700,2.097247,0.32469308
246000,2.097249,0.32468963
246300,2.097251,0.32468617
246600,2.097253,0.32468268
246900,2.0972552,0.3246792
247200,2.0972574,0.32467574
247500,2.0972595,0.32467225
247800,2.0972617,0.32466877
248100,2.0972638,0.32466525
248400,2.097266,0.32466176
248700,2.097268,0.32465824
249000,2.09727,0.32465473
249300,2.0972722,0.3246512
249600,2.0972743,0.3246477
249900,2.0972764,0.32464418
250200,2.0972786,0.32464066
250500,2.0972807,0.32463712
250800,2.097283,0.32463357
251100,2.097285,0.32463002
251400,2.097287,0.32462648
251700,2.097289,0.32462293
252000,2.0972912,0.32461938
252300,2.0972934,0.3246158
252600,2.0972955,0.32461223
252900,2.0972977,0.32460865
253200,2.0972998,0.32460508
253500,2.0973017,0.3246015
253800,2.0973039,0.32459792
254100,2.097306,0.32459432
254400,2.0973082,0.32459074
254700,2.0973103,0.32458714
255000,2.0973125,0.32458353
255300,2.0973146,0.32457992
255600,2.0973165,0.3245763
255900,2.0973186,0.32457268
256200,2.0973208,0.32456905
256500,2.097323,0.3245654
256800,2.097325,0.32456177
257100,2.0973272,0.32455814
257400,2.0973291,0.3245545
257700,2.0973313,0.32455084
258000,2.0973334,0.3245472
258300,2.0973356,0.32454354
258600,2.0973377,0.32453987
258900,2.0973399,0.3245362
259200,2.0973418,0.3245325
259500,2.097344,0.32452884
259800,2.097346,0.32452515
260100,2.0973482,0.32452148
260400,2.0973504,0.3245178
260700,2.0973523,0.3245141
261000,2.0973544,0.32451037
261300,2.0973566,0.32450667
261600,2.0973587,0.32450294
261900,2.0973608,0.32449925
262200,2.0973628,0.32449552
262500,2.097365,0.3244918
262800,2.097367,0.32448807
263100,2.0973692,0.32448432
263400,2.0973713,0.3244806
263700,2.0973732,0.32447684
264000,2.0973754,0.32447308
264300,2.0973775,0.32446933
264600,2.0973797,0.32446557
264900,2.0973818,0.32446182
265200,2.0973837,0.32445803
265500,2.097386,0.32445428
265800,2.097388,0.3244505
266100,2.0973902,0.3244467
266400,2.097392,0.32444292
266700,2.0973942,0.3244391
267000,2.0973964,0.32443532
267300,2.0973985,0.3244315
267600,2.0974004,0.32442772
267900,2.0974026,0.3244239
268200,2.0974047,0.3244201
268500,2.0974069,0.32441625
268800,2.0974088,0.32441244
269100,2.097411,0.3244086
269400,2.097413,0.32440478
269700,2.0974152,0.32440093
270000,2.097417,0.3243971
270300,2.0974193,0.32439324
270600,2.0974214,0.32438937
270900,2.0974236,0.32438552
271200,2.0974255,0.32438165
271500,2.0974276,0.32437778
271800,2.0974298,0.3243739
272100,2.097432,0.32437003
272400,2.0974338,0.32436615
272700,2.097436,0.32436225
273000,2.097438,0.32435837
273300,2.09744,0.32435447
273600,2.0974422,0.32435057
273900,2.0974443,0.32434666
274200,2.0974464,0.32434276
274500,2.0974483,0.32433882
274800,2.0974505,0.32433492
275100,2.0974526,0.324331
275400,2.0974545,0.32432705
275700,2.0974567,0.32432312
276000,2.0974588,0.32431918
276300,2.0974607,0.32431525
276600,2.097463,0.3243113
276900,2.097465,0.32430732
277200,2.0974672,0.3243034
277500,2.097469,0.32429942
277800,2.0974712,0.32429546
278100,2.0974734,0.32429147
278400,2.0974753,0.3242875
278700,2.0974774,0.3242835
279000,2.0974796,0.32427952
279300,106123.83,0.32427555
279600,76451.055,0.32427153
279900,2284.5193,0.32426754
280200,0.3968128,0.32426354
280500,0.39686406,0.32425952
280800,0.3969284,0.32425553
281100,1816.8752,0.3242515
281400,12113.478,0.32424748
281700,31026.354,0.32424346
282000,42347.93,0.3242394
282300,44053.004,0.32423538
282600,41885.527,0.32423133
282900,39479.793,0.32422727
283200,37928.824,0.32422322
283500,37232.867,0.32421917
283800,37109.098,0.3242151
284100,37227.45,0.32421106
284400,37339.18,0.32420698
284700,37353.34,0.3242029
285000,37293.617,0.3241988
285300,37213.01,0.32419473
285600,37142.883,0.32419065
285900,37084.812,0.32418656
286200,37024,0.32418245
286500,36956.477,0.32417837
286800,36880.85,0.32417426
287100,36793.19,0.32417014
287400,36691.188,0.32416603
287700,36572.727,0.3241619
288000,36434.945,0.32415777
288300,35899.164,0.32415363
288600,34734.74,0.32414952
288900,33282.527,0.32414538
289200,31797.387,0.32414123
289500,30394.49,0.32413706
289800,29089.242,0.32413292
290100,27855.635,0.32412875
290400,26658.527,0.3241246
290700,25482.008,0.32412043
291000,24315.766,0.32411626
291300,22595.428,0.3241121
291600,21221.486,0.3241079
291900,20908.283,0.3241037
292200,20657.615,0.3240995
292500,20530.326,0.32409534
292800,20428.918,0.32409114
293100,20314.557,0.32408693
293400,20179.008,0.3240827
