time,Occupancy[nZ],Occupancy[sZ]
527400,0,0
528300,0,0
529200,0,0
530100,0,0
531000,0,0
531900,0,0
532800,0,0
533700,0,0
534600,0,0
535500,0,0
536400,0,0
537300,0,0
538200,0,0
539100,0,0
540000,0,0
540900,0,0
541800,0,0
542700,0,0
543600,0,0
544500,100,100
545400,100,100
546300,100,100
547200,100,100
548100,150,150
549000,150,150
549900,150,150
550800,150,150
551700,158.333333333333,158.333333333333
552600,158.333333333333,158.333333333333
553500,158.333333333333,158.333333333333
554400,158.333333333333,158.333333333333
555300,166.666666666667,166.666666666667
556200,166.666666666667,166.666666666667
557100,166.666666666667,166.666666666667
558000,166.666666666667,166.666666666667
558900,166.666666666667,166.666666666667
559800,166.666666666667,166.666666666667
560700,166.666666666667,166.666666666667
561600,166.666666666667,166.666666666667
562500,150,150
563400,150,150
564300,150,150
565200,150,150
566100,150,150
567000,150,150
567900,150,150
568800,150,150
569700,166.666666666667,166.666666666667
570600,166.666666666667,166.666666666667
571500,166.666666666667,166.666666666667
572400,166.666666666667,166.666666666667
573300,150,150
574200,150,150
575100,150,150
576000,150,150
576900,100,100
577800,100,100
578700,100,100
579600,100,100
580500,66.6666666666667,66.6666666666667
581400,66.6666666666667,66.6666666666667
582300,66.6666666666667,66.6666666666667
583200,66.6666666666667,66.6666666666667
584100,50,50
585000,50,50
585900,50,50
586800,50,50
587700,0,0
588600,0,0
589500,0,0
590400,0,0
591300,0,0
592200,0,0
593100,0,0
594000,0,0
594900,0,0
595800,0,0
596700,0,0
597600,0,0
598500,0,0
599400,0,0
600300,0,0
601200,0,0
602100,0,0
603000,0,0
603900,0,0
604800,0,0
605700,0,0
606600,0,0
607500,0,0
608400,0,0
609300,0,0
610200,0,0
611100,0,0
612000,0,0
612900,0,0
613800,0,0
614700,0,0
615600,0,0
616500,0,0
617400,0,0
618300,0,0
619200,0,0
620100,0,0
621000,0,0
621900,0,0
622800,0,0
623700,0,0
624600,0,0
625500,0,0
626400,0,0
627300,0,0
628200,0,0
629100,0,0
630000,0,0
630900,100,100
631800,100,100
632700,100,100
633600,100,100
634500,150,150
635400,150,150
636300,150,150
637200,150,150
638100,158.333333333333,158.333333333333
639000,158.333333333333,158.333333333333
639900,158.333333333333,158.333333333333
640800,158.333333333333,158.333333333333
641700,166.666666666667,166.666666666667
642600,166.666666666667,166.666666666667
643500,,
644400,166.666666666667,166.666666666667
645300,166.666666666667,166.666666666667
646200,166.666666666667,166.666666666667
647100,166.666666666667,166.666666666667
648000,166.666666666667,166.666666666667
648900,150,150
649800,150,150
650700,150,150
651600,150,150
652500,150,150
653400,150,150
654300,150,150
655200,150,150
656100,166.666666666667,166.666666666667
657000,166.666666666667,166.666666666667
657900,166.666666666667,166.666666666667
658800,166.666666666667,166.666666666667
659700,150,150
660600,150,150
661500,150,150
662400,150,150
663300,100,100
664200,100,100
665100,100,100
666000,100,100
666900,66.6666666666667,66.6666666666667
667800,66.6666666666667,66.6666666666667
668700,66.6666666666667,66.6666666666667
669600,66.6666666666667,66.6666666666667
670500,50,50
671400,50,50
672300,50,50
673200,50,50
674100,0,0
675000,0,0
675900,0,0
676800,0,0
677700,0,0
678600,0,0
679500,0,0
680400,0,0
681300,0,0
682200,0,0
683100,0,0
684000,0,0
684900,0,0
685800,0,0
686700,0,0
687600,0,0
688500,0,0
689400,0,0
690300,0,0
691200,0,0
692100,0,0
693000,0,0
693900,0,0
694800,0,0
695700,0,0
696600,0,0
697500,0,0
698400,0,0
699300,0,0
700200,0,0
701100,0,0
702000,0,0
702900,0,0
703800,0,0
704700,0,0
705600,0,0
706500,0,0
707400,0,0
708300,0,0
709200,0,0
710100,0,0
711000,0,0
711900,0,0
712800,0,0
713700,0,0
714600,0,0
715500,0,0
716400,0,0
717300,0,0
718200,0,0
719100,0,0
720000,0,0
720900,0,0
721800,0,0
722700,0,0
723600,0,0
724500,0,0
725400,0,0
726300,0,0
727200,0,0
728100,0,0
729000,0,0
729900,0,0
730800,0,0
731700,0,0
732600,0,0
733500,0,0
734400,0,0
735300,0,0
736200,0,0
737100,0,0
738000,0,0
738900,0,0
739800,0,0
740700,0,0
741600,0,0
742500,0,0
743400,0,0
744300,0,0
745200,0,0
746100,0,0
747000,0,0
747900,0,0
748800,0,0
749700,0,0
750600,0,0
751500,0,0
752400,0,0
753300,0,0
754200,0,0
755100,0,0
756000,0,0
756900,0,0
757800,0,0
758700,0,0
759600,0,0
760500,0,0
761400,0,0
762300,0,0
763200,0,0
764100,0,0
765000,0,0
765900,0,0
766800,0,0
767700,0,0
768600,0,0
769500,0,0
770400,0,0
771300,0,0
772200,0,0
773100,0,0
774000,0,0
774900,0,0
775800,0,0
776700,0,0
777600,0,0
778500,0,0
779400,0,0
780300,0,0
781200,0,0
782100,0,0
783000,0,0
783900,0,0
784800,0,0
785700,0,0
786600,0,0
787500,0,0
788400,0,0
789300,0,0
790200,0,0
791100,0,0
792000,0,0
792900,0,0
793800,0,0
794700,0,0
795600,0,0
796500,0,0
797400,0,0
798300,0,0
799200,0,0
800100,0,0
801000,0,0
801900,0,0
802800,0,0
803700,0,0
804600,0,0
805500,0,0
806400,0,0
807300,0,0
808200,0,0
809100,0,0
810000,0,0
810900,0,0
811800,0,0
812700,0,0
813600,0,0
814500,0,0
815400,0,0
816300,0,0
817200,0,0
818100,0,0
819000,0,0
819900,0,0
820800,0,0
821700,0,0
822600,0,0
823500,0,0
824400,0,0
825300,0,0
826200,0,0
827100,0,0
828000,0,0
828900,0,0
829800,0,0
830700,0,0
831600,0,0
832500,0,0
833400,0,0
834300,0,0
835200,0,0
836100,0,0
837000,0,0
837900,0,0
838800,0,0
839700,0,0
840600,0,0
841500,0,0
842400,0,0
843300,0,0
844200,0,0
845100,0,0
846000,0,0
846900,0,0
847800,0,0
848700,0,0
849600,0,0
850500,0,0
851400,0,0
852300,0,0
853200,0,0
854100,0,0
855000,0,0
855900,0,0
856800,0,0
857700,0,0
858600,0,0
859500,0,0
860400,0,0
861300,0,0
862200,0,0
863100,0,0
864000,0,0
864900,0,0
865800,0,0
866700,0,0
867600,0,0
868500,0,0
869400,0,0
870300,0,0
871200,0,0
872100,0,0
873000,0,0
873900,0,0
874800,0,0
875700,0,0
876600,0,0
877500,0,0
878400,0,0
879300,0,0
880200,0,0
881100,0,0
882000,0,0
882900,0,0
883800,0,0
884700,0,0
885600,0,0
886500,0,0
887400,0,0
888300,0,0
889200,0,0
890100,100,100
891000,100,100
891900,100,100
892800,100,100
893700,150,150
894600,150,150
895500,150,150
896400,150,150
897300,158.333333333333,158.333333333333
898200,158.333333333333,158.333333333333
899100,158.333333333333,158.333333333333
900000,158.333333333333,158.333333333333
900900,166.666666666667,166.666666666667
901800,166.666666666667,166.666666666667
902700,166.666666666667,166.666666666667
903600,166.666666666667,166.666666666667
904500,166.666666666667,166.666666666667
905400,166.666666666667,166.666666666667
906300,166.666666666667,166.666666666667
907200,166.666666666667,166.666666666667
908100,150,150
909000,150,150
909900,150,150
910800,150,150
911700,150,150
912600,150,150
913500,150,150
914400,150,150
915300,166.666666666667,166.666666666667
916200,166.666666666667,166.666666666667
917100,166.666666666667,166.666666666667
918000,166.666666666667,166.666666666667
918900,150,150
919800,150,150
920700,150,150
921600,150,150
922500,100,100
923400,100,100
924300,100,100
925200,100,100
926100,66.6666666666667,66.6666666666667
927000,66.6666666666667,66.6666666666667
927900,66.6666666666667,66.6666666666667
928800,66.6666666666667,66.6666666666667
929700,50,50
930600,50,50
931500,50,50
932400,50,50
933300,0,0
934200,0,0
935100,0,0
936000,0,0
936900,0,0
937800,0,0
938700,0,0
939600,0,0
940500,0,0
941400,0,0
942300,0,0
943200,0,0
944100,0,0
945000,0,0
945900,0,0
946800,0,0
947700,0,0
948600,0,0
949500,0,0
950400,0,0
951300,0,0
952200,0,0
953100,0,0
954000,0,0
954900,0,0
955800,0,0
956700,0,0
957600,0,0
958500,0,0
959400,0,0
960300,0,0
961200,0,0
962100,0,0
963000,0,0
963900,0,0
964800,0,0
965700,0,0
966600,0,0
967500,0,0
968400,0,0
969300,0,0
970200,0,0
971100,0,0
972000,0,0
972900,0,0
973800,0,0
974700,0,0
975600,0,0
976500,100,100
977400,100,100
978300,100,100
979200,100,100
980100,150,150
981000,150,150
981900,150,150
982800,150,150
983700,158.333333333333,158.333333333333
984600,158.333333333333,158.333333333333
985500,158.333333333333,158.333333333333
986400,158.333333333333,158.333333333333
987300,166.666666666667,166.666666666667
988200,166.666666666667,166.666666666667
989100,166.666666666667,166.666666666667
990000,166.666666666667,166.666666666667
990900,166.666666666667,166.666666666667
991800,166.666666666667,166.666666666667
992700,166.666666666667,166.666666666667
993600,166.666666666667,166.666666666667
994500,150,150
995400,150,150
996300,150,150
997200,150,150
998100,150,150
999000,150,150
999900,150,150
1000800,150,150
1001700,166.666666666667,166.666666666667
1002600,166.666666666667,166.666666666667
1003500,166.666666666667,166.666666666667
1004400,166.666666666667,166.666666666667
1005300,150,150
1006200,150,150
1007100,150,150
1008000,150,150
1008900,100,100
1009800,100,100
1010700,100,100
1011600,100,100
1012500,66.6666666666667,66.6666666666667
1013400,66.6666666666667,66.6666666666667
1014300,66.6666666666667,66.6666666666667
1015200,66.6666666666667,66.6666666666667
1016100,50,50
1017000,50,50
1017900,50,50
1018800,50,50
1019700,0,0
1020600,0,0
1021500,0,0
1022400,0,0
1023300,0,0
1024200,0,0
1025100,0,0
1026000,0,0
1026900,0,0
1027800,0,0
1028700,0,0
1029600,0,0
1030500,0,0
1031400,0,0
1032300,0,0
1033200,0,0
1034100,0,0
1035000,0,0
1035900,0,0
1036800,0,0
1037700,0,0
1038600,0,0
1039500,0,0
1040400,0,0
1041300,0,0
1042200,0,0
1043100,0,0
1044000,0,0
1044900,0,0
1045800,0,0
1046700,0,0
1047600,0,0
1048500,0,0
1049400,0,0
1050300,0,0
1051200,0,0
1052100,0,0
1053000,0,0
1053900,0,0
1054800,0,0
1055700,0,0
1056600,0,0
1057500,0,0
1058400,0,0
1059300,0,0
1060200,0,0
1061100,0,0
1062000,0,0
1062900,100,100
1063800,100,100
1064700,100,100
1065600,100,100
1066500,150,150
1067400,150,150
1068300,150,150
1069200,150,150
1070100,158.333333333333,158.333333333333
1071000,158.333333333333,158.333333333333
1071900,158.333333333333,158.333333333333
1072800,158.333333333333,158.333333333333
1073700,166.666666666667,166.666666666667
1074600,166.666666666667,166.666666666667
1075500,166.666666666667,166.666666666667
1076400,166.666666666667,166.666666666667
1077300,166.666666666667,166.666666666667
1078200,166.666666666667,166.666666666667
1079100,166.666666666667,166.666666666667
1080000,166.666666666667,166.666666666667
1080900,150,150
1081800,150,150
1082700,150,150
1083600,150,150
1084500,150,150
1085400,150,150
1086300,150,150
1087200,150,150
1088100,166.666666666667,166.666666666667
1089000,166.666666666667,166.666666666667
1089900,166.666666666667,166.666666666667
1090800,166.666666666667,166.666666666667
1091700,150,150
1092600,150,150
1093500,150,150
1094400,150,150
1095300,100,100
1096200,100,100
1097100,100,100
1098000,100,100
1098900,66.6666666666667,66.6666666666667
1099800,66.6666666666667,66.6666666666667
1100700,66.6666666666667,66.6666666666667
1101600,66.6666666666667,66.6666666666667
1102500,50,50
1103400,50,50
1104300,50,50
1105200,50,50
1106100,0,0
1107000,0,0
1107900,0,0
1108800,0,0
1109700,0,0
1110600,0,0
1111500,0,0
1112400,0,0
1113300,0,0
1114200,0,0
1115100,0,0
1116000,0,0
1116900,0,0
1117800,0,0
1118700,0,0
1119600,0,0
1120500,0,0
1121400,0,0
1122300,0,0
1123200,0,0
1124100,0,0
1125000,0,0
1125900,0,0
1126800,0,0
1127700,0,0
1128600,0,0
1129500,0,0
1130400,0,0
1131300,0,0
1132200,0,0
1133100,0,0
1134000,0,0
1134900,0,0
1135800,0,0
1136700,0,0
1137600,0,0
1138500,0,0
1139400,0,0
1140300,0,0
1141200,0,0
1142100,0,0
1143000,0,0
1143900,0,0
1144800,0,0
1145700,0,0
1146600,0,0
1147500,0,0
1148400,0,0
1149300,100,100
1150200,100,100
1151100,100,100
1152000,100,100
1152900,150,150
1153800,150,150
1154700,150,150
1155600,150,150
1156500,158.333333333333,158.333333333333
1157400,158.333333333333,158.333333333333
1158300,158.333333333333,158.333333333333
1159200,158.333333333333,158.333333333333
1160100,166.666666666667,166.666666666667
1161000,166.666666666667,166.666666666667
1161900,166.666666666667,166.666666666667
1162800,166.666666666667,166.666666666667
1163700,166.666666666667,166.666666666667
1164600,166.666666666667,166.666666666667
1165500,166.666666666667,166.666666666667
1166400,166.666666666667,166.666666666667
1167300,150,150
1168200,150,150
1169100,150,150
1170000,150,150
1170900,150,150
1171800,150,150
1172700,150,150
1173600,150,150
1174500,166.666666666667,166.666666666667
1175400,166.666666666667,166.666666666667
1176300,166.666666666667,166.666666666667
1177200,166.666666666667,166.666666666667
1178100,150,150
1179000,150,150
1179900,150,150
1180800,150,150
1181700,100,100
1182600,100,100
1183500,100,100
1184400,100,100
1185300,66.6666666666667,66.6666666666667
1186200,66.6666666666667,66.6666666666667
1187100,66.6666666666667,66.6666666666667
1188000,66.6666666666667,66.6666666666667
1188900,50,50
1189800,50,50
1190700,50,50
1191600,50,50
1192500,0,0
1193400,0,0
1194300,0,0
1195200,0,0
1196100,0,0
1197000,0,0
1197900,0,0
1198800,0,0
1199700,0,0
1200600,0,0
1201500,0,0
1202400,0,0
1203300,0,0
1204200,0,0
1205100,0,0
1206000,0,0
1206900,0,0
1207800,0,0
1208700,0,0
1209600,0,0
1210500,0,0
1211400,0,0
1212300,0,0
1213200,0,0
1214100,0,0
1215000,0,0
1215900,0,0
1216800,0,0
1217700,0,0
1218600,0,0
1219500,0,0
1220400,0,0
1221300,0,0
1222200,0,0
1223100,0,0
1224000,0,0
1224900,0,0
1225800,0,0
1226700,0,0
1227600,0,0
1228500,0,0
1229400,0,0
1230300,0,0
1231200,0,0
1232100,0,0
1233000,0,0
1233900,0,0
1234800,0,0
1235700,100,100
1236600,100,100
1237500,100,100
1238400,100,100
1239300,150,150
1240200,150,150
1241100,150,150
1242000,150,150
1242900,158.333333333333,158.333333333333
1243800,158.333333333333,158.333333333333
1244700,158.333333333333,158.333333333333
1245600,158.333333333333,158.333333333333
1246500,166.666666666667,166.666666666667
1247400,166.666666666667,166.666666666667
1248300,166.666666666667,166.666666666667
1249200,166.666666666667,166.666666666667
1250100,166.666666666667,166.666666666667
1251000,166.666666666667,166.666666666667
1251900,166.666666666667,166.666666666667
1252800,166.666666666667,166.666666666667
1253700,150,150
1254600,150,150
1255500,150,150
1256400,150,150
1257300,150,150
1258200,150,150
1259100,150,150
1260000,150,150
1260900,166.666666666667,166.666666666667
1261800,166.666666666667,166.666666666667
1262700,166.666666666667,166.666666666667
1263600,166.666666666667,166.666666666667
1264500,150,150
1265400,150,150
1266300,150,150
1267200,150,150
1268100,100,100
1269000,100,100
1269900,100,100
1270800,100,100
1271700,66.6666666666667,66.6666666666667
1272600,66.6666666666667,66.6666666666667
1273500,66.6666666666667,66.6666666666667
1274400,66.6666666666667,66.6666666666667
1275300,50,50
1276200,50,50
1277100,50,50
1278000,50,50
1278900,0,0
1279800,0,0
1280700,0,0
1281600,0,0
1282500,0,0
1283400,0,0
1284300,0,0
1285200,0,0
1286100,0,0
1287000,0,0
1287900,0,0
1288800,0,0
1289700,0,0
1290600,0,0
1291500,0,0
1292400,0,0
1293300,0,0
1294200,0,0
1295100,0,0
1296000,0,0
1296900,0,0
1297800,0,0
1298700,0,0
1299600,0,0
1300500,0,0
1301400,0,0
1302300,0,0
1303200,0,0
1304100,0,0
1305000,0,0
1305900,0,0
1306800,0,0
1307700,0,0
1308600,0,0
1309500,0,0
1310400,0,0
1311300,0,0
1312200,0,0
1313100,0,0
1314000,0,0
1314900,0,0
1315800,0,0
1316700,0,0
1317600,0,0
1318500,0,0
1319400,0,0
1320300,0,0
1321200,0,0
1322100,0,0
1323000,0,0
1323900,0,0
1324800,0,0
1325700,0,0
1326600,0,0
1327500,0,0
1328400,0,0
1329300,0,0
1330200,0,0
1331100,0,0
1332000,0,0
1332900,0,0
1333800,0,0
1334700,0,0
1335600,0,0
1336500,0,0
1337400,0,0
1338300,0,0
1339200,0,0
1340100,0,0
1341000,0,0
1341900,0,0
1342800,0,0
1343700,0,0
1344600,0,0
1345500,0,0
1346400,0,0
1347300,0,0
1348200,0,0
1349100,0,0
1350000,0,0
1350900,0,0
1351800,0,0
1352700,0,0
1353600,0,0
1354500,0,0
1355400,0,0
1356300,0,0
1357200,0,0
1358100,0,0
1359000,0,0
1359900,0,0
1360800,0,0
1361700,0,0
1362600,0,0
1363500,0,0
1364400,0,0
1365300,0,0
1366200,0,0
1367100,0,0
1368000,0,0
1368900,0,0
1369800,0,0
1370700,0,0
1371600,0,0
1372500,0,0
1373400,0,0
1374300,0,0
1375200,0,0
1376100,0,0
1377000,0,0
1377900,0,0
1378800,0,0
1379700,0,0
1380600,0,0
1381500,0,0
1382400,0,0
1383300,0,0
1384200,0,0
1385100,0,0
1386000,0,0
1386900,0,0
1387800,0,0
1388700,0,0
1389600,0,0
1390500,0,0
1391400,0,0
1392300,0,0
1393200,0,0
1394100,0,0
1395000,0,0
1395900,0,0
1396800,0,0
1397700,0,0
1398600,0,0
1399500,0,0
1400400,0,0
1401300,0,0
1402200,0,0
1403100,0,0
1404000,0,0
1404900,0,0
1405800,0,0
1406700,0,0
1407600,0,0
1408500,0,0
1409400,0,0
1410300,0,0
1411200,0,0
1412100,0,0
1413000,0,0
1413900,0,0
1414800,0,0
1415700,0,0
1416600,0,0
1417500,0,0
1418400,0,0
1419300,0,0
1420200,0,0
1421100,0,0
1422000,0,0
1422900,0,0
1423800,0,0
1424700,0,0
1425600,0,0
1426500,0,0
1427400,0,0
1428300,0,0
1429200,0,0
1430100,0,0
1431000,0,0
1431900,0,0
1432800,0,0
1433700,0,0
1434600,0,0
1435500,0,0
1436400,0,0
1437300,0,0
1438200,0,0
1439100,0,0
1440000,0,0
1440900,0,0
1441800,0,0
1442700,0,0
1443600,0,0
1444500,0,0
1445400,0,0
1446300,0,0
1447200,0,0
1448100,0,0
1449000,0,0
1449900,0,0
1450800,0,0
1451700,0,0
1452600,0,0
1453500,0,0
1454400,0,0
1455300,0,0
1456200,0,0
1457100,0,0
1458000,0,0
1458900,0,0
1459800,0,0
1460700,0,0
1461600,0,0
