time,InternalGainsLat[nZ],InternalGainsLat[sZ],InternalGainsCon[nZ],InternalGainsCon[sZ],InternalGainsRad[nZ],InternalGainsRad[sZ]
120600,0,0,822.5,822.5,352.5,352.5
121500,0,0,822.5,822.5,352.5,352.5
122400,0,0,822.5,822.5,352.5,352.5
123300,0,0,822.5,822.5,352.5,352.5
124200,0,0,822.5,822.5,352.5,352.5
125100,0,0,822.5,822.5,352.5,352.5
126000,0,0,822.5,822.5,352.5,352.5
126900,0,0,822.5,822.5,352.5,352.5
127800,0,0,822.5,822.5,352.5,352.5
128700,0,0,822.5,822.5,352.5,352.5
129600,0,0,822.5,822.5,352.5,352.5
130500,0,0,822.5,822.5,352.5,352.5
131400,0,0,822.5,822.5,352.5,352.5
132300,0,0,822.5,822.5,352.5,352.5
133200,0,0,822.5,822.5,352.5,352.5
134100,0,0,822.5,822.5,352.5,352.5
135000,0,0,822.5,822.5,352.5,352.5
135900,0,0,822.5,822.5,352.5,352.5
136800,0,0,822.5,822.5,352.5,352.5
137700,0,0,822.5,822.5,352.5,352.5
138600,0,0,822.5,822.5,352.5,352.5
139500,0,0,822.5,822.5,352.5,352.5
140400,0,0,822.5,822.5,352.5,352.5
141300,0,0,822.5,822.5,352.5,352.5
142200,0,0,822.5,822.5,352.5,352.5
143100,0,0,822.5,822.5,352.5,352.5
144000,0,0,822.5,822.5,352.5,352.5
144900,0,0,822.5,822.5,352.5,352.5
145800,0,0,822.5,822.5,352.5,352.5
146700,0,0,822.5,822.5,352.5,352.5
147600,0,0,822.5,822.5,352.5,352.5
148500,0,0,822.5,822.5,352.5,352.5
149400,0,0,822.5,822.5,352.5,352.5
150300,0,0,822.5,822.5,352.5,352.5
151200,0,0,822.5,822.5,352.5,352.5
152100,0,0,822.5,822.5,352.5,352.5
153000,0,0,822.5,822.5,352.5,352.5
153900,0,0,822.5,822.5,352.5,352.5
154800,0,0,822.5,822.5,352.5,352.5
155700,0,0,822.5,822.5,352.5,352.5
156600,0,0,822.5,822.5,352.5,352.5
157500,0,0,822.5,822.5,352.5,352.5
158400,0,0,822.5,822.5,352.5,352.5
159300,0,0,822.5,822.5,352.5,352.5
160200,0,0,822.5,822.5,352.5,352.5
161100,0,0,822.5,822.5,352.5,352.5
162000,0,0,822.5,822.5,352.5,352.5
162900,0,0,822.5,822.5,352.5,352.5
163800,0,0,822.5,822.5,352.5,352.5
164700,0,0,822.5,822.5,352.5,352.5
165600,0,0,822.5,822.5,352.5,352.5
166500,0,0,822.5,822.5,352.5,352.5
167400,0,0,822.5,822.5,352.5,352.5
168300,0,0,822.5,822.5,352.5,352.5
169200,0,0,822.5,822.5,352.5,352.5
170100,0,0,822.5,822.5,352.5,352.5
171000,0,0,822.5,822.5,352.5,352.5
171900,0,0,822.5,822.5,352.5,352.5
172800,0,0,822.5,822.5,352.5,352.5
173700,0,0,822.5,822.5,352.5,352.5
174600,0,0,822.5,822.5,352.5,352.5
175500,0,0,822.5,822.5,352.5,352.5
176400,0,0,822.5,822.5,352.5,352.5
177300,0,0,822.5,822.5,352.5,352.5
178200,0,0,822.5,822.5,352.5,352.5
179100,0,0,822.5,822.5,352.5,352.5
180000,0,0,822.5,822.5,352.5,352.5
180900,0,0,822.5,822.5,352.5,352.5
181800,0,0,822.5,822.5,352.5,352.5
182700,0,0,822.5,822.5,352.5,352.5
183600,0,0,822.5,822.5,352.5,352.5
184500,0,0,822.5,822.5,352.5,352.5
185400,0,0,822.5,822.5,352.5,352.5
186300,0,0,822.5,822.5,352.5,352.5
187200,0,0,822.5,822.5,352.5,352.5
188100,0,0,822.5,822.5,352.5,352.5
189000,0,0,822.5,822.5,352.5,352.5
189900,0,0,822.5,822.5,352.5,352.5
190800,0,0,822.5,822.5,352.5,352.5
191700,0,0,822.5,822.5,352.5,352.5
192600,0,0,822.5,822.5,352.5,352.5
193500,0,0,822.5,822.5,352.5,352.5
194400,0,0,822.5,822.5,352.5,352.5
195300,0,0,822.5,822.5,352.5,352.5
196200,0,0,822.5,822.5,352.5,352.5
197100,0,0,822.5,822.5,352.5,352.5
198000,0,0,822.5,822.5,352.5,352.5
198900,0,0,822.5,822.5,352.5,352.5
199800,0,0,822.5,822.5,352.5,352.5
200700,0,0,822.5,822.5,352.5,352.5
201600,0,0,822.5,822.5,352.5,352.5
202500,0,0,822.5,822.5,352.5,352.5
203400,0,0,822.5,822.5,352.5,352.5
204300,0,0,822.5,822.5,352.5,352.5
205200,0,0,822.5,822.5,352.5,352.5
206100,0,0,822.5,822.5,352.5,352.5
207000,0,0,822.5,822.5,352.5,352.5
207900,0,0,822.5,822.5,352.5,352.5
208800,0,0,822.5,822.5,352.5,352.5
209700,0,0,822.5,822.5,352.5,352.5
210600,0,0,822.5,822.5,352.5,352.5
211500,0,0,822.5,822.5,352.5,352.5
212400,0,0,822.5,822.5,352.5,352.5
213300,0,0,822.5,822.5,352.5,352.5
214200,0,0,822.5,822.5,352.5,352.5
215100,0,0,822.5,822.5,352.5,352.5
216000,0,0,822.5,822.5,352.5,352.5
216900,0,0,822.5,822.5,352.5,352.5
217800,0,0,822.5,822.5,352.5,352.5
218700,0,0,822.5,822.5,352.5,352.5
219600,0,0,822.5,822.5,352.5,352.5
220500,0,0,822.5,822.5,352.5,352.5
221400,0,0,822.5,822.5,352.5,352.5
222300,0,0,822.5,822.5,352.5,352.5
223200,0,0,822.5,822.5,352.5,352.5
224100,0,0,822.5,822.5,352.5,352.5
225000,0,0,822.5,822.5,352.5,352.5
225900,0,0,822.5,822.5,352.5,352.5
226800,0,0,822.5,822.5,352.5,352.5
227700,0,0,822.5,822.5,352.5,352.5
228600,0,0,822.5,822.5,352.5,352.5
229500,0,0,822.5,822.5,352.5,352.5
230400,0,0,822.5,822.5,352.5,352.5
231300,0,0,822.5,822.5,352.5,352.5
232200,0,0,822.5,822.5,352.5,352.5
233100,0,0,822.5,822.5,352.5,352.5
234000,0,0,822.5,822.5,352.5,352.5
234900,0,0,822.5,822.5,352.5,352.5
235800,0,0,822.5,822.5,352.5,352.5
236700,0,0,822.5,822.5,352.5,352.5
237600,0,0,822.5,822.5,352.5,352.5
238500,0,0,822.5,822.5,352.5,352.5
239400,0,0,822.5,822.5,352.5,352.5
240300,0,0,822.5,822.5,352.5,352.5
241200,0,0,822.5,822.5,352.5,352.5
242100,0,0,822.5,822.5,352.5,352.5
243000,0,0,822.5,822.5,352.5,352.5
243900,0,0,822.5,822.5,352.5,352.5
244800,0,0,822.5,822.5,352.5,352.5
245700,0,0,822.5,822.5,352.5,352.5
246600,0,0,822.5,822.5,352.5,352.5
247500,0,0,822.5,822.5,352.5,352.5
248400,0,0,822.5,822.5,352.5,352.5
249300,0,0,822.5,822.5,352.5,352.5
250200,0,0,822.5,822.5,352.5,352.5
251100,0,0,822.5,822.5,352.5,352.5
252000,0,0,822.5,822.5,352.5,352.5
252900,0,0,822.5,822.5,352.5,352.5
253800,0,0,822.5,822.5,352.5,352.5
254700,0,0,822.5,822.5,352.5,352.5
255600,0,0,822.5,822.5,352.5,352.5
256500,0,0,822.5,822.5,352.5,352.5
257400,0,0,822.5,822.5,352.5,352.5
258300,0,0,822.5,822.5,352.5,352.5
259200,0,0,822.5,822.5,352.5,352.5
260100,0,0,822.5,822.5,352.5,352.5
261000,0,0,822.5,822.5,352.5,352.5
261900,0,0,822.5,822.5,352.5,352.5
262800,0,0,822.5,822.5,352.5,352.5
263700,0,0,822.5,822.5,352.5,352.5
264600,0,0,822.5,822.5,352.5,352.5
265500,0,0,822.5,822.5,352.5,352.5
266400,0,0,822.5,822.5,352.5,352.5
267300,0,0,822.5,822.5,352.5,352.5
268200,0,0,822.5,822.5,352.5,352.5
269100,0,0,822.5,822.5,352.5,352.5
270000,0,0,822.5,822.5,352.5,352.5
270900,0,0,822.5,822.5,352.5,352.5
271800,0,0,822.5,822.5,352.5,352.5
272700,0,0,822.5,822.5,352.5,352.5
273600,0,0,822.5,822.5,352.5,352.5
274500,0,0,822.5,822.5,352.5,352.5
275400,0,0,822.5,822.5,352.5,352.5
276300,0,0,822.5,822.5,352.5,352.5
277200,0,0,822.5,822.5,352.5,352.5
278100,0,0,822.5,822.5,352.5,352.5
279000,0,0,822.5,822.5,352.5,352.5
279900,0,0,822.5,822.5,352.5,352.5
280800,0,0,822.5,822.5,352.5,352.5
281700,0,0,822.5,822.5,352.5,352.5
282600,0,0,822.5,822.5,352.5,352.5
283500,0,0,822.5,822.5,352.5,352.5
284400,4500,4500,15675.833,15675.833,9965.833,9965.833
285300,4500,4500,15675.833,15675.833,9965.833,9965.833
286200,4500,4500,15675.833,15675.833,9965.833,9965.833
287100,4500,4500,15675.833,15675.833,9965.833,9965.833
288000,6750,6750,22560.834,22560.834,14480.833,14480.833
288900,6750,6750,22560.834,22560.834,14480.833,14480.833
289800,6750,6750,22560.834,22560.834,14480.833,14480.833
290700,6750,6750,22560.834,22560.834,14480.833,14480.833
291600,7125,7125,23708.334,23708.334,15233.333,15233.333
292500,7125,7125,23708.334,23708.334,15233.333,15233.333
293400,7125,7125,23708.334,23708.334,15233.333,15233.333
294300,7125,7125,23708.334,23708.334,15233.333,15233.333
295200,7500,7500,24855.834,24855.834,15985.833,15985.833
296100,7500,7500,24855.834,24855.834,15985.833,15985.833
297000,7500,7500,24855.834,24855.834,15985.833,15985.833
297900,7500,7500,24855.834,24855.834,15985.833,15985.833
298800,7500,7500,24855.834,24855.834,15985.833,15985.833
299700,7500,7500,24855.834,24855.834,15985.833,15985.833
300600,7500,7500,24855.834,24855.834,15985.833,15985.833
301500,7500,7500,24855.834,24855.834,15985.833,15985.833
302400,6750,6750,22560.834,22560.834,14480.833,14480.833
303300,6750,6750,22560.834,22560.834,14480.833,14480.833
304200,6750,6750,22560.834,22560.834,14480.833,14480.833
305100,6750,6750,22560.834,22560.834,14480.833,14480.833
306000,6750,6750,22560.834,22560.834,14480.833,14480.833
306900,6750,6750,22560.834,22560.834,14480.833,14480.833
307800,6750,6750,22560.834,22560.834,14480.833,14480.833
308700,6750,6750,22560.834,22560.834,14480.833,14480.833
309600,7500,7500,24855.834,24855.834,15985.833,15985.833
310500,7500,7500,24855.834,24855.834,15985.833,15985.833
311400,7500,7500,24855.834,24855.834,15985.833,15985.833
312300,7500,7500,24855.834,24855.834,15985.833,15985.833
313200,6750,6750,22560.834,22560.834,14480.833,14480.833
314100,6750,6750,22560.834,22560.834,14480.833,14480.833
315000,6750,6750,22560.834,22560.834,14480.833,14480.833
315900,6750,6750,22560.834,22560.834,14480.833,14480.833
316800,4500,4500,15675.833,15675.833,9965.833,9965.833
317700,4500,4500,15675.833,15675.833,9965.833,9965.833
318600,4500,4500,15675.833,15675.833,9965.833,9965.833
319500,4500,4500,15675.833,15675.833,9965.833,9965.833
320400,3000,3000,11085.833,11085.833,6955.8335,6955.8335
321300,3000,3000,11085.833,11085.833,6955.8335,6955.8335
322200,3000,3000,11085.833,11085.833,6955.8335,6955.8335
323100,3000,3000,11085.833,11085.833,6955.8335,6955.8335
324000,2250,2250,8790.833,8790.833,5450.8335,5450.8335
324900,2250,2250,8790.833,8790.833,5450.8335,5450.8335
325800,2250,2250,8790.833,8790.833,5450.8335,5450.8335
326700,2250,2250,8790.833,8790.833,5450.8335,5450.8335
327600,0,0,822.5,822.5,352.5,352.5
328500,0,0,822.5,822.5,352.5,352.5
329400,0,0,822.5,822.5,352.5,352.5
330300,0,0,822.5,822.5,352.5,352.5
331200,0,0,822.5,822.5,352.5,352.5
332100,0,0,822.5,822.5,352.5,352.5
333000,0,0,822.5,822.5,352.5,352.5
333900,0,0,822.5,822.5,352.5,352.5
334800,0,0,822.5,822.5,352.5,352.5
335700,0,0,822.5,822.5,352.5,352.5
336600,0,0,822.5,822.5,352.5,352.5
337500,0,0,822.5,822.5,352.5,352.5
338400,0,0,822.5,822.5,352.5,352.5
339300,0,0,822.5,822.5,352.5,352.5
340200,0,0,822.5,822.5,352.5,352.5
341100,0,0,822.5,822.5,352.5,352.5
342000,0,0,822.5,822.5,352.5,352.5
342900,0,0,822.5,822.5,352.5,352.5
343800,0,0,822.5,822.5,352.5,352.5
344700,0,0,822.5,822.5,352.5,352.5
345600,0,0,822.5,822.5,352.5,352.5
346500,0,0,822.5,822.5,352.5,352.5
347400,0,0,822.5,822.5,352.5,352.5
348300,0,0,822.5,822.5,352.5,352.5
349200,0,0,822.5,822.5,352.5,352.5
350100,0,0,822.5,822.5,352.5,352.5
351000,0,0,822.5,822.5,352.5,352.5
351900,0,0,822.5,822.5,352.5,352.5
352800,0,0,822.5,822.5,352.5,352.5
353700,0,0,822.5,822.5,352.5,352.5
354600,0,0,822.5,822.5,352.5,352.5
355500,0,0,822.5,822.5,352.5,352.5
356400,0,0,822.5,822.5,352.5,352.5
357300,0,0,822.5,822.5,352.5,352.5
358200,0,0,822.5,822.5,352.5,352.5
359100,0,0,822.5,822.5,352.5,352.5
360000,0,0,822.5,822.5,352.5,352.5
360900,0,0,822.5,822.5,352.5,352.5
361800,0,0,822.5,822.5,352.5,352.5
362700,0,0,822.5,822.5,352.5,352.5
363600,0,0,822.5,822.5,352.5,352.5
364500,0,0,822.5,822.5,352.5,352.5
365400,0,0,822.5,822.5,352.5,352.5
366300,0,0,822.5,822.5,352.5,352.5
367200,0,0,822.5,822.5,352.5,352.5
368100,0,0,822.5,822.5,352.5,352.5
369000,0,0,822.5,822.5,352.5,352.5
369900,0,0,822.5,822.5,352.5,352.5
370800,4500,4500,15675.833,15675.833,9965.833,9965.833
371700,4500,4500,15675.833,15675.833,9965.833,9965.833
372600,4500,4500,15675.833,15675.833,9965.833,9965.833
373500,4500,4500,15675.833,15675.833,9965.833,9965.833
374400,6750,6750,22560.834,22560.834,14480.833,14480.833
375300,6750,6750,22560.834,22560.834,14480.833,14480.833
376200,6750,6750,22560.834,22560.834,14480.833,14480.833
377100,6750,6750,22560.834,22560.834,14480.833,14480.833
378000,7125,7125,23708.334,23708.334,15233.333,15233.333
378900,7125,7125,23708.334,23708.334,15233.333,15233.333
379800,7125,7125,23708.334,23708.334,15233.333,15233.333
380700,7125,7125,23708.334,23708.334,15233.333,15233.333
381600,7500,7500,24855.834,24855.834,15985.833,15985.833
382500,7500,7500,24855.834,24855.834,15985.833,15985.833
383400,7500,7500,24855.834,24855.834,15985.833,15985.833
384300,7500,7500,24855.834,24855.834,15985.833,15985.833
385200,7500,7500,24855.834,24855.834,15985.833,15985.833
386100,7500,7500,24855.834,24855.834,15985.833,15985.833
387000,7500,7500,24855.834,24855.834,15985.833,15985.833
387900,7500,7500,24855.834,24855.834,15985.833,15985.833
388800,6750,6750,22560.834,22560.834,14480.833,14480.833
389700,6750,6750,22560.834,22560.834,14480.833,14480.833
390600,6750,6750,22560.834,22560.834,14480.833,14480.833
391500,6750,6750,22560.834,22560.834,14480.833,14480.833
392400,6750,6750,22560.834,22560.834,14480.833,14480.833
393300,6750,6750,22560.834,22560.834,14480.833,14480.833
394200,6750,6750,22560.834,22560.834,14480.833,14480.833
395100,6750,6750,22560.834,22560.834,14480.833,14480.833
396000,7500,7500,24855.834,24855.834,15985.833,15985.833
396900,7500,7500,24855.834,24855.834,15985.833,15985.833
397800,7500,7500,24855.834,24855.834,15985.833,15985.833
398700,7500,7500,24855.834,24855.834,15985.833,15985.833
399600,6750,6750,22560.834,22560.834,14480.833,14480.833
400500,6750,6750,22560.834,22560.834,14480.833,14480.833
401400,6750,6750,22560.834,22560.834,14480.833,14480.833
402300,6750,6750,22560.834,22560.834,14480.833,14480.833
403200,4500,4500,15675.833,15675.833,9965.833,9965.833
404100,4500,4500,15675.833,15675.833,9965.833,9965.833
405000,4500,4500,15675.833,15675.833,9965.833,9965.833
405900,4500,4500,15675.833,15675.833,9965.833,9965.833
406800,3000,3000,11085.833,11085.833,6955.8335,6955.8335
407700,3000,3000,11085.833,11085.833,6955.8335,6955.8335
408600,3000,3000,11085.833,11085.833,6955.8335,6955.8335
409500,3000,3000,11085.833,11085.833,6955.8335,6955.8335
410400,2250,2250,8790.833,8790.833,5450.8335,5450.8335
411300,2250,2250,8790.833,8790.833,5450.8335,5450.8335
412200,2250,2250,8790.833,8790.833,5450.8335,5450.8335
413100,2250,2250,8790.833,8790.833,5450.8335,5450.8335
414000,0,0,822.5,822.5,352.5,352.5
414900,0,0,822.5,822.5,352.5,352.5
415800,0,0,822.5,822.5,352.5,352.5
416700,0,0,822.5,822.5,352.5,352.5
417600,0,0,822.5,822.5,352.5,352.5
418500,0,0,822.5,822.5,352.5,352.5
419400,0,0,822.5,822.5,352.5,352.5
420300,0,0,822.5,822.5,352.5,352.5
421200,0,0,822.5,822.5,352.5,352.5
422100,0,0,822.5,822.5,352.5,352.5
423000,0,0,822.5,822.5,352.5,352.5
423900,0,0,822.5,822.5,352.5,352.5
424800,0,0,822.5,822.5,352.5,352.5
425700,0,0,822.5,822.5,352.5,352.5
426600,0,0,822.5,822.5,352.5,352.5
427500,0,0,822.5,822.5,352.5,352.5
428400,0,0,822.5,822.5,352.5,352.5
429300,0,0,822.5,822.5,352.5,352.5
430200,0,0,822.5,822.5,352.5,352.5
431100,0,0,822.5,822.5,352.5,352.5
432000,0,0,822.5,822.5,352.5,352.5
432900,0,0,822.5,822.5,352.5,352.5
433800,0,0,822.5,822.5,352.5,352.5
434700,0,0,822.5,822.5,352.5,352.5
435600,0,0,822.5,822.5,352.5,352.5
436500,0,0,822.5,822.5,352.5,352.5
437400,0,0,822.5,822.5,352.5,352.5
438300,0,0,822.5,822.5,352.5,352.5
439200,0,0,822.5,822.5,352.5,352.5
440100,0,0,822.5,822.5,352.5,352.5
441000,0,0,822.5,822.5,352.5,352.5
441900,0,0,822.5,822.5,352.5,352.5
442800,0,0,822.5,822.5,352.5,352.5
443700,0,0,822.5,822.5,352.5,352.5
444600,0,0,822.5,822.5,352.5,352.5
445500,0,0,822.5,822.5,352.5,352.5
446400,0,0,822.5,822.5,352.5,352.5
447300,0,0,822.5,822.5,352.5,352.5
448200,0,0,822.5,822.5,352.5,352.5
449100,0,0,822.5,822.5,352.5,352.5
450000,0,0,822.5,822.5,352.5,352.5
450900,0,0,822.5,822.5,352.5,352.5
451800,0,0,822.5,822.5,352.5,352.5
452700,0,0,822.5,822.5,352.5,352.5
453600,0,0,822.5,822.5,352.5,352.5
454500,0,0,822.5,822.5,352.5,352.5
455400,0,0,822.5,822.5,352.5,352.5
456300,0,0,822.5,822.5,352.5,352.5
457200,4500,4500,15675.833,15675.833,9965.833,9965.833
458100,4500,4500,15675.833,15675.833,9965.833,9965.833
459000,4500,4500,15675.833,15675.833,9965.833,9965.833
459900,4500,4500,15675.833,15675.833,9965.833,9965.833
460800,6750,6750,22560.834,22560.834,14480.833,14480.833
461700,6750,6750,22560.834,22560.834,14480.833,14480.833
462600,6750,6750,22560.834,22560.834,14480.833,14480.833
463500,6750,6750,22560.834,22560.834,14480.833,14480.833
464400,7125,7125,23708.334,23708.334,15233.333,15233.333
465300,7125,7125,23708.334,23708.334,15233.333,15233.333
466200,7125,7125,23708.334,23708.334,15233.333,15233.333
467100,7125,7125,23708.334,23708.334,15233.333,15233.333
468000,7500,7500,24855.834,24855.834,15985.833,15985.833
468900,7500,7500,24855.834,24855.834,15985.833,15985.833
469800,7500,7500,24855.834,24855.834,15985.833,15985.833
470700,7500,7500,24855.834,24855.834,15985.833,15985.833
471600,7500,7500,24855.834,24855.834,15985.833,15985.833
472500,7500,7500,24855.834,24855.834,15985.833,15985.833
473400,7500,7500,24855.834,24855.834,15985.833,15985.833
474300,7500,7500,24855.834,24855.834,15985.833,15985.833
475200,6750,6750,22560.834,22560.834,14480.833,14480.833
476100,6750,6750,22560.834,22560.834,14480.833,14480.833
477000,6750,6750,22560.834,22560.834,14480.833,14480.833
477900,6750,6750,22560.834,22560.834,14480.833,14480.833
478800,6750,6750,22560.834,22560.834,14480.833,14480.833
479700,6750,6750,22560.834,22560.834,14480.833,14480.833
480600,6750,6750,22560.834,22560.834,14480.833,14480.833
481500,6750,6750,22560.834,22560.834,14480.833,14480.833
482400,7500,7500,24855.834,24855.834,15985.833,15985.833
483300,7500,7500,24855.834,24855.834,15985.833,15985.833
484200,7500,7500,24855.834,24855.834,15985.833,15985.833
485100,7500,7500,24855.834,24855.834,15985.833,15985.833
486000,6750,6750,22560.834,22560.834,14480.833,14480.833
486900,6750,6750,22560.834,22560.834,14480.833,14480.833
487800,6750,6750,22560.834,22560.834,14480.833,14480.833
488700,6750,6750,22560.834,22560.834,14480.833,14480.833
489600,4500,4500,15675.833,15675.833,9965.833,9965.833
490500,4500,4500,15675.833,15675.833,9965.833,9965.833
491400,4500,4500,15675.833,15675.833,9965.833,9965.833
492300,4500,4500,15675.833,15675.833,9965.833,9965.833
493200,3000,3000,11085.833,11085.833,6955.8335,6955.8335
494100,3000,3000,11085.833,11085.833,6955.8335,6955.8335
495000,3000,3000,11085.833,11085.833,6955.8335,6955.8335
495900,3000,3000,11085.833,11085.833,6955.8335,6955.8335
496800,2250,2250,8790.833,8790.833,5450.8335,5450.8335
497700,2250,2250,8790.833,8790.833,5450.8335,5450.8335
498600,2250,2250,8790.833,8790.833,5450.8335,5450.8335
499500,2250,2250,8790.833,8790.833,5450.8335,5450.8335
500400,0,0,822.5,822.5,352.5,352.5
501300,0,0,822.5,822.5,352.5,352.5
502200,0,0,822.5,822.5,352.5,352.5
503100,0,0,822.5,822.5,352.5,352.5
504000,0,0,822.5,822.5,352.5,352.5
504900,0,0,822.5,822.5,352.5,352.5
