time,LowerSetp[nZ],UpperSetp[nZ],LowerSetp[sZ],UpperSetp[sZ],UpperCO2[nZ],UpperCO2[sZ]
47700,289.15,303.15,289.15,303.15,900,900
48600,289.15,303.15,289.15,303.15,900,900
49500,289.15,303.15,289.15,303.15,900,900
50400,289.15,303.15,289.15,303.15,900,900
51300,289.15,303.15,289.15,303.15,900,900
52200,289.15,303.15,289.15,303.15,900,900
53100,289.15,303.15,289.15,303.15,900,900
54000,289.15,303.15,289.15,303.15,900,900
54900,289.15,303.15,289.15,303.15,900,900
55800,289.15,303.15,289.15,303.15,900,900
56700,289.15,303.15,289.15,303.15,900,900
57600,289.15,303.15,289.15,303.15,900,900
58500,289.15,303.15,289.15,303.15,900,900
59400,289.15,303.15,289.15,303.15,900,900
60300,289.15,303.15,289.15,303.15,900,900
61200,289.15,303.15,289.15,303.15,900,900
62100,289.15,303.15,289.15,303.15,900,900
63000,289.15,303.15,289.15,303.15,900,900
63900,289.15,303.15,289.15,303.15,900,900
64800,289.15,303.15,289.15,303.15,900,900
65700,289.15,303.15,289.15,303.15,900,900
66600,289.15,303.15,289.15,303.15,900,900
67500,289.15,303.15,289.15,303.15,900,900
68400,289.15,303.15,289.15,303.15,900,900
69300,289.15,303.15,289.15,303.15,900,900
70200,289.15,303.15,289.15,303.15,900,900
71100,289.15,303.15,289.15,303.15,900,900
72000,289.15,303.15,289.15,303.15,900,900
72900,289.15,303.15,289.15,303.15,900,900
73800,289.15,303.15,289.15,303.15,900,900
74700,289.15,303.15,289.15,303.15,900,900
75600,289.15,303.15,289.15,303.15,900,900
76500,289.15,303.15,289.15,303.15,900,900
77400,289.15,303.15,289.15,303.15,900,900
78300,289.15,303.15,289.15,303.15,900,900
79200,289.15,303.15,289.15,303.15,900,900
80100,289.15,303.15,289.15,303.15,900,900
81000,289.15,303.15,289.15,303.15,900,900
81900,289.15,303.15,289.15,303.15,900,900
82800,289.15,303.15,289.15,303.15,900,900
83700,289.15,303.15,289.15,303.15,900,900
84600,289.15,303.15,289.15,303.15,900,900
85500,289.15,303.15,289.15,303.15,900,900
86400,289.15,303.15,289.15,303.15,900,900
87300,289.15,303.15,289.15,303.15,900,900
88200,289.15,303.15,289.15,303.15,900,900
89100,289.15,303.15,289.15,303.15,900,900
90000,289.15,303.15,289.15,303.15,900,900
90900,289.15,303.15,289.15,303.15,900,900
91800,289.15,303.15,289.15,303.15,900,900
92700,289.15,303.15,289.15,303.15,900,900
93600,289.15,303.15,289.15,303.15,900,900
94500,289.15,303.15,289.15,303.15,900,900
95400,289.15,303.15,289.15,303.15,900,900
96300,289.15,303.15,289.15,303.15,900,900
97200,289.15,303.15,289.15,303.15,900,900
98100,289.15,303.15,289.15,303.15,900,900
99000,289.15,303.15,289.15,303.15,900,900
99900,289.15,303.15,289.15,303.15,900,900
100800,289.15,303.15,289.15,303.15,900,900
101700,289.15,303.15,289.15,303.15,900,900
102600,289.15,303.15,289.15,303.15,900,900
103500,289.15,303.15,289.15,303.15,900,900
104400,289.15,303.15,289.15,303.15,900,900
105300,289.15,303.15,289.15,303.15,900,900
106200,289.15,303.15,289.15,303.15,900,900
107100,289.15,303.15,289.15,303.15,900,900
108000,289.15,303.15,289.15,303.15,900,900
108900,289.15,303.15,289.15,303.15,900,900
109800,289.15,303.15,289.15,303.15,900,900
110700,289.15,303.15,289.15,303.15,900,900
111600,289.15,303.15,289.15,303.15,900,900
112500,289.15,303.15,289.15,303.15,900,900
113400,289.15,303.15,289.15,303.15,900,900
114300,289.15,303.15,289.15,303.15,900,900
115200,289.15,303.15,289.15,303.15,900,900
116100,289.15,303.15,289.15,303.15,900,900
117000,289.15,303.15,289.15,303.15,900,900
117900,289.15,303.15,289.15,303.15,900,900
118800,289.15,303.15,289.15,303.15,900,900
119700,289.15,303.15,289.15,303.15,900,900
120600,289.15,303.15,289.15,303.15,900,900
121500,289.15,303.15,289.15,303.15,900,900
122400,289.15,303.15,289.15,303.15,900,900
123300,289.15,303.15,289.15,303.15,900,900
124200,289.15,303.15,289.15,303.15,900,900
125100,289.15,303.15,289.15,303.15,900,900
126000,289.15,303.15,289.15,303.15,900,900
126900,289.15,303.15,289.15,303.15,900,900
127800,289.15,303.15,289.15,303.15,900,900
128700,289.15,303.15,289.15,303.15,900,900
129600,289.15,303.15,289.15,303.15,900,900
130500,289.15,303.15,289.15,303.15,900,900
131400,289.15,303.15,289.15,303.15,900,900
132300,289.15,303.15,289.15,303.15,900,900
133200,289.15,303.15,289.15,303.15,900,900
134100,289.15,303.15,289.15,303.15,900,900
135000,289.15,303.15,289.15,303.15,900,900
135900,289.15,303.15,289.15,303.15,900,900
136800,289.15,303.15,289.15,303.15,900,900
137700,289.15,303.15,289.15,303.15,900,900
138600,289.15,303.15,289.15,303.15,900,900
139500,289.15,303.15,289.15,303.15,900,900
140400,289.15,303.15,289.15,303.15,900,900
141300,289.15,303.15,289.15,303.15,900,900
142200,289.15,303.15,289.15,303.15,900,900
143100,289.15,303.15,289.15,303.15,900,900
144000,289.15,303.15,289.15,303.15,900,900
144900,289.15,303.15,289.15,303.15,900,900
145800,289.15,303.15,289.15,303.15,900,900
146700,289.15,303.15,289.15,303.15,900,900
147600,289.15,303.15,289.15,303.15,900,900
148500,289.15,303.15,289.15,303.15,900,900
149400,289.15,303.15,289.15,303.15,900,900
150300,289.15,303.15,289.15,303.15,900,900
151200,289.15,303.15,289.15,303.15,900,900
152100,289.15,303.15,289.15,303.15,900,900
153000,289.15,303.15,289.15,303.15,900,900
153900,289.15,303.15,289.15,303.15,900,900
154800,289.15,303.15,289.15,303.15,900,900
155700,289.15,303.15,289.15,303.15,900,900
156600,289.15,303.15,289.15,303.15,900,900
157500,289.15,303.15,289.15,303.15,900,900
158400,289.15,303.15,289.15,303.15,900,900
159300,289.15,303.15,289.15,303.15,900,900
160200,289.15,303.15,289.15,303.15,900,900
161100,289.15,303.15,289.15,303.15,900,900
162000,289.15,303.15,289.15,303.15,900,900
162900,289.15,303.15,289.15,303.15,900,900
163800,289.15,303.15,289.15,303.15,900,900
164700,289.15,303.15,289.15,303.15,900,900
165600,289.15,303.15,289.15,303.15,900,900
166500,289.15,303.15,289.15,303.15,900,900
167400,289.15,303.15,289.15,303.15,900,900
168300,289.15,303.15,289.15,303.15,900,900
169200,289.15,303.15,289.15,303.15,900,900
170100,289.15,303.15,289.15,303.15,900,900
171000,289.15,303.15,289.15,303.15,900,900
171900,289.15,303.15,289.15,303.15,900,900
172800,289.15,303.15,289.15,303.15,900,900
173700,289.15,303.15,289.15,303.15,900,900
174600,289.15,303.15,289.15,303.15,900,900
175500,289.15,303.15,289.15,303.15,900,900
176400,289.15,303.15,289.15,303.15,900,900
177300,289.15,303.15,289.15,303.15,900,900
178200,289.15,303.15,289.15,303.15,900,900
179100,289.15,303.15,289.15,303.15,900,900
180000,289.15,303.15,289.15,303.15,900,900
180900,289.15,303.15,289.15,303.15,900,900
181800,289.15,303.15,289.15,303.15,900,900
182700,289.15,303.15,289.15,303.15,900,900
183600,289.15,303.15,289.15,303.15,900,900
184500,289.15,303.15,289.15,303.15,900,900
185400,289.15,303.15,289.15,303.15,900,900
186300,289.15,303.15,289.15,303.15,900,900
187200,289.15,303.15,289.15,303.15,900,900
188100,289.15,303.15,289.15,303.15,900,900
189000,289.15,303.15,289.15,303.15,900,900
189900,289.15,303.15,289.15,303.15,900,900
190800,289.15,303.15,289.15,303.15,900,900
191700,289.15,303.15,289.15,303.15,900,900
192600,289.15,303.15,289.15,303.15,900,900
193500,289.15,303.15,289.15,303.15,900,900
194400,289.15,303.15,289.15,303.15,900,900
195300,289.15,303.15,289.15,303.15,900,900
196200,289.15,303.15,289.15,303.15,900,900
197100,289.15,303.15,289.15,303.15,900,900
198000,289.15,303.15,289.15,303.15,900,900
198900,289.15,303.15,289.15,303.15,900,900
199800,289.15,303.15,289.15,303.15,900,900
200700,289.15,303.15,289.15,303.15,900,900
201600,289.15,303.15,289.15,303.15,900,900
202500,289.15,303.15,289.15,303.15,900,900
203400,289.15,303.15,289.15,303.15,900,900
204300,289.15,303.15,289.15,303.15,900,900
205200,289.15,303.15,289.15,303.15,900,900
206100,289.15,303.15,289.15,303.15,900,900
207000,289.15,303.15,289.15,303.15,900,900
207900,289.15,303.15,289.15,303.15,900,900
208800,289.15,303.15,289.15,303.15,900,900
209700,289.15,303.15,289.15,303.15,900,900
210600,289.15,303.15,289.15,303.15,900,900
211500,289.15,303.15,289.15,303.15,900,900
212400,289.15,303.15,289.15,303.15,900,900
213300,289.15,303.15,289.15,303.15,900,900
214200,289.15,303.15,289.15,303.15,900,900
215100,289.15,303.15,289.15,303.15,900,900
216000,289.15,303.15,289.15,303.15,900,900
216900,289.15,303.15,289.15,303.15,900,900
217800,289.15,303.15,289.15,303.15,900,900
218700,289.15,303.15,289.15,303.15,900,900
219600,289.15,303.15,289.15,303.15,900,900
220500,289.15,303.15,289.15,303.15,900,900
221400,289.15,303.15,289.15,303.15,900,900
222300,289.15,303.15,289.15,303.15,900,900
223200,289.15,303.15,289.15,303.15,900,900
224100,289.15,303.15,289.15,303.15,900,900
225000,289.15,303.15,289.15,303.15,900,900
225900,289.15,303.15,289.15,303.15,900,900
226800,289.15,303.15,289.15,303.15,900,900
227700,289.15,303.15,289.15,303.15,900,900
228600,289.15,303.15,289.15,303.15,900,900
229500,289.15,303.15,289.15,303.15,900,900
230400,289.15,303.15,289.15,303.15,900,900
231300,289.15,303.15,289.15,303.15,900,900
232200,289.15,303.15,289.15,303.15,900,900
233100,289.15,303.15,289.15,303.15,900,900
234000,289.15,303.15,289.15,303.15,900,900
234900,289.15,303.15,289.15,303.15,900,900
235800,289.15,303.15,289.15,303.15,900,900
236700,289.15,303.15,289.15,303.15,900,900
237600,289.15,303.15,289.15,303.15,900,900
238500,289.15,303.15,289.15,303.15,900,900
239400,289.15,303.15,289.15,303.15,900,900
240300,289.15,303.15,289.15,303.15,900,900
241200,289.15,303.15,289.15,303.15,900,900
242100,289.15,303.15,289.15,303.15,900,900
243000,289.15,303.15,289.15,303.15,900,900
243900,289.15,303.15,289.15,303.15,900,900
244800,289.15,303.15,289.15,303.15,900,900
245700,289.15,303.15,289.15,303.15,900,900
246600,289.15,303.15,289.15,303.15,900,900
247500,289.15,303.15,289.15,303.15,900,900
248400,289.15,303.15,289.15,303.15,900,900
249300,289.15,303.15,289.15,303.15,900,900
250200,289.15,303.15,289.15,303.15,900,900
251100,289.15,303.15,289.15,303.15,900,900
252000,289.15,303.15,289.15,303.15,900,900
252900,289.15,303.15,289.15,303.15,900,900
253800,289.15,303.15,289.15,303.15,900,900
254700,289.15,303.15,289.15,303.15,900,900
255600,289.15,303.15,289.15,303.15,900,900
256500,289.15,303.15,289.15,303.15,900,900
257400,289.15,303.15,289.15,303.15,900,900
258300,289.15,303.15,289.15,303.15,900,900
259200,289.15,303.15,289.15,303.15,900,900
260100,289.15,303.15,289.15,303.15,900,900
261000,289.15,303.15,289.15,303.15,900,900
261900,289.15,303.15,289.15,303.15,900,900
262800,289.15,303.15,289.15,303.15,900,900
263700,289.15,303.15,289.15,303.15,900,900
264600,289.15,303.15,289.15,303.15,900,900
265500,289.15,303.15,289.15,303.15,900,900
266400,289.15,303.15,289.15,303.15,900,900
267300,289.15,303.15,289.15,303.15,900,900
268200,289.15,303.15,289.15,303.15,900,900
269100,289.15,303.15,289.15,303.15,900,900
270000,289.15,303.15,289.15,303.15,900,900
270900,289.15,303.15,289.15,303.15,900,900
271800,289.15,303.15,289.15,303.15,900,900
272700,289.15,303.15,289.15,303.15,900,900
273600,289.15,303.15,289.15,303.15,900,900
274500,289.15,303.15,289.15,303.15,900,900
275400,289.15,303.15,289.15,303.15,900,900
276300,289.15,303.15,289.15,303.15,900,900
277200,289.15,303.15,289.15,303.15,900,900
278100,289.15,303.15,289.15,303.15,900,900
279000,289.15,303.15,289.15,303.15,900,900
279900,289.15,303.15,289.15,303.15,900,900
280800,289.15,303.15,289.15,303.15,900,900
281700,289.15,303.15,289.15,303.15,900,900
282600,289.15,303.15,289.15,303.15,900,900
283500,289.15,303.15,289.15,303.15,900,900
284400,294.15,298.15,294.15,298.15,900,900
285300,294.15,298.15,294.15,298.15,900,900
286200,294.15,298.15,294.15,298.15,900,900
287100,294.15,298.15,294.15,298.15,900,900
288000,294.15,298.15,294.15,298.15,900,900
288900,294.15,298.15,294.15,298.15,900,900
289800,294.15,298.15,294.15,298.15,900,900
290700,294.15,298.15,294.15,298.15,900,900
291600,294.15,298.15,294.15,298.15,900,900
292500,294.15,298.15,294.15,298.15,900,900
293400,294.15,298.15,294.15,298.15,900,900
294300,294.15,298.15,294.15,298.15,900,900
295200,294.15,298.15,294.15,298.15,900,900
296100,294.15,298.15,294.15,298.15,900,900
297000,294.15,298.15,294.15,298.15,900,900
297900,294.15,298.15,294.15,298.15,900,900
298800,294.15,298.15,294.15,298.15,900,900
299700,294.15,298.15,294.15,298.15,900,900
300600,294.15,298.15,294.15,298.15,900,900
301500,294.15,298.15,294.15,298.15,900,900
302400,294.15,298.15,294.15,298.15,900,900
303300,294.15,298.15,294.15,298.15,900,900
304200,294.15,298.15,294.15,298.15,900,900
305100,294.15,298.15,294.15,298.15,900,900
306000,294.15,298.15,294.15,298.15,900,900
306900,294.15,298.15,294.15,298.15,900,900
307800,294.15,298.15,294.15,298.15,900,900
308700,294.15,298.15,294.15,298.15,900,900
309600,294.15,298.15,294.15,298.15,900,900
310500,294.15,298.15,294.15,298.15,900,900
311400,294.15,298.15,294.15,298.15,900,900
312300,294.15,298.15,294.15,298.15,900,900
313200,294.15,298.15,294.15,298.15,900,900
314100,294.15,298.15,294.15,298.15,900,900
315000,294.15,298.15,294.15,298.15,900,900
315900,294.15,298.15,294.15,298.15,900,900
316800,294.15,298.15,294.15,298.15,900,900
317700,294.15,298.15,294.15,298.15,900,900
318600,294.15,298.15,294.15,298.15,900,900
319500,294.15,298.15,294.15,298.15,900,900
320400,294.15,298.15,294.15,298.15,900,900
321300,294.15,298.15,294.15,298.15,900,900
322200,294.15,298.15,294.15,298.15,900,900
323100,294.15,298.15,294.15,298.15,900,900
324000,294.15,298.15,294.15,298.15,900,900
324900,294.15,298.15,294.15,298.15,900,900
325800,294.15,298.15,294.15,298.15,900,900
326700,294.15,298.15,294.15,298.15,900,900
327600,289.15,303.15,289.15,303.15,900,900
328500,289.15,303.15,289.15,303.15,900,900
329400,289.15,303.15,289.15,303.15,900,900
330300,289.15,303.15,289.15,303.15,900,900
331200,289.15,303.15,289.15,303.15,900,900
332100,289.15,303.15,289.15,303.15,900,900
333000,289.15,303.15,289.15,303.15,900,900
333900,289.15,303.15,289.15,303.15,900,900
334800,289.15,303.15,289.15,303.15,900,900
335700,289.15,303.15,289.15,303.15,900,900
336600,289.15,303.15,289.15,303.15,900,900
337500,289.15,303.15,289.15,303.15,900,900
338400,289.15,303.15,289.15,303.15,900,900
339300,289.15,303.15,289.15,303.15,900,900
340200,289.15,303.15,289.15,303.15,900,900
341100,289.15,303.15,289.15,303.15,900,900
342000,289.15,303.15,289.15,303.15,900,900
342900,289.15,303.15,289.15,303.15,900,900
343800,289.15,303.15,289.15,303.15,900,900
344700,289.15,303.15,289.15,303.15,900,900
345600,289.15,303.15,289.15,303.15,900,900
346500,289.15,303.15,289.15,303.15,900,900
347400,289.15,303.15,289.15,303.15,900,900
348300,289.15,303.15,289.15,303.15,900,900
349200,289.15,303.15,289.15,303.15,900,900
350100,289.15,303.15,289.15,303.15,900,900
351000,289.15,303.15,289.15,303.15,900,900
351900,289.15,303.15,289.15,303.15,900,900
352800,289.15,303.15,289.15,303.15,900,900
353700,289.15,303.15,289.15,303.15,900,900
354600,289.15,303.15,289.15,303.15,900,900
355500,289.15,303.15,289.15,303.15,900,900
356400,289.15,303.15,289.15,303.15,900,900
357300,289.15,303.15,289.15,303.15,900,900
358200,289.15,303.15,289.15,303.15,900,900
359100,289.15,303.15,289.15,303.15,900,900
360000,289.15,303.15,289.15,303.15,900,900
360900,289.15,303.15,289.15,303.15,900,900
361800,289.15,303.15,289.15,303.15,900,900
362700,289.15,303.15,289.15,303.15,900,900
363600,289.15,303.15,289.15,303.15,900,900
364500,289.15,303.15,289.15,303.15,900,900
365400,289.15,303.15,289.15,303.15,900,900
366300,289.15,303.15,289.15,303.15,900,900
367200,289.15,303.15,289.15,303.15,900,900
368100,289.15,303.15,289.15,303.15,900,900
369000,289.15,303.15,289.15,303.15,900,900
369900,289.15,303.15,289.15,303.15,900,900
370800,294.15,298.15,294.15,298.15,900,900
371700,294.15,298.15,294.15,298.15,900,900
372600,294.15,298.15,294.15,298.15,900,900
373500,294.15,298.15,294.15,298.15,900,900
374400,294.15,298.15,294.15,298.15,900,900
375300,294.15,298.15,294.15,298.15,900,900
376200,294.15,298.15,294.15,298.15,900,900
377100,294.15,298.15,294.15,298.15,900,900
378000,294.15,298.15,294.15,298.15,900,900
378900,294.15,298.15,294.15,298.15,900,900
379800,294.15,298.15,294.15,298.15,900,900
380700,294.15,298.15,294.15,298.15,900,900
381600,294.15,298.15,294.15,298.15,900,900
382500,294.15,298.15,294.15,298.15,900,900
383400,294.15,298.15,294.15,298.15,900,900
384300,294.15,298.15,294.15,298.15,900,900
385200,294.15,298.15,294.15,298.15,900,900
386100,294.15,298.15,294.15,298.15,900,900
387000,294.15,298.15,294.15,298.15,900,900
387900,294.15,298.15,294.15,298.15,900,900
388800,294.15,298.15,294.15,298.15,900,900
389700,294.15,298.15,294.15,298.15,900,900
390600,294.15,298.15,294.15,298.15,900,900
391500,294.15,298.15,294.15,298.15,900,900
392400,294.15,298.15,294.15,298.15,900,900
393300,294.15,298.15,294.15,298.15,900,900
394200,294.15,298.15,294.15,298.15,900,900
395100,294.15,298.15,294.15,298.15,900,900
396000,294.15,298.15,294.15,298.15,900,900
396900,294.15,298.15,294.15,298.15,900,900
397800,294.15,298.15,294.15,298.15,900,900
398700,294.15,298.15,294.15,298.15,900,900
399600,294.15,298.15,294.15,298.15,900,900
400500,294.15,298.15,294.15,298.15,900,900
401400,294.15,298.15,294.15,298.15,900,900
402300,294.15,298.15,294.15,298.15,900,900
403200,294.15,298.15,294.15,298.15,900,900
404100,294.15,298.15,294.15,298.15,900,900
405000,294.15,298.15,294.15,298.15,900,900
405900,294.15,298.15,294.15,298.15,900,900
406800,294.15,298.15,294.15,298.15,900,900
407700,294.15,298.15,294.15,298.15,900,900
408600,294.15,298.15,294.15,298.15,900,900
409500,294.15,298.15,294.15,298.15,900,900
410400,294.15,298.15,294.15,298.15,900,900
411300,294.15,298.15,294.15,298.15,900,900
412200,294.15,298.15,294.15,298.15,900,900
413100,294.15,298.15,294.15,298.15,900,900
414000,289.15,303.15,289.15,303.15,900,900
414900,289.15,303.15,289.15,303.15,900,900
415800,289.15,303.15,289.15,303.15,900,900
416700,289.15,303.15,289.15,303.15,900,900
417600,289.15,303.15,289.15,303.15,900,900
418500,289.15,303.15,289.15,303.15,900,900
419400,289.15,303.15,289.15,303.15,900,900
420300,289.15,303.15,289.15,303.15,900,900
421200,289.15,303.15,289.15,303.15,900,900
422100,289.15,303.15,289.15,303.15,900,900
423000,289.15,303.15,289.15,303.15,900,900
423900,289.15,303.15,289.15,303.15,900,900
424800,289.15,303.15,289.15,303.15,900,900
425700,289.15,303.15,289.15,303.15,900,900
426600,289.15,303.15,289.15,303.15,900,900
427500,289.15,303.15,289.15,303.15,900,900
428400,289.15,303.15,289.15,303.15,900,900
429300,289.15,303.15,289.15,303.15,900,900
430200,289.15,303.15,289.15,303.15,900,900
431100,289.15,303.15,289.15,303.15,900,900
432000,289.15,303.15,289.15,303.15,900,900
432900,289.15,303.15,289.15,303.15,900,900
433800,289.15,303.15,289.15,303.15,900,900
434700,289.15,303.15,289.15,303.15,900,900
435600,289.15,303.15,289.15,303.15,900,900
436500,289.15,303.15,289.15,303.15,900,900
437400,289.15,303.15,289.15,303.15,900,900
438300,289.15,303.15,289.15,303.15,900,900
439200,289.15,303.15,289.15,303.15,900,900
440100,289.15,303.15,289.15,303.15,900,900
441000,289.15,303.15,289.15,303.15,900,900
441900,289.15,303.15,289.15,303.15,900,900
442800,289.15,303.15,289.15,303.15,900,900
443700,289.15,303.15,289.15,303.15,900,900
444600,289.15,303.15,289.15,303.15,900,900
445500,289.15,303.15,289.15,303.15,900,900
446400,289.15,303.15,289.15,303.15,900,900
447300,289.15,303.15,289.15,303.15,900,900
448200,289.15,303.15,289.15,303.15,900,900
449100,289.15,303.15,289.15,303.15,900,900
450000,289.15,303.15,289.15,303.15,900,900
450900,289.15,303.15,289.15,303.15,900,900
451800,289.15,303.15,289.15,303.15,900,900
452700,289.15,303.15,289.15,303.15,900,900
453600,289.15,303.15,289.15,303.15,900,900
454500,289.15,303.15,289.15,303.15,900,900
455400,289.15,303.15,289.15,303.15,900,900
456300,289.15,303.15,289.15,303.15,900,900
457200,294.15,298.15,294.15,298.15,900,900
458100,294.15,298.15,294.15,298.15,900,900
459000,294.15,298.15,294.15,298.15,900,900
459900,294.15,298.15,294.15,298.15,900,900
460800,294.15,298.15,294.15,298.15,900,900
461700,294.15,298.15,294.15,298.15,900,900
462600,294.15,298.15,294.15,298.15,900,900
463500,294.15,298.15,294.15,298.15,900,900
464400,294.15,298.15,294.15,298.15,900,900
465300,294.15,298.15,294.15,298.15,900,900
466200,294.15,298.15,294.15,298.15,900,900
467100,294.15,298.15,294.15,298.15,900,900
468000,294.15,298.15,294.15,298.15,900,900
468900,294.15,298.15,294.15,298.15,900,900
469800,294.15,298.15,294.15,298.15,900,900
470700,294.15,298.15,294.15,298.15,900,900
471600,294.15,298.15,294.15,298.15,900,900
472500,294.15,298.15,294.15,298.15,900,900
473400,294.15,298.15,294.15,298.15,900,900
474300,294.15,298.15,294.15,298.15,900,900
475200,294.15,298.15,294.15,298.15,900,900
476100,294.15,298.15,294.15,298.15,900,900
477000,294.15,298.15,294.15,298.15,900,900
477900,294.15,298.15,294.15,298.15,900,900
478800,294.15,298.15,294.15,298.15,900,900
479700,294.15,298.15,294.15,298.15,900,900
480600,294.15,298.15,294.15,298.15,900,900
481500,294.15,298.15,294.15,298.15,900,900
482400,294.15,298.15,294.15,298.15,900,900
483300,294.15,298.15,294.15,298.15,900,900
484200,294.15,298.15,294.15,298.15,900,900
485100,294.15,298.15,294.15,298.15,900,900
486000,294.15,298.15,294.15,298.15,900,900
486900,294.15,298.15,294.15,298.15,900,900
487800,294.15,298.15,294.15,298.15,900,900
488700,294.15,298.15,294.15,298.15,900,900
489600,294.15,298.15,294.15,298.15,900,900
490500,294.15,298.15,294.15,298.15,900,900
491400,294.15,298.15,294.15,298.15,900,900
492300,294.15,298.15,294.15,298.15,900,900
493200,294.15,298.15,294.15,298.15,900,900
494100,294.15,298.15,294.15,298.15,900,900
495000,294.15,298.15,294.15,298.15,900,900
495900,294.15,298.15,294.15,298.15,900,900
496800,294.15,298.15,294.15,298.15,900,900
497700,294.15,298.15,294.15,298.15,900,900
498600,294.15,298.15,294.15,298.15,900,900
499500,294.15,298.15,294.15,298.15,900,900
500400,289.15,303.15,289.15,303.15,900,900
501300,289.15,303.15,289.15,303.15,900,900
502200,289.15,303.15,289.15,303.15,900,900
503100,289.15,303.15,289.15,303.15,900,900
504000,289.15,303.15,289.15,303.15,900,900
504900,289.15,303.15,289.15,303.15,900,900
505800,289.15,303.15,289.15,303.15,900,900
506700,289.15,303.15,289.15,303.15,900,900
507600,289.15,303.15,289.15,303.15,900,900
508500,289.15,303.15,289.15,303.15,900,900
509400,289.15,303.15,289.15,303.15,900,900
510300,289.15,303.15,289.15,303.15,900,900
511200,289.15,303.15,289.15,303.15,900,900
512100,289.15,303.15,289.15,303.15,900,900
513000,289.15,303.15,289.15,303.15,900,900
513900,289.15,303.15,289.15,303.15,900,900
514800,289.15,303.15,289.15,303.15,900,900
515700,289.15,303.15,289.15,303.15,900,900
516600,289.15,303.15,289.15,303.15,900,900
517500,289.15,303.15,289.15,303.15,900,900
518400,289.15,303.15,289.15,303.15,900,900
519300,289.15,303.15,289.15,303.15,900,900
520200,289.15,303.15,289.15,303.15,900,900
521100,289.15,303.15,289.15,303.15,900,900
522000,289.15,303.15,289.15,303.15,900,900
522900,289.15,303.15,289.15,303.15,900,900
523800,289.15,303.15,289.15,303.15,900,900
524700,289.15,303.15,289.15,303.15,900,900
525600,289.15,303.15,289.15,303.15,900,900
526500,289.15,303.15,289.15,303.15,900,900
527400,289.15,303.15,289.15,303.15,900,900
528300,289.15,303.15,289.15,303.15,900,900
529200,289.15,303.15,289.15,303.15,900,900
530100,289.15,303.15,289.15,303.15,900,900
531000,289.15,303.15,289.15,303.15,900,900
531900,289.15,303.15,289.15,303.15,900,900
532800,289.15,303.15,289.15,303.15,900,900
533700,289.15,303.15,289.15,303.15,900,900
534600,289.15,303.15,289.15,303.15,900,900
535500,289.15,303.15,289.15,303.15,900,900
536400,289.15,303.15,289.15,303.15,900,900
537300,289.15,303.15,289.15,303.15,900,900
538200,289.15,303.15,289.15,303.15,900,900
539100,289.15,303.15,289.15,303.15,900,900
540000,289.15,303.15,289.15,303.15,900,900
540900,289.15,303.15,289.15,303.15,900,900
