# Optional header information,,,,,,
# time: time of setpoint [s],,,,,,
# LowerSetp: Heating zone temperature setpoint [K],,,,,,
# UpperSetp: Cooling zone temperature setpoint [K],,,,,,
# UpperCO2: Zone CO2 concentration upper limit [ppm],,,,,,
time,LowerSetp[South],UpperSetp[South],UpperCO2[South],LowerSetp[North],UpperSetp[North],UpperCO2[North]
493200,293.15,296.15,894,294.15,297.15,994
496800,293.15,296.15,894,294.15,297.15,994
500400,293.15,296.15,894,294.15,297.15,994
504000,293.15,296.15,894,294.15,297.15,994
507600,293.15,296.15,894,294.15,297.15,994
511200,293.15,296.15,894,294.15,297.15,994
514800,293.15,296.15,894,294.15,297.15,994
518400,293.15,296.15,894,294.15,297.15,994
522000,293.15,296.15,894,294.15,297.15,994
525600,293.15,296.15,894,294.15,297.15,994
529200,293.15,296.15,894,294.15,297.15,994
532800,293.15,296.15,894,294.15,297.15,994
536400,293.15,296.15,894,294.15,297.15,994
540000,293.15,296.15,894,294.15,297.15,994
543600,293.15,296.15,894,294.15,297.15,994
547200,293.15,296.15,894,294.15,297.15,994
550800,293.15,296.15,894,294.15,297.15,994
554400,293.15,296.15,894,294.15,297.15,994
558000,293.15,296.15,894,294.15,297.15,994
561600,293.15,296.15,894,294.15,297.15,994
565200,293.15,296.15,894,294.15,297.15,994
568800,293.15,296.15,894,294.15,297.15,994
572400,293.15,296.15,894,294.15,297.15,994
576000,293.15,296.15,894,294.15,297.15,994
579600,293.15,296.15,894,294.15,297.15,994
583200,293.15,296.15,894,294.15,297.15,994
586800,293.15,296.15,894,294.15,297.15,994
590400,293.15,296.15,894,294.15,297.15,994
594000,293.15,296.15,894,294.15,297.15,994
597600,293.15,296.15,894,294.15,297.15,994
601200,293.15,296.15,894,294.15,297.15,994
604800,293.15,296.15,894,294.15,297.15,994
608400,293.15,296.15,894,294.15,297.15,994
612000,293.15,296.15,894,294.15,297.15,994
615600,293.15,296.15,894,294.15,297.15,994
619200,293.15,296.15,894,294.15,297.15,994
622800,293.15,296.15,894,294.15,297.15,994
626400,293.15,296.15,894,294.15,297.15,994
630000,293.15,296.15,894,294.15,297.15,994
633600,293.15,296.15,894,294.15,297.15,994
637200,293.15,296.15,894,294.15,297.15,994
640800,293.15,296.15,894,294.15,297.15,994
644400,293.15,296.15,894,294.15,297.15,994
648000,293.15,296.15,894,294.15,297.15,994
651600,293.15,296.15,894,294.15,297.15,994
655200,293.15,296.15,894,294.15,297.15,994
658800,293.15,296.15,894,294.15,297.15,994
662400,293.15,296.15,894,294.15,297.15,994
666000,293.15,296.15,894,294.15,297.15,994
669600,293.15,296.15,894,294.15,297.15,994
673200,293.15,296.15,894,294.15,297.15,994
676800,293.15,296.15,894,294.15,297.15,994
680400,293.15,296.15,894,294.15,297.15,994
684000,293.15,296.15,894,294.15,297.15,994
687600,293.15,296.15,894,294.15,297.15,994
691200,293.15,296.15,894,294.15,297.15,994
694800,293.15,296.15,894,294.15,297.15,994
698400,293.15,296.15,894,294.15,297.15,994
702000,293.15,296.15,894,294.15,297.15,994
705600,293.15,296.15,894,294.15,297.15,994
709200,293.15,296.15,894,294.15,297.15,994
712800,293.15,296.15,894,294.15,297.15,994
716400,293.15,296.15,894,294.15,297.15,994
720000,293.15,296.15,894,294.15,297.15,994
723600,293.15,296.15,894,294.15,297.15,994
727200,293.15,296.15,894,294.15,297.15,994
730800,293.15,296.15,894,294.15,297.15,994
734400,293.15,296.15,894,294.15,297.15,994
738000,293.15,296.15,894,294.15,297.15,994
741600,293.15,296.15,894,294.15,297.15,994
745200,293.15,296.15,894,294.15,297.15,994
748800,293.15,296.15,894,294.15,297.15,994
752400,293.15,296.15,894,294.15,297.15,994
756000,293.15,296.15,894,294.15,297.15,994
759600,293.15,296.15,894,294.15,297.15,994
763200,293.15,296.15,894,294.15,297.15,994
766800,293.15,296.15,894,294.15,297.15,994
770400,293.15,296.15,894,294.15,297.15,994
774000,293.15,296.15,894,294.15,297.15,994
777600,293.15,296.15,894,294.15,297.15,994
781200,293.15,296.15,894,294.15,297.15,994
784800,293.15,296.15,894,294.15,297.15,994
788400,293.15,296.15,894,294.15,297.15,994
792000,293.15,296.15,894,294.15,297.15,994
795600,293.15,296.15,894,294.15,297.15,994
799200,293.15,296.15,894,294.15,297.15,994
802800,293.15,296.15,894,294.15,297.15,994
806400,293.15,296.15,894,294.15,297.15,994
810000,293.15,296.15,894,294.15,297.15,994
813600,293.15,296.15,894,294.15,297.15,994
817200,293.15,296.15,894,294.15,297.15,994
820800,293.15,296.15,894,294.15,297.15,994
824400,293.15,296.15,894,294.15,297.15,994
828000,293.15,296.15,894,294.15,297.15,994
831600,293.15,296.15,894,294.15,297.15,994
835200,293.15,296.15,894,294.15,297.15,994
838800,293.15,296.15,894,294.15,297.15,994
842400,293.15,296.15,894,294.15,297.15,994
846000,293.15,296.15,894,294.15,297.15,994
849600,293.15,296.15,894,294.15,297.15,994
853200,293.15,296.15,894,294.15,297.15,994
856800,293.15,296.15,894,294.15,297.15,994
860400,293.15,296.15,894,294.15,297.15,994
864000,293.15,296.15,894,294.15,297.15,994
867600,293.15,296.15,894,294.15,297.15,994
871200,293.15,296.15,894,294.15,297.15,994
874800,293.15,296.15,894,294.15,297.15,994
878400,293.15,296.15,894,294.15,297.15,994
882000,293.15,296.15,894,294.15,297.15,994
885600,293.15,296.15,894,294.15,297.15,994
889200,293.15,296.15,894,294.15,297.15,994
892800,293.15,296.15,894,294.15,297.15,994
896400,293.15,296.15,894,294.15,297.15,994
900000,293.15,296.15,894,294.15,297.15,994
903600,293.15,296.15,894,294.15,297.15,994
907200,293.15,296.15,894,294.15,297.15,994
910800,293.15,296.15,894,294.15,297.15,994
914400,293.15,296.15,894,294.15,297.15,994
918000,293.15,296.15,894,294.15,297.15,994
921600,293.15,296.15,894,294.15,297.15,994
925200,293.15,296.15,894,294.15,297.15,994
928800,293.15,296.15,894,294.15,297.15,994
932400,293.15,296.15,894,294.15,297.15,994
936000,293.15,296.15,894,294.15,297.15,994
939600,293.15,296.15,894,294.15,297.15,994
943200,293.15,296.15,894,294.15,297.15,994
946800,293.15,296.15,894,294.15,297.15,994
950400,293.15,296.15,894,294.15,297.15,994
954000,293.15,296.15,894,294.15,297.15,994
957600,293.15,296.15,894,294.15,297.15,994
961200,293.15,296.15,894,294.15,297.15,994
964800,293.15,296.15,894,294.15,297.15,994
968400,293.15,296.15,894,294.15,297.15,994
972000,293.15,296.15,894,294.15,297.15,994
975600,293.15,296.15,894,294.15,297.15,994
979200,293.15,296.15,894,294.15,297.15,994
982800,293.15,296.15,894,294.15,297.15,994
986400,293.15,296.15,894,294.15,297.15,994
990000,293.15,296.15,894,294.15,297.15,994
993600,293.15,296.15,894,294.15,297.15,994
997200,293.15,296.15,894,294.15,297.15,994
1000800,293.15,296.15,894,294.15,297.15,994
1004400,293.15,296.15,894,294.15,297.15,994
1008000,293.15,296.15,894,294.15,297.15,994
1011600,293.15,296.15,894,294.15,297.15,994
1015200,293.15,296.15,894,294.15,297.15,994
1018800,293.15,296.15,894,294.15,297.15,994
1022400,293.15,296.15,894,294.15,297.15,994
1026000,293.15,296.15,894,294.15,297.15,994
1029600,293.15,296.15,894,294.15,297.15,994
1033200,293.15,296.15,894,294.15,297.15,994
1036800,293.15,296.15,894,294.15,297.15,994
1040400,293.15,296.15,894,294.15,297.15,994
1044000,293.15,296.15,894,294.15,297.15,994
1047600,293.15,296.15,894,294.15,297.15,994
1051200,293.15,296.15,894,294.15,297.15,994
1054800,293.15,296.15,894,294.15,297.15,994
1058400,293.15,296.15,894,294.15,297.15,994
1062000,293.15,296.15,894,294.15,297.15,994
1065600,293.15,296.15,894,294.15,297.15,994
1069200,293.15,296.15,894,294.15,297.15,994
1072800,293.15,296.15,894,294.15,297.15,994
1076400,293.15,296.15,894,294.15,297.15,994
1080000,293.15,296.15,894,294.15,297.15,994
1083600,293.15,296.15,894,294.15,297.15,994
1087200,293.15,296.15,894,294.15,297.15,994
1090800,293.15,296.15,894,294.15,297.15,994
1094400,293.15,296.15,894,294.15,297.15,994
1098000,293.15,296.15,894,294.15,297.15,994
1101600,293.15,296.15,894,294.15,297.15,994
1105200,293.15,296.15,894,294.15,297.15,994
1108800,293.15,296.15,894,294.15,297.15,994
1112400,293.15,296.15,894,294.15,297.15,994
1116000,293.15,296.15,894,294.15,297.15,994
1119600,293.15,296.15,894,294.15,297.15,994
1123200,293.15,296.15,894,294.15,297.15,994
1126800,293.15,296.15,894,294.15,297.15,994
1130400,293.15,296.15,894,294.15,297.15,994
1134000,293.15,296.15,894,294.15,297.15,994
1137600,293.15,296.15,894,294.15,297.15,994
1141200,293.15,296.15,894,294.15,297.15,994
1144800,293.15,296.15,894,294.15,297.15,994
1148400,293.15,296.15,894,294.15,297.15,994
1152000,293.15,296.15,894,294.15,297.15,994
1155600,293.15,296.15,894,294.15,297.15,994
1159200,293.15,296.15,894,294.15,297.15,994
1162800,293.15,296.15,894,294.15,297.15,994
1166400,293.15,296.15,894,294.15,297.15,994
1170000,293.15,296.15,894,294.15,297.15,994
1173600,293.15,296.15,894,294.15,297.15,994
1177200,293.15,296.15,894,294.15,297.15,994
1180800,293.15,296.15,894,294.15,297.15,994
1184400,293.15,296.15,894,294.15,297.15,994
1188000,293.15,296.15,894,294.15,297.15,994
1191600,293.15,296.15,894,294.15,297.15,994
1195200,293.15,296.15,894,294.15,297.15,994
1198800,293.15,296.15,894,294.15,297.15,994
1202400,293.15,296.15,894,294.15,297.15,994
1206000,293.15,296.15,894,294.15,297.15,994
1209600,293.15,296.15,894,294.15,297.15,994
1213200,293.15,296.15,894,294.15,297.15,994
1216800,293.15,296.15,894,294.15,297.15,994
1220400,293.15,296.15,894,294.15,297.15,994
1224000,293.15,296.15,894,294.15,297.15,994
1227600,293.15,296.15,894,294.15,297.15,994
1231200,293.15,296.15,894,294.15,297.15,994
1234800,293.15,296.15,894,294.15,297.15,994
1238400,293.15,296.15,894,294.15,297.15,994
1242000,293.15,296.15,894,294.15,297.15,994
1245600,293.15,296.15,894,294.15,297.15,994
1249200,293.15,296.15,894,294.15,297.15,994
1252800,293.15,296.15,894,294.15,297.15,994
1256400,293.15,296.15,894,294.15,297.15,994
1260000,293.15,296.15,894,294.15,297.15,994
1263600,293.15,296.15,894,294.15,297.15,994
1267200,293.15,296.15,894,294.15,297.15,994
1270800,293.15,296.15,894,294.15,297.15,994
1274400,293.15,296.15,894,294.15,297.15,994
1278000,293.15,296.15,894,294.15,297.15,994
1281600,293.15,296.15,894,294.15,297.15,994
1285200,293.15,296.15,894,294.15,297.15,994
1288800,293.15,296.15,894,294.15,297.15,994
1292400,293.15,296.15,894,294.15,297.15,994
1296000,293.15,296.15,894,294.15,297.15,994
1299600,293.15,296.15,894,294.15,297.15,994
1303200,293.15,296.15,894,294.15,297.15,994
1306800,293.15,296.15,894,294.15,297.15,994
1310400,293.15,296.15,894,294.15,297.15,994
1314000,293.15,296.15,894,294.15,297.15,994
1317600,293.15,296.15,894,294.15,297.15,994
1321200,293.15,296.15,894,294.15,297.15,994
1324800,293.15,296.15,894,294.15,297.15,994
1328400,293.15,296.15,894,294.15,297.15,994
1332000,293.15,296.15,894,294.15,297.15,994
1335600,293.15,296.15,894,294.15,297.15,994
1339200,293.15,296.15,894,294.15,297.15,994
1342800,293.15,296.15,894,294.15,297.15,994
1346400,293.15,296.15,894,294.15,297.15,994
1350000,293.15,296.15,894,294.15,297.15,994
1353600,293.15,296.15,894,294.15,297.15,994
1357200,293.15,296.15,894,294.15,297.15,994
1360800,293.15,296.15,894,294.15,297.15,994
1364400,293.15,296.15,894,294.15,297.15,994
1368000,293.15,296.15,894,294.15,297.15,994
1371600,293.15,296.15,894,294.15,297.15,994
1375200,293.15,296.15,894,294.15,297.15,994
1378800,293.15,296.15,894,294.15,297.15,994
1382400,293.15,296.15,894,294.15,297.15,994
1386000,293.15,296.15,894,294.15,297.15,994
1389600,293.15,296.15,894,294.15,297.15,994
1393200,293.15,296.15,894,294.15,297.15,994
1396800,293.15,296.15,894,294.15,297.15,994
1400400,293.15,296.15,894,294.15,297.15,994
1404000,293.15,296.15,894,294.15,297.15,994
1407600,293.15,296.15,894,294.15,297.15,994
1411200,293.15,296.15,894,294.15,297.15,994
1414800,293.15,296.15,894,294.15,297.15,994
1418400,293.15,296.15,894,294.15,297.15,994
1422000,293.15,296.15,894,294.15,297.15,994
1425600,293.15,296.15,894,294.15,297.15,994
1429200,293.15,296.15,894,294.15,297.15,994
1432800,293.15,296.15,894,294.15,297.15,994
1436400,293.15,296.15,894,294.15,297.15,994
1440000,293.15,296.15,894,294.15,297.15,994
1443600,293.15,296.15,894,294.15,297.15,994
1447200,293.15,296.15,894,294.15,297.15,994
1450800,293.15,296.15,894,294.15,297.15,994
1454400,293.15,296.15,894,294.15,297.15,994
1458000,293.15,296.15,894,294.15,297.15,994
1461600,293.15,296.15,894,294.15,297.15,994
1465200,293.15,296.15,894,294.15,297.15,994
1468800,293.15,296.15,894,294.15,297.15,994
1472400,293.15,296.15,894,294.15,297.15,994
1476000,293.15,296.15,894,294.15,297.15,994
1479600,293.15,296.15,894,294.15,297.15,994
1483200,293.15,296.15,894,294.15,297.15,994
1486800,293.15,296.15,894,294.15,297.15,994
1490400,293.15,296.15,894,294.15,297.15,994
1494000,293.15,296.15,894,294.15,297.15,994
1497600,293.15,296.15,894,294.15,297.15,994
1501200,293.15,296.15,894,294.15,297.15,994
1504800,293.15,296.15,894,294.15,297.15,994
1508400,293.15,296.15,894,294.15,297.15,994
1512000,293.15,296.15,894,294.15,297.15,994
1515600,293.15,296.15,894,294.15,297.15,994
1519200,293.15,296.15,894,294.15,297.15,994
1522800,293.15,296.15,894,294.15,297.15,994
1526400,293.15,296.15,894,294.15,297.15,994
1530000,293.15,296.15,894,294.15,297.15,994
1533600,293.15,296.15,894,294.15,297.15,994
1537200,293.15,296.15,894,294.15,297.15,994
1540800,293.15,296.15,894,294.15,297.15,994
1544400,293.15,296.15,894,294.15,297.15,994
1548000,293.15,296.15,894,294.15,297.15,994
1551600,293.15,296.15,894,294.15,297.15,994
1555200,293.15,296.15,894,294.15,297.15,994
1558800,293.15,296.15,894,294.15,297.15,994
1562400,293.15,296.15,894,294.15,297.15,994
1566000,293.15,296.15,894,294.15,297.15,994
1569600,293.15,296.15,894,294.15,297.15,994
1573200,293.15,296.15,894,294.15,297.15,994
1576800,293.15,296.15,894,294.15,297.15,994
1580400,293.15,296.15,894,294.15,297.15,994
1584000,293.15,296.15,894,294.15,297.15,994
1587600,293.15,296.15,894,294.15,297.15,994
1591200,293.15,296.15,894,294.15,297.15,994
1594800,293.15,296.15,894,294.15,297.15,994
1598400,293.15,296.15,894,294.15,297.15,994
1602000,293.15,296.15,894,294.15,297.15,994
1605600,293.15,296.15,894,294.15,297.15,994
1609200,293.15,296.15,894,294.15,297.15,994
1612800,293.15,296.15,894,294.15,297.15,994
1616400,293.15,296.15,894,294.15,297.15,994
1620000,293.15,296.15,894,294.15,297.15,994
1623600,293.15,296.15,894,294.15,297.15,994
1627200,293.15,296.15,894,294.15,297.15,994
1630800,293.15,296.15,894,294.15,297.15,994
1634400,293.15,296.15,894,294.15,297.15,994
1638000,293.15,296.15,894,294.15,297.15,994
1641600,293.15,296.15,894,294.15,297.15,994
1645200,293.15,296.15,894,294.15,297.15,994
1648800,293.15,296.15,894,294.15,297.15,994
1652400,293.15,296.15,894,294.15,297.15,994
1656000,293.15,296.15,894,294.15,297.15,994
1659600,293.15,296.15,894,294.15,297.15,994
1663200,293.15,296.15,894,294.15,297.15,994
1666800,293.15,296.15,894,294.15,297.15,994
1670400,293.15,296.15,894,294.15,297.15,994
1674000,293.15,296.15,894,294.15,297.15,994
1677600,293.15,296.15,894,294.15,297.15,994
1681200,293.15,296.15,894,294.15,297.15,994
1684800,293.15,296.15,894,294.15,297.15,994
1688400,293.15,296.15,894,294.15,297.15,994
1692000,293.15,296.15,894,294.15,297.15,994
1695600,293.15,296.15,894,294.15,297.15,994
1699200,293.15,296.15,894,294.15,297.15,994
1702800,293.15,296.15,894,294.15,297.15,994
1706400,293.15,296.15,894,294.15,297.15,994
1710000,293.15,296.15,894,294.15,297.15,994
1713600,293.15,296.15,894,294.15,297.15,994
1717200,293.15,296.15,894,294.15,297.15,994
1720800,293.15,296.15,894,294.15,297.15,994
1724400,293.15,296.15,894,294.15,297.15,994
1728000,293.15,296.15,894,294.15,297.15,994
1731600,293.15,296.15,894,294.15,297.15,994
1735200,293.15,296.15,894,294.15,297.15,994
1738800,293.15,296.15,894,294.15,297.15,994
1742400,293.15,296.15,894,294.15,297.15,994
1746000,293.15,296.15,894,294.15,297.15,994
1749600,293.15,296.15,894,294.15,297.15,994
1753200,293.15,296.15,894,294.15,297.15,994
1756800,293.15,296.15,894,294.15,297.15,994
1760400,293.15,296.15,894,294.15,297.15,994
1764000,293.15,296.15,894,294.15,297.15,994
1767600,293.15,296.15,894,294.15,297.15,994
1771200,293.15,296.15,894,294.15,297.15,994
1774800,293.15,296.15,894,294.15,297.15,994
1778400,293.15,296.15,894,294.15,297.15,994
1782000,293.15,296.15,894,294.15,297.15,994
1785600,293.15,296.15,894,294.15,297.15,994
1789200,293.15,296.15,894,294.15,297.15,994
1792800,293.15,296.15,894,294.15,297.15,994
1796400,293.15,296.15,894,294.15,297.15,994
1800000,293.15,296.15,894,294.15,297.15,994
1803600,293.15,296.15,894,294.15,297.15,994
1807200,293.15,296.15,894,294.15,297.15,994
1810800,293.15,296.15,894,294.15,297.15,994
1814400,293.15,296.15,894,294.15,297.15,994
1818000,293.15,296.15,894,294.15,297.15,994
1821600,293.15,296.15,894,294.15,297.15,994
1825200,293.15,296.15,894,294.15,297.15,994
1828800,293.15,296.15,894,294.15,297.15,994
1832400,293.15,296.15,894,294.15,297.15,994
1836000,293.15,296.15,894,294.15,297.15,994
1839600,293.15,296.15,894,294.15,297.15,994
1843200,293.15,296.15,894,294.15,297.15,994
1846800,293.15,296.15,894,294.15,297.15,994
1850400,293.15,296.15,894,294.15,297.15,994
1854000,293.15,296.15,894,294.15,297.15,994
1857600,293.15,296.15,894,294.15,297.15,994
1861200,293.15,296.15,894,294.15,297.15,994
1864800,293.15,296.15,894,294.15,297.15,994
1868400,293.15,296.15,894,294.15,297.15,994
1872000,293.15,296.15,894,294.15,297.15,994
1875600,293.15,296.15,894,294.15,297.15,994
1879200,293.15,296.15,894,294.15,297.15,994
1882800,293.15,296.15,894,294.15,297.15,994
1886400,293.15,296.15,894,294.15,297.15,994
1890000,293.15,296.15,894,294.15,297.15,994
1893600,293.15,296.15,894,294.15,297.15,994
1897200,293.15,296.15,894,294.15,297.15,994
1900800,293.15,296.15,894,294.15,297.15,994
1904400,293.15,296.15,894,294.15,297.15,994
1908000,293.15,296.15,894,294.15,297.15,994
1911600,293.15,296.15,894,294.15,297.15,994
1915200,293.15,296.15,894,294.15,297.15,994
1918800,293.15,296.15,894,294.15,297.15,994
1922400,293.15,296.15,894,294.15,297.15,994
1926000,293.15,296.15,894,294.15,297.15,994
1929600,293.15,296.15,894,294.15,297.15,994
1933200,293.15,296.15,894,294.15,297.15,994
1936800,293.15,296.15,894,294.15,297.15,994
1940400,293.15,296.15,894,294.15,297.15,994
1944000,293.15,296.15,894,294.15,297.15,994
1947600,293.15,296.15,894,294.15,297.15,994
1951200,293.15,296.15,894,294.15,297.15,994
1954800,293.15,296.15,894,294.15,297.15,994
1958400,293.15,296.15,894,294.15,297.15,994
1962000,293.15,296.15,894,294.15,297.15,994
1965600,293.15,296.15,894,294.15,297.15,994
1969200,293.15,296.15,894,294.15,297.15,994
1972800,293.15,296.15,894,294.15,297.15,994
1976400,293.15,296.15,894,294.15,297.15,994
1980000,293.15,296.15,894,294.15,297.15,994
1983600,293.15,296.15,894,294.15,297.15,994
1987200,293.15,296.15,894,294.15,297.15,994
1990800,293.15,296.15,894,294.15,297.15,994
1994400,293.15,296.15,894,294.15,297.15,994
1998000,293.15,296.15,894,294.15,297.15,994
2001600,293.15,296.15,894,294.15,297.15,994
2005200,293.15,296.15,894,294.15,297.15,994
2008800,293.15,296.15,894,294.15,297.15,994
2012400,293.15,296.15,894,294.15,297.15,994
2016000,293.15,296.15,894,294.15,297.15,994
2019600,293.15,296.15,894,294.15,297.15,994
2023200,293.15,296.15,894,294.15,297.15,994
2026800,293.15,296.15,894,294.15,297.15,994
2030400,293.15,296.15,894,294.15,297.15,994
2034000,293.15,296.15,894,294.15,297.15,994
2037600,293.15,296.15,894,294.15,297.15,994
2041200,293.15,296.15,894,294.15,297.15,994
2044800,293.15,296.15,894,294.15,297.15,994
2048400,293.15,296.15,894,294.15,297.15,994
2052000,293.15,296.15,894,294.15,297.15,994
2055600,293.15,296.15,894,294.15,297.15,994
2059200,293.15,296.15,894,294.15,297.15,994
2062800,293.15,296.15,894,294.15,297.15,994
2066400,293.15,296.15,894,294.15,297.15,994
2070000,293.15,296.15,894,294.15,297.15,994
2073600,293.15,296.15,894,294.15,297.15,994
2077200,293.15,296.15,894,294.15,297.15,994
2080800,293.15,296.15,894,294.15,297.15,994
