# Optional header information,,,,,,
# time: time of internal gain [s],,,,,,
# InternalGainsRad: Radiative internal gains [W],,,,,,
# InternalGainsCon: Convective internal gains [W],,,,,,
# InternalGainsLat: Latent internal gains [W],,,,,,
time,InternalGainsRad[Night],InternalGainsCon[Night],InternalGainsLat[Night],InternalGainsRad[Day],InternalGainsCon[Day],InternalGainsLat[Day]
158400,118.000003,118.000003,20.00000068,118.000003,118.000003,20.00000068
162000,118.000003,118.000003,20.00000068,118.000003,118.000003,20.00000068
165600,118.000003,118.000003,20.00000068,118.000003,118.000003,20.00000068
169200,118.000003,118.000003,20.00000068,118.000003,118.000003,20.00000068
172800,118.000003,118.000003,20.00000068,118.000003,118.000003,20.00000068
176400,118.000003,118.000003,20.00000068,118.000003,118.000003,20.00000068
180000,118.000003,118.000003,20.00000068,118.000003,118.000003,20.00000068
183600,118.000003,118.000003,20.00000068,118.000003,118.000003,20.00000068
187200,118.000003,118.000003,20.00000068,118.000003,118.000003,20.00000068
190800,118.000003,118.000003,20.00000068,118.000003,118.000003,20.00000068
194400,118.000003,118.000003,20.00000068,118.000003,118.000003,20.00000068
198000,118.000003,118.000003,20.00000068,118.000003,118.000003,20.00000068
201600,0,0,0,0,0,0
205200,0,0,0,0,0,0
208800,0,0,0,0,0,0
212400,0,0,0,0,0,0
216000,0,0,0,0,0,0
219600,0,0,0,0,0,0
223200,0,0,0,0,0,0
226800,0,0,0,0,0,0
230400,0,0,0,0,0,0
234000,0,0,0,0,0,0
237600,0,0,0,0,0,0
241200,0,0,0,0,0,0
244800,118.000003,118.000003,20.00000068,118.000003,118.000003,20.00000068
248400,118.000003,118.000003,20.00000068,118.000003,118.000003,20.00000068
252000,118.000003,118.000003,20.00000068,118.000003,118.000003,20.00000068
255600,118.000003,118.000003,20.00000068,118.000003,118.000003,20.00000068
259200,118.000003,118.000003,20.00000068,118.000003,118.000003,20.00000068
262800,118.000003,118.000003,20.00000068,118.000003,118.000003,20.00000068
266400,118.000003,118.000003,20.00000068,118.000003,118.000003,20.00000068
270000,118.000003,118.000003,20.00000068,118.000003,118.000003,20.00000068
273600,118.000003,118.000003,20.00000068,118.000003,118.000003,20.00000068
277200,118.000003,118.000003,20.00000068,118.000003,118.000003,20.00000068
280800,118.000003,118.000003,20.00000068,118.000003,118.000003,20.00000068
284400,118.000003,118.000003,20.00000068,118.000003,118.000003,20.00000068
288000,0,0,0,0,0,0
291600,0,0,0,0,0,0
295200,0,0,0,0,0,0
298800,0,0,0,0,0,0
302400,0,0,0,0,0,0
306000,0,0,0,0,0,0
309600,0,0,0,0,0,0
313200,0,0,0,0,0,0
316800,0,0,0,0,0,0
320400,0,0,0,0,0,0
324000,0,0,0,0,0,0
327600,0,0,0,0,0,0
331200,118.000003,118.000003,20.00000068,118.000003,118.000003,20.00000068
334800,118.000003,118.000003,20.00000068,118.000003,118.000003,20.00000068
338400,118.000003,118.000003,20.00000068,118.000003,118.000003,20.00000068
342000,118.000003,118.000003,20.00000068,118.000003,118.000003,20.00000068
345600,118.000003,118.000003,20.00000068,118.000003,118.000003,20.00000068
349200,118.000003,118.000003,20.00000068,118.000003,118.000003,20.00000068
352800,118.000003,118.000003,20.00000068,118.000003,118.000003,20.00000068
356400,118.000003,118.000003,20.00000068,118.000003,118.000003,20.00000068
360000,118.000003,118.000003,20.00000068,118.000003,118.000003,20.00000068
363600,118.000003,118.000003,20.00000068,118.000003,118.000003,20.00000068
367200,118.000003,118.000003,20.00000068,118.000003,118.000003,20.00000068
370800,118.000003,118.000003,20.00000068,118.000003,118.000003,20.00000068
374400,0,0,0,0,0,0
378000,0,0,0,0,0,0
381600,0,0,0,0,0,0
385200,0,0,0,0,0,0
388800,0,0,0,0,0,0
392400,0,0,0,0,0,0
396000,0,0,0,0,0,0
399600,0,0,0,0,0,0
403200,0,0,0,0,0,0
406800,0,0,0,0,0,0
410400,0,0,0,0,0,0
414000,0,0,0,0,0,0
417600,118.000003,118.000003,20.00000068,118.000003,118.000003,20.00000068
421200,118.000003,118.000003,20.00000068,118.000003,118.000003,20.00000068
424800,118.000003,118.000003,20.00000068,118.000003,118.000003,20.00000068
428400,118.000003,118.000003,20.00000068,118.000003,118.000003,20.00000068
432000,118.000003,118.000003,20.00000068,118.000003,118.000003,20.00000068
435600,118.000003,118.000003,20.00000068,118.000003,118.000003,20.00000068
439200,118.000003,118.000003,20.00000068,118.000003,118.000003,20.00000068
442800,118.000003,118.000003,20.00000068,118.000003,118.000003,20.00000068
446400,118.000003,118.000003,20.00000068,118.000003,118.000003,20.00000068
450000,118.000003,118.000003,20.00000068,118.000003,118.000003,20.00000068
453600,118.000003,118.000003,20.00000068,118.000003,118.000003,20.00000068
457200,118.000003,118.000003,20.00000068,118.000003,118.000003,20.00000068
460800,0,0,0,0,0,0
464400,0,0,0,0,0,0
468000,0,0,0,0,0,0
471600,0,0,0,0,0,0
475200,0,0,0,0,0,0
478800,0,0,0,0,0,0
482400,0,0,0,0,0,0
486000,0,0,0,0,0,0
489600,0,0,0,0,0,0
493200,0,0,0,0,0,0
496800,0,0,0,0,0,0
500400,0,0,0,0,0,0
504000,118.000003,118.000003,20.00000068,118.000003,118.000003,20.00000068
507600,118.000003,118.000003,20.00000068,118.000003,118.000003,20.00000068
511200,118.000003,118.000003,20.00000068,118.000003,118.000003,20.00000068
514800,118.000003,118.000003,20.00000068,118.000003,118.000003,20.00000068
518400,118.000003,118.000003,20.00000068,118.000003,118.000003,20.00000068
522000,118.000003,118.000003,20.00000068,118.000003,118.000003,20.00000068
525600,118.000003,118.000003,20.00000068,118.000003,118.000003,20.00000068
529200,118.000003,118.000003,20.00000068,118.000003,118.000003,20.00000068
532800,118.000003,118.000003,20.00000068,118.000003,118.000003,20.00000068
536400,118.000003,118.000003,20.00000068,118.000003,118.000003,20.00000068
540000,118.000003,118.000003,20.00000068,118.000003,118.000003,20.00000068
543600,118.000003,118.000003,20.00000068,118.000003,118.000003,20.00000068
547200,0,0,0,0,0,0
550800,0,0,0,0,0,0
554400,0,0,0,0,0,0
558000,0,0,0,0,0,0
561600,0,0,0,0,0,0
565200,0,0,0,0,0,0
568800,0,0,0,0,0,0
572400,0,0,0,0,0,0
576000,0,0,0,0,0,0
579600,0,0,0,0,0,0
583200,0,0,0,0,0,0
586800,0,0,0,0,0,0
590400,0,0,0,0,0,0
594000,0,0,0,0,0,0
597600,0,0,0,0,0,0
601200,0,0,0,0,0,0
604800,118.000003,118.000003,20.00000068,118.000003,118.000003,20.00000068
608400,118.000003,118.000003,20.00000068,118.000003,118.000003,20.00000068
612000,118.000003,118.000003,20.00000068,118.000003,118.000003,20.00000068
615600,118.000003,118.000003,20.00000068,118.000003,118.000003,20.00000068
619200,118.000003,118.000003,20.00000068,118.000003,118.000003,20.00000068
622800,118.000003,118.000003,20.00000068,118.000003,118.000003,20.00000068
626400,118.000003,118.000003,20.00000068,118.000003,118.000003,20.00000068
630000,118.000003,118.000003,20.00000068,118.000003,118.000003,20.00000068
633600,0,0,0,0,0,0
637200,0,0,0,0,0,0
640800,0,0,0,0,0,0
644400,0,0,0,0,0,0
648000,0,0,0,0,0,0
651600,0,0,0,0,0,0
655200,0,0,0,0,0,0
658800,0,0,0,0,0,0
662400,0,0,0,0,0,0
666000,0,0,0,0,0,0
669600,0,0,0,0,0,0
673200,0,0,0,0,0,0
676800,118.000003,118.000003,20.00000068,118.000003,118.000003,20.00000068
680400,118.000003,118.000003,20.00000068,118.000003,118.000003,20.00000068
684000,118.000003,118.000003,20.00000068,118.000003,118.000003,20.00000068
687600,118.000003,118.000003,20.00000068,118.000003,118.000003,20.00000068
691200,118.000003,118.000003,20.00000068,118.000003,118.000003,20.00000068
694800,118.000003,118.000003,20.00000068,118.000003,118.000003,20.00000068
698400,118.000003,118.000003,20.00000068,118.000003,118.000003,20.00000068
702000,118.000003,118.000003,20.00000068,118.000003,118.000003,20.00000068
705600,118.000003,118.000003,20.00000068,118.000003,118.000003,20.00000068
709200,118.000003,118.000003,20.00000068,118.000003,118.000003,20.00000068
712800,118.000003,118.000003,20.00000068,118.000003,118.000003,20.00000068
716400,118.000003,118.000003,20.00000068,118.000003,118.000003,20.00000068
720000,0,0,0,0,0,0
723600,0,0,0,0,0,0
727200,0,0,0,0,0,0
730800,0,0,0,0,0,0
734400,0,0,0,0,0,0
738000,0,0,0,0,0,0
741600,0,0,0,0,0,0
745200,0,0,0,0,0,0
748800,0,0,0,0,0,0
752400,0,0,0,0,0,0
756000,0,0,0,0,0,0
759600,0,0,0,0,0,0
763200,118.000003,118.000003,20.00000068,118.000003,118.000003,20.00000068
766800,118.000003,118.000003,20.00000068,118.000003,118.000003,20.00000068
770400,118.000003,118.000003,20.00000068,118.000003,118.000003,20.00000068
774000,118.000003,118.000003,20.00000068,118.000003,118.000003,20.00000068
777600,118.000003,118.000003,20.00000068,118.000003,118.000003,20.00000068
781200,118.000003,118.000003,20.00000068,118.000003,118.000003,20.00000068
784800,118.000003,118.000003,20.00000068,118.000003,118.000003,20.00000068
788400,118.000003,118.000003,20.00000068,118.000003,118.000003,20.00000068
792000,118.000003,118.000003,20.00000068,118.000003,118.000003,20.00000068
795600,118.000003,118.000003,20.00000068,118.000003,118.000003,20.00000068
799200,118.000003,118.000003,20.00000068,118.000003,118.000003,20.00000068
802800,118.000003,118.000003,20.00000068,118.000003,118.000003,20.00000068
806400,0,0,0,0,0,0
810000,0,0,0,0,0,0
813600,0,0,0,0,0,0
817200,0,0,0,0,0,0
820800,0,0,0,0,0,0
824400,0,0,0,0,0,0
828000,0,0,0,0,0,0
831600,0,0,0,0,0,0
835200,0,0,0,0,0,0
838800,0,0,0,0,0,0
842400,0,0,0,0,0,0
846000,0,0,0,0,0,0
849600,118.000003,118.000003,20.00000068,118.000003,118.000003,20.00000068
853200,118.000003,118.000003,20.00000068,118.000003,118.000003,20.00000068
856800,118.000003,118.000003,20.00000068,118.000003,118.000003,20.00000068
860400,118.000003,118.000003,20.00000068,118.000003,118.000003,20.00000068
864000,118.000003,118.000003,20.00000068,118.000003,118.000003,20.00000068
867600,118.000003,118.000003,20.00000068,118.000003,118.000003,20.00000068
871200,118.000003,118.000003,20.00000068,118.000003,118.000003,20.00000068
874800,118.000003,118.000003,20.00000068,118.000003,118.000003,20.00000068
878400,118.000003,118.000003,20.00000068,118.000003,118.000003,20.00000068
882000,118.000003,118.000003,20.00000068,118.000003,118.000003,20.00000068
885600,118.000003,118.000003,20.00000068,118.000003,118.000003,20.00000068
889200,118.000003,118.000003,20.00000068,118.000003,118.000003,20.00000068
892800,0,0,0,0,0,0
896400,0,0,0,0,0,0
900000,0,0,0,0,0,0
903600,0,0,0,0,0,0
907200,0,0,0,0,0,0
910800,0,0,0,0,0,0
914400,0,0,0,0,0,0
918000,0,0,0,0,0,0
921600,0,0,0,0,0,0
925200,0,0,0,0,0,0
928800,0,0,0,0,0,0
932400,0,0,0,0,0,0
936000,118.000003,118.000003,20.00000068,118.000003,118.000003,20.00000068
939600,118.000003,118.000003,20.00000068,118.000003,118.000003,20.00000068
943200,118.000003,118.000003,20.00000068,118.000003,118.000003,20.00000068
946800,118.000003,118.000003,20.00000068,118.000003,118.000003,20.00000068
950400,118.000003,118.000003,20.00000068,118.000003,118.000003,20.00000068
954000,118.000003,118.000003,20.00000068,118.000003,118.000003,20.00000068
957600,118.000003,118.000003,20.00000068,118.000003,118.000003,20.00000068
961200,118.000003,118.000003,20.00000068,118.000003,118.000003,20.00000068
964800,118.000003,118.000003,20.00000068,118.000003,118.000003,20.00000068
968400,118.000003,118.000003,20.00000068,118.000003,118.000003,20.00000068
972000,118.000003,118.000003,20.00000068,118.000003,118.000003,20.00000068
975600,118.000003,118.000003,20.00000068,118.000003,118.000003,20.00000068
979200,0,0,0,0,0,0
982800,0,0,0,0,0,0
986400,0,0,0,0,0,0
990000,0,0,0,0,0,0
993600,0,0,0,0,0,0
997200,0,0,0,0,0,0
1000800,0,0,0,0,0,0
1004400,0,0,0,0,0,0
1008000,0,0,0,0,0,0
1011600,0,0,0,0,0,0
1015200,0,0,0,0,0,0
1018800,0,0,0,0,0,0
1022400,118.000003,118.000003,20.00000068,118.000003,118.000003,20.00000068
1026000,118.000003,118.000003,20.00000068,118.000003,118.000003,20.00000068
1029600,118.000003,118.000003,20.00000068,118.000003,118.000003,20.00000068
1033200,118.000003,118.000003,20.00000068,118.000003,118.000003,20.00000068
1036800,118.000003,118.000003,20.00000068,118.000003,118.000003,20.00000068
1040400,118.000003,118.000003,20.00000068,118.000003,118.000003,20.00000068
1044000,118.000003,118.000003,20.00000068,118.000003,118.000003,20.00000068
1047600,118.000003,118.000003,20.00000068,118.000003,118.000003,20.00000068
1051200,118.000003,118.000003,20.00000068,118.000003,118.000003,20.00000068
1054800,118.000003,118.000003,20.00000068,118.000003,118.000003,20.00000068
1058400,118.000003,118.000003,20.00000068,118.000003,118.000003,20.00000068
1062000,118.000003,118.000003,20.00000068,118.000003,118.000003,20.00000068
1065600,0,0,0,0,0,0
1069200,0,0,0,0,0,0
1072800,0,0,0,0,0,0
1076400,0,0,0,0,0,0
1080000,0,0,0,0,0,0
1083600,0,0,0,0,0,0
1087200,0,0,0,0,0,0
1090800,0,0,0,0,0,0
1094400,0,0,0,0,0,0
1098000,0,0,0,0,0,0
1101600,0,0,0,0,0,0
1105200,0,0,0,0,0,0
1108800,118.000003,118.000003,20.00000068,118.000003,118.000003,20.00000068
1112400,118.000003,118.000003,20.00000068,118.000003,118.000003,20.00000068
1116000,118.000003,118.000003,20.00000068,118.000003,118.000003,20.00000068
1119600,118.000003,118.000003,20.00000068,118.000003,118.000003,20.00000068
1123200,118.000003,118.000003,20.00000068,118.000003,118.000003,20.00000068
1126800,118.000003,118.000003,20.00000068,118.000003,118.000003,20.00000068
1130400,118.000003,118.000003,20.00000068,118.000003,118.000003,20.00000068
1134000,118.000003,118.000003,20.00000068,118.000003,118.000003,20.00000068
1137600,118.000003,118.000003,20.00000068,118.000003,118.000003,20.00000068
1141200,118.000003,118.000003,20.00000068,118.000003,118.000003,20.00000068
1144800,118.000003,118.000003,20.00000068,118.000003,118.000003,20.00000068
1148400,118.000003,118.000003,20.00000068,118.000003,118.000003,20.00000068
1152000,0,0,0,0,0,0
1155600,0,0,0,0,0,0
1159200,0,0,0,0,0,0
1162800,0,0,0,0,0,0
1166400,0,0,0,0,0,0
1170000,0,0,0,0,0,0
1173600,0,0,0,0,0,0
1177200,0,0,0,0,0,0
1180800,0,0,0,0,0,0
1184400,0,0,0,0,0,0
1188000,0,0,0,0,0,0
1191600,0,0,0,0,0,0
1195200,0,0,0,0,0,0
1198800,0,0,0,0,0,0
1202400,0,0,0,0,0,0
1206000,0,0,0,0,0,0
1209600,118.000003,118.000003,20.00000068,118.000003,118.000003,20.00000068
1213200,118.000003,118.000003,20.00000068,118.000003,118.000003,20.00000068
1216800,118.000003,118.000003,20.00000068,118.000003,118.000003,20.00000068
1220400,118.000003,118.000003,20.00000068,118.000003,118.000003,20.00000068
1224000,118.000003,118.000003,20.00000068,118.000003,118.000003,20.00000068
1227600,118.000003,118.000003,20.00000068,118.000003,118.000003,20.00000068
1231200,118.000003,118.000003,20.00000068,118.000003,118.000003,20.00000068
1234800,118.000003,118.000003,20.00000068,118.000003,118.000003,20.00000068
1238400,0,0,0,0,0,0
1242000,0,0,0,0,0,0
1245600,0,0,0,0,0,0
1249200,0,0,0,0,0,0
1252800,0,0,0,0,0,0
1256400,0,0,0,0,0,0
1260000,0,0,0,0,0,0
1263600,0,0,0,0,0,0
1267200,0,0,0,0,0,0
1270800,0,0,0,0,0,0
1274400,0,0,0,0,0,0
1278000,0,0,0,0,0,0
1281600,118.000003,118.000003,20.00000068,118.000003,118.000003,20.00000068
1285200,118.000003,118.000003,20.00000068,118.000003,118.000003,20.00000068
1288800,118.000003,118.000003,20.00000068,118.000003,118.000003,20.00000068
1292400,118.000003,118.000003,20.00000068,118.000003,118.000003,20.00000068
1296000,118.000003,118.000003,20.00000068,118.000003,118.000003,20.00000068
1299600,118.000003,118.000003,20.00000068,118.000003,118.000003,20.00000068
1303200,118.000003,118.000003,20.00000068,118.000003,118.000003,20.00000068
1306800,118.000003,118.000003,20.00000068,118.000003,118.000003,20.00000068
1310400,118.000003,118.000003,20.00000068,118.000003,118.000003,20.00000068
1314000,118.000003,118.000003,20.00000068,118.000003,118.000003,20.00000068
1317600,118.000003,118.000003,20.00000068,118.000003,118.000003,20.00000068
1321200,118.000003,118.000003,20.00000068,118.000003,118.000003,20.00000068
1324800,0,0,0,0,0,0
1328400,0,0,0,0,0,0
1332000,0,0,0,0,0,0
1335600,0,0,0,0,0,0
1339200,0,0,0,0,0,0
1342800,0,0,0,0,0,0
1346400,0,0,0,0,0,0
1350000,0,0,0,0,0,0
1353600,0,0,0,0,0,0
1357200,0,0,0,0,0,0
1360800,0,0,0,0,0,0
1364400,0,0,0,0,0,0
1368000,118.000003,118.000003,20.00000068,118.000003,118.000003,20.00000068
1371600,118.000003,118.000003,20.00000068,118.000003,118.000003,20.00000068
1375200,118.000003,118.000003,20.00000068,118.000003,118.000003,20.00000068
1378800,118.000003,118.000003,20.00000068,118.000003,118.000003,20.00000068
1382400,118.000003,118.000003,20.00000068,118.000003,118.000003,20.00000068
1386000,118.000003,118.000003,20.00000068,118.000003,118.000003,20.00000068
1389600,118.000003,118.000003,20.00000068,118.000003,118.000003,20.00000068
1393200,118.000003,118.000003,20.00000068,118.000003,118.000003,20.00000068
1396800,118.000003,118.000003,20.00000068,118.000003,118.000003,20.00000068
1400400,118.000003,118.000003,20.00000068,118.000003,118.000003,20.00000068
1404000,118.000003,118.000003,20.00000068,118.000003,118.000003,20.00000068
1407600,118.000003,118.000003,20.00000068,118.000003,118.000003,20.00000068
1411200,0,0,0,0,0,0
1414800,0,0,0,0,0,0
1418400,0,0,0,0,0,0
1422000,0,0,0,0,0,0
1425600,0,0,0,0,0,0
1429200,0,0,0,0,0,0
1432800,0,0,0,0,0,0
1436400,0,0,0,0,0,0
1440000,0,0,0,0,0,0
1443600,0,0,0,0,0,0
1447200,0,0,0,0,0,0
1450800,0,0,0,0,0,0
1454400,118.000003,118.000003,20.00000068,118.000003,118.000003,20.00000068
1458000,118.000003,118.000003,20.00000068,118.000003,118.000003,20.00000068
1461600,118.000003,118.000003,20.00000068,118.000003,118.000003,20.00000068
1465200,118.000003,118.000003,20.00000068,118.000003,118.000003,20.00000068
1468800,118.000003,118.000003,20.00000068,118.000003,118.000003,20.00000068
1472400,118.000003,118.000003,20.00000068,118.000003,118.000003,20.00000068
1476000,118.000003,118.000003,20.00000068,118.000003,118.000003,20.00000068
1479600,118.000003,118.000003,20.00000068,118.000003,118.000003,20.00000068
1483200,118.000003,118.000003,20.00000068,118.000003,118.000003,20.00000068
1486800,118.000003,118.000003,20.00000068,118.000003,118.000003,20.00000068
1490400,118.000003,118.000003,20.00000068,118.000003,118.000003,20.00000068
1494000,118.000003,118.000003,20.00000068,118.000003,118.000003,20.00000068
1497600,0,0,0,0,0,0
1501200,0,0,0,0,0,0
1504800,0,0,0,0,0,0
1508400,0,0,0,0,0,0
1512000,0,0,0,0,0,0
1515600,0,0,0,0,0,0
1519200,0,0,0,0,0,0
1522800,0,0,0,0,0,0
1526400,0,0,0,0,0,0
1530000,0,0,0,0,0,0
1533600,0,0,0,0,0,0
1537200,0,0,0,0,0,0
1540800,118.000003,118.000003,20.00000068,118.000003,118.000003,20.00000068
1544400,118.000003,118.000003,20.00000068,118.000003,118.000003,20.00000068
1548000,118.000003,118.000003,20.00000068,118.000003,118.000003,20.00000068
1551600,118.000003,118.000003,20.00000068,118.000003,118.000003,20.00000068
1555200,118.000003,118.000003,20.00000068,118.000003,118.000003,20.00000068
1558800,118.000003,118.000003,20.00000068,118.000003,118.000003,20.00000068
1562400,118.000003,118.000003,20.00000068,118.000003,118.000003,20.00000068
1566000,118.000003,118.000003,20.00000068,118.000003,118.000003,20.00000068
1569600,118.000003,118.000003,20.00000068,118.000003,118.000003,20.00000068
1573200,118.000003,118.000003,20.00000068,118.000003,118.000003,20.00000068
1576800,118.000003,118.000003,20.00000068,118.000003,118.000003,20.00000068
1580400,118.000003,118.000003,20.00000068,118.000003,118.000003,20.00000068
1584000,0,0,0,0,0,0
1587600,0,0,0,0,0,0
1591200,0,0,0,0,0,0
1594800,0,0,0,0,0,0
1598400,0,0,0,0,0,0
1602000,0,0,0,0,0,0
1605600,0,0,0,0,0,0
1609200,0,0,0,0,0,0
1612800,0,0,0,0,0,0
1616400,0,0,0,0,0,0
1620000,0,0,0,0,0,0
1623600,0,0,0,0,0,0
1627200,118.000003,118.000003,20.00000068,118.000003,118.000003,20.00000068
1630800,118.000003,118.000003,20.00000068,118.000003,118.000003,20.00000068
1634400,118.000003,118.000003,20.00000068,118.000003,118.000003,20.00000068
1638000,118.000003,118.000003,20.00000068,118.000003,118.000003,20.00000068
1641600,118.000003,118.000003,20.00000068,118.000003,118.000003,20.00000068
1645200,118.000003,118.000003,20.00000068,118.000003,118.000003,20.00000068
1648800,118.000003,118.000003,20.00000068,118.000003,118.000003,20.00000068
1652400,118.000003,118.000003,20.00000068,118.000003,118.000003,20.00000068
1656000,118.000003,118.000003,20.00000068,118.000003,118.000003,20.00000068
1659600,118.000003,118.000003,20.00000068,118.000003,118.000003,20.00000068
1663200,118.000003,118.000003,20.00000068,118.000003,118.000003,20.00000068
1666800,118.000003,118.000003,20.00000068,118.000003,118.000003,20.00000068
1670400,0,0,0,0,0,0
1674000,0,0,0,0,0,0
1677600,0,0,0,0,0,0
1681200,0,0,0,0,0,0
1684800,0,0,0,0,0,0
1688400,0,0,0,0,0,0
1692000,0,0,0,0,0,0
1695600,0,0,0,0,0,0
1699200,0,0,0,0,0,0
1702800,0,0,0,0,0,0
1706400,0,0,0,0,0,0
1710000,0,0,0,0,0,0
1713600,118.000003,118.000003,20.00000068,118.000003,118.000003,20.00000068
1717200,118.000003,118.000003,20.00000068,118.000003,118.000003,20.00000068
1720800,118.000003,118.000003,20.00000068,118.000003,118.000003,20.00000068
1724400,118.000003,118.000003,20.00000068,118.000003,118.000003,20.00000068
1728000,118.000003,118.000003,20.00000068,118.000003,118.000003,20.00000068
1731600,118.000003,118.000003,20.00000068,118.000003,118.000003,20.00000068
1735200,118.000003,118.000003,20.00000068,118.000003,118.000003,20.00000068
1738800,118.000003,118.000003,20.00000068,118.000003,118.000003,20.00000068
1742400,118.000003,118.000003,20.00000068,118.000003,118.000003,20.00000068
1746000,118.000003,118.000003,20.00000068,118.000003,118.000003,20.00000068
1749600,118.000003,118.000003,20.00000068,118.000003,118.000003,20.00000068
1753200,118.000003,118.000003,20.00000068,118.000003,118.000003,20.00000068
1756800,0,0,0,0,0,0
1760400,0,0,0,0,0,0
1764000,0,0,0,0,0,0
1767600,0,0,0,0,0,0
1771200,0,0,0,0,0,0
1774800,0,0,0,0,0,0
1778400,0,0,0,0,0,0
1782000,0,0,0,0,0,0
1785600,0,0,0,0,0,0
1789200,0,0,0,0,0,0
1792800,0,0,0,0,0,0
1796400,0,0,0,0,0,0
1800000,0,0,0,0,0,0
1803600,0,0,0,0,0,0
1807200,0,0,0,0,0,0
1810800,0,0,0,0,0,0
1814400,118.000003,118.000003,20.00000068,118.000003,118.000003,20.00000068
1818000,118.000003,118.000003,20.00000068,118.000003,118.000003,20.00000068
1821600,118.000003,118.000003,20.00000068,118.000003,118.000003,20.00000068
1825200,118.000003,118.000003,20.00000068,118.000003,118.000003,20.00000068
1828800,118.000003,118.000003,20.00000068,118.000003,118.000003,20.00000068
1832400,118.000003,118.000003,20.00000068,118.000003,118.000003,20.00000068
1836000,118.000003,118.000003,20.00000068,118.000003,118.000003,20.00000068
1839600,118.000003,118.000003,20.00000068,118.000003,118.000003,20.00000068
1843200,0,0,0,0,0,0
1846800,0,0,0,0,0,0
1850400,0,0,0,0,0,0
1854000,0,0,0,0,0,0
1857600,0,0,0,0,0,0
1861200,0,0,0,0,0,0
1864800,0,0,0,0,0,0
1868400,0,0,0,0,0,0
1872000,0,0,0,0,0,0
1875600,0,0,0,0,0,0
1879200,0,0,0,0,0,0
1882800,0,0,0,0,0,0
1886400,118.000003,118.000003,20.00000068,118.000003,118.000003,20.00000068
1890000,118.000003,118.000003,20.00000068,118.000003,118.000003,20.00000068
1893600,118.000003,118.000003,20.00000068,118.000003,118.000003,20.00000068
1897200,118.000003,118.000003,20.00000068,118.000003,118.000003,20.00000068
1900800,118.000003,118.000003,20.00000068,118.000003,118.000003,20.00000068
1904400,118.000003,118.000003,20.00000068,118.000003,118.000003,20.00000068
1908000,118.000003,118.000003,20.00000068,118.000003,118.000003,20.00000068
1911600,118.000003,118.000003,20.00000068,118.000003,118.000003,20.00000068
1915200,118.000003,118.000003,20.00000068,118.000003,118.000003,20.00000068
1918800,118.000003,118.000003,20.00000068,118.000003,118.000003,20.00000068
1922400,118.000003,118.000003,20.00000068,118.000003,118.000003,20.00000068
1926000,118.000003,118.000003,20.00000068,118.000003,118.000003,20.00000068
1929600,0,0,0,0,0,0
1933200,0,0,0,0,0,0
1936800,0,0,0,0,0,0
1940400,0,0,0,0,0,0
1944000,0,0,0,0,0,0
1947600,0,0,0,0,0,0
1951200,0,0,0,0,0,0
1954800,0,0,0,0,0,0
