time,UpperSetp[nZ],LowerSetp[nZ],UpperCO2[nZ],UpperSetp[sZ],LowerSetp[sZ],UpperCO2[sZ]
44100,303.15,289.15,900,303.15,289.15,900
45000,303.15,289.15,900,303.15,289.15,900
45900,303.15,289.15,900,303.15,289.15,900
46800,303.15,289.15,900,303.15,289.15,900
47700,303.15,289.15,900,303.15,289.15,900
48600,303.15,289.15,900,303.15,289.15,900
49500,303.15,289.15,900,303.15,289.15,900
50400,303.15,289.15,900,303.15,289.15,900
51300,303.15,289.15,900,303.15,289.15,900
52200,303.15,289.15,900,303.15,289.15,900
53100,303.15,289.15,900,303.15,289.15,900
54000,303.15,289.15,900,303.15,289.15,900
54900,303.15,289.15,900,303.15,289.15,900
55800,303.15,289.15,900,303.15,289.15,900
56700,303.15,289.15,900,303.15,289.15,900
57600,303.15,289.15,900,303.15,289.15,900
58500,303.15,289.15,900,303.15,289.15,900
59400,303.15,289.15,900,303.15,289.15,900
60300,303.15,289.15,900,303.15,289.15,900
61200,303.15,289.15,900,303.15,289.15,900
62100,303.15,289.15,900,303.15,289.15,900
63000,303.15,289.15,900,303.15,289.15,900
63900,303.15,289.15,900,303.15,289.15,900
64800,303.15,289.15,900,303.15,289.15,900
65700,303.15,289.15,900,303.15,289.15,900
66600,303.15,289.15,900,303.15,289.15,900
67500,303.15,289.15,900,303.15,289.15,900
68400,303.15,289.15,900,303.15,289.15,900
69300,303.15,289.15,900,303.15,289.15,900
70200,303.15,289.15,900,303.15,289.15,900
71100,303.15,289.15,900,303.15,289.15,900
72000,303.15,289.15,900,303.15,289.15,900
72900,303.15,289.15,900,303.15,289.15,900
73800,303.15,289.15,900,303.15,289.15,900
74700,303.15,289.15,900,303.15,289.15,900
75600,303.15,289.15,900,303.15,289.15,900
76500,303.15,289.15,900,303.15,289.15,900
77400,303.15,289.15,900,303.15,289.15,900
78300,303.15,289.15,900,303.15,289.15,900
79200,303.15,289.15,900,303.15,289.15,900
80100,303.15,289.15,900,303.15,289.15,900
81000,303.15,289.15,900,303.15,289.15,900
81900,303.15,289.15,900,303.15,289.15,900
82800,303.15,289.15,900,303.15,289.15,900
83700,303.15,289.15,900,303.15,289.15,900
84600,303.15,289.15,900,303.15,289.15,900
85500,303.15,289.15,900,303.15,289.15,900
86400,303.15,289.15,900,303.15,289.15,900
87300,303.15,289.15,900,303.15,289.15,900
88200,303.15,289.15,900,303.15,289.15,900
89100,303.15,289.15,900,303.15,289.15,900
90000,303.15,289.15,900,303.15,289.15,900
90900,303.15,289.15,900,303.15,289.15,900
91800,303.15,289.15,900,303.15,289.15,900
92700,303.15,289.15,900,303.15,289.15,900
93600,303.15,289.15,900,303.15,289.15,900
94500,303.15,289.15,900,303.15,289.15,900
95400,303.15,289.15,900,303.15,289.15,900
96300,303.15,289.15,900,303.15,289.15,900
97200,303.15,289.15,900,303.15,289.15,900
98100,303.15,289.15,900,303.15,289.15,900
99000,303.15,289.15,900,303.15,289.15,900
99900,303.15,289.15,900,303.15,289.15,900
100800,303.15,289.15,900,303.15,289.15,900
101700,303.15,289.15,900,303.15,289.15,900
102600,303.15,289.15,900,303.15,289.15,900
103500,303.15,289.15,900,303.15,289.15,900
104400,303.15,289.15,900,303.15,289.15,900
105300,303.15,289.15,900,303.15,289.15,900
106200,303.15,289.15,900,303.15,289.15,900
107100,303.15,289.15,900,303.15,289.15,900
108000,303.15,289.15,900,303.15,289.15,900
108900,298.15,294.15,900,298.15,294.15,900
109800,298.15,294.15,900,298.15,294.15,900
110700,298.15,294.15,900,298.15,294.15,900
111600,298.15,294.15,900,298.15,294.15,900
112500,298.15,294.15,900,298.15,294.15,900
113400,298.15,294.15,900,298.15,294.15,900
114300,298.15,294.15,900,298.15,294.15,900
115200,298.15,294.15,900,298.15,294.15,900
116100,298.15,294.15,900,298.15,294.15,900
117000,298.15,294.15,900,298.15,294.15,900
117900,298.15,294.15,900,298.15,294.15,900
118800,298.15,294.15,900,298.15,294.15,900
119700,298.15,294.15,900,298.15,294.15,900
120600,298.15,294.15,900,298.15,294.15,900
121500,298.15,294.15,900,298.15,294.15,900
122400,298.15,294.15,900,298.15,294.15,900
123300,298.15,294.15,900,298.15,294.15,900
124200,298.15,294.15,900,298.15,294.15,900
125100,298.15,294.15,900,298.15,294.15,900
126000,298.15,294.15,900,298.15,294.15,900
126900,298.15,294.15,900,298.15,294.15,900
127800,298.15,294.15,900,298.15,294.15,900
128700,298.15,294.15,900,298.15,294.15,900
129600,298.15,294.15,900,298.15,294.15,900
130500,298.15,294.15,900,298.15,294.15,900
131400,298.15,294.15,900,298.15,294.15,900
132300,298.15,294.15,900,298.15,294.15,900
133200,298.15,294.15,900,298.15,294.15,900
134100,298.15,294.15,900,298.15,294.15,900
135000,298.15,294.15,900,298.15,294.15,900
135900,298.15,294.15,900,298.15,294.15,900
136800,298.15,294.15,900,298.15,294.15,900
137700,298.15,294.15,900,298.15,294.15,900
138600,298.15,294.15,900,298.15,294.15,900
139500,298.15,294.15,900,298.15,294.15,900
140400,298.15,294.15,900,298.15,294.15,900
141300,298.15,294.15,900,298.15,294.15,900
142200,298.15,294.15,900,298.15,294.15,900
143100,298.15,294.15,900,298.15,294.15,900
144000,298.15,294.15,900,298.15,294.15,900
144900,298.15,294.15,900,298.15,294.15,900
145800,298.15,294.15,900,298.15,294.15,900
146700,298.15,294.15,900,298.15,294.15,900
147600,298.15,294.15,900,298.15,294.15,900
148500,298.15,294.15,900,298.15,294.15,900
149400,298.15,294.15,900,298.15,294.15,900
150300,298.15,294.15,900,298.15,294.15,900
151200,298.15,294.15,900,298.15,294.15,900
152100,303.15,289.15,900,303.15,289.15,900
153000,303.15,289.15,900,303.15,289.15,900
153900,303.15,289.15,900,303.15,289.15,900
154800,303.15,289.15,900,303.15,289.15,900
155700,303.15,289.15,900,303.15,289.15,900
156600,303.15,289.15,900,303.15,289.15,900
157500,303.15,289.15,900,303.15,289.15,900
158400,303.15,289.15,900,303.15,289.15,900
159300,303.15,289.15,900,303.15,289.15,900
160200,303.15,289.15,900,303.15,289.15,900
161100,303.15,289.15,900,303.15,289.15,900
162000,303.15,289.15,900,303.15,289.15,900
162900,303.15,289.15,900,303.15,289.15,900
163800,303.15,289.15,900,303.15,289.15,900
164700,303.15,289.15,900,303.15,289.15,900
165600,303.15,289.15,900,303.15,289.15,900
166500,303.15,289.15,900,303.15,289.15,900
167400,303.15,289.15,900,303.15,289.15,900
168300,303.15,289.15,900,303.15,289.15,900
169200,303.15,289.15,900,303.15,289.15,900
170100,303.15,289.15,900,303.15,289.15,900
171000,303.15,289.15,900,303.15,289.15,900
171900,303.15,289.15,900,303.15,289.15,900
172800,303.15,289.15,900,303.15,289.15,900
173700,303.15,289.15,900,303.15,289.15,900
174600,303.15,289.15,900,303.15,289.15,900
175500,303.15,289.15,900,303.15,289.15,900
176400,303.15,289.15,900,303.15,289.15,900
177300,303.15,289.15,900,303.15,289.15,900
178200,303.15,289.15,900,303.15,289.15,900
179100,303.15,289.15,900,303.15,289.15,900
180000,303.15,289.15,900,303.15,289.15,900
180900,303.15,289.15,900,303.15,289.15,900
181800,303.15,289.15,900,303.15,289.15,900
182700,303.15,289.15,900,303.15,289.15,900
183600,303.15,289.15,900,303.15,289.15,900
184500,303.15,289.15,900,303.15,289.15,900
185400,303.15,289.15,900,303.15,289.15,900
186300,303.15,289.15,900,303.15,289.15,900
187200,303.15,289.15,900,303.15,289.15,900
188100,303.15,289.15,900,303.15,289.15,900
189000,303.15,289.15,900,303.15,289.15,900
189900,303.15,289.15,900,303.15,289.15,900
190800,303.15,289.15,900,303.15,289.15,900
191700,298.15,294.15,900,298.15,294.15,900
192600,298.15,294.15,900,298.15,294.15,900
193500,298.15,294.15,900,298.15,294.15,900
194400,298.15,294.15,900,298.15,294.15,900
195300,298.15,294.15,900,298.15,294.15,900
196200,298.15,294.15,900,298.15,294.15,900
197100,298.15,294.15,900,298.15,294.15,900
198000,298.15,294.15,900,298.15,294.15,900
198900,298.15,294.15,900,298.15,294.15,900
199800,298.15,294.15,900,298.15,294.15,900
200700,298.15,294.15,900,298.15,294.15,900
201600,298.15,294.15,900,298.15,294.15,900
202500,298.15,294.15,900,298.15,294.15,900
203400,298.15,294.15,900,298.15,294.15,900
204300,298.15,294.15,900,298.15,294.15,900
205200,298.15,294.15,900,298.15,294.15,900
206100,298.15,294.15,900,298.15,294.15,900
207000,298.15,294.15,900,298.15,294.15,900
207900,298.15,294.15,900,298.15,294.15,900
208800,298.15,294.15,900,298.15,294.15,900
209700,298.15,294.15,900,298.15,294.15,900
210600,298.15,294.15,900,298.15,294.15,900
211500,298.15,294.15,900,298.15,294.15,900
212400,298.15,294.15,900,298.15,294.15,900
213300,298.15,294.15,900,298.15,294.15,900
214200,298.15,294.15,900,298.15,294.15,900
215100,298.15,294.15,900,298.15,294.15,900
216000,298.15,294.15,900,298.15,294.15,900
216900,298.15,294.15,900,298.15,294.15,900
217800,298.15,294.15,900,298.15,294.15,900
218700,298.15,294.15,900,298.15,294.15,900
219600,298.15,294.15,900,298.15,294.15,900
220500,298.15,294.15,900,298.15,294.15,900
221400,298.15,294.15,900,298.15,294.15,900
222300,298.15,294.15,900,298.15,294.15,900
223200,298.15,294.15,900,298.15,294.15,900
224100,298.15,294.15,900,298.15,294.15,900
225000,298.15,294.15,900,298.15,294.15,900
225900,298.15,294.15,900,298.15,294.15,900
226800,298.15,294.15,900,298.15,294.15,900
227700,298.15,294.15,900,298.15,294.15,900
228600,298.15,294.15,900,298.15,294.15,900
229500,298.15,294.15,900,298.15,294.15,900
230400,298.15,294.15,900,298.15,294.15,900
231300,298.15,294.15,900,298.15,294.15,900
232200,298.15,294.15,900,298.15,294.15,900
233100,298.15,294.15,900,298.15,294.15,900
234000,298.15,294.15,900,298.15,294.15,900
234900,303.15,289.15,900,303.15,289.15,900
235800,303.15,289.15,900,303.15,289.15,900
236700,303.15,289.15,900,303.15,289.15,900
237600,303.15,289.15,900,303.15,289.15,900
238500,303.15,289.15,900,303.15,289.15,900
239400,303.15,289.15,900,303.15,289.15,900
240300,303.15,289.15,900,303.15,289.15,900
241200,303.15,289.15,900,303.15,289.15,900
242100,303.15,289.15,900,303.15,289.15,900
243000,303.15,289.15,900,303.15,289.15,900
243900,303.15,289.15,900,303.15,289.15,900
244800,303.15,289.15,900,303.15,289.15,900
245700,303.15,289.15,900,303.15,289.15,900
246600,303.15,289.15,900,303.15,289.15,900
247500,303.15,289.15,900,303.15,289.15,900
248400,303.15,289.15,900,303.15,289.15,900
249300,303.15,289.15,900,303.15,289.15,900
250200,303.15,289.15,900,303.15,289.15,900
251100,303.15,289.15,900,303.15,289.15,900
252000,303.15,289.15,900,303.15,289.15,900
252900,303.15,289.15,900,303.15,289.15,900
253800,303.15,289.15,900,303.15,289.15,900
254700,303.15,289.15,900,303.15,289.15,900
255600,303.15,289.15,900,303.15,289.15,900
256500,303.15,289.15,900,303.15,289.15,900
257400,303.15,289.15,900,303.15,289.15,900
258300,303.15,289.15,900,303.15,289.15,900
259200,303.15,289.15,900,303.15,289.15,900
260100,303.15,289.15,900,303.15,289.15,900
261000,303.15,289.15,900,303.15,289.15,900
261900,303.15,289.15,900,303.15,289.15,900
262800,303.15,289.15,900,303.15,289.15,900
263700,303.15,289.15,900,303.15,289.15,900
264600,303.15,289.15,900,303.15,289.15,900
265500,303.15,289.15,900,303.15,289.15,900
266400,303.15,289.15,900,303.15,289.15,900
267300,303.15,289.15,900,303.15,289.15,900
268200,303.15,289.15,900,303.15,289.15,900
269100,303.15,289.15,900,303.15,289.15,900
270000,303.15,289.15,900,303.15,289.15,900
270900,303.15,289.15,900,303.15,289.15,900
271800,303.15,289.15,900,303.15,289.15,900
272700,303.15,289.15,900,303.15,289.15,900
273600,303.15,289.15,900,303.15,289.15,900
274500,303.15,289.15,900,303.15,289.15,900
275400,303.15,289.15,900,303.15,289.15,900
276300,303.15,289.15,900,303.15,289.15,900
277200,303.15,289.15,900,303.15,289.15,900
278100,303.15,289.15,900,303.15,289.15,900
279000,303.15,289.15,900,303.15,289.15,900
279900,303.15,289.15,900,303.15,289.15,900
280800,303.15,289.15,900,303.15,289.15,900
281700,303.15,289.15,900,303.15,289.15,900
282600,303.15,289.15,900,303.15,289.15,900
283500,303.15,289.15,900,303.15,289.15,900
284400,303.15,289.15,900,303.15,289.15,900
285300,303.15,289.15,900,303.15,289.15,900
286200,303.15,289.15,900,303.15,289.15,900
287100,303.15,289.15,900,303.15,289.15,900
288000,303.15,289.15,900,303.15,289.15,900
288900,303.15,289.15,900,303.15,289.15,900
289800,303.15,289.15,900,303.15,289.15,900
290700,303.15,289.15,900,303.15,289.15,900
291600,303.15,289.15,900,303.15,289.15,900
292500,303.15,289.15,900,303.15,289.15,900
293400,303.15,289.15,900,303.15,289.15,900
294300,303.15,289.15,900,303.15,289.15,900
295200,303.15,289.15,900,303.15,289.15,900
296100,303.15,289.15,900,303.15,289.15,900
297000,303.15,289.15,900,303.15,289.15,900
297900,303.15,289.15,900,303.15,289.15,900
298800,303.15,289.15,900,303.15,289.15,900
299700,303.15,289.15,900,303.15,289.15,900
300600,303.15,289.15,900,303.15,289.15,900
301500,303.15,289.15,900,303.15,289.15,900
302400,303.15,289.15,900,303.15,289.15,900
303300,303.15,289.15,900,303.15,289.15,900
304200,303.15,289.15,900,303.15,289.15,900
305100,303.15,289.15,900,303.15,289.15,900
306000,303.15,289.15,900,303.15,289.15,900
306900,303.15,289.15,900,303.15,289.15,900
307800,303.15,289.15,900,303.15,289.15,900
308700,303.15,289.15,900,303.15,289.15,900
309600,303.15,289.15,900,303.15,289.15,900
310500,303.15,289.15,900,303.15,289.15,900
311400,303.15,289.15,900,303.15,289.15,900
312300,303.15,289.15,900,303.15,289.15,900
313200,303.15,289.15,900,303.15,289.15,900
314100,303.15,289.15,900,303.15,289.15,900
315000,303.15,289.15,900,303.15,289.15,900
315900,303.15,289.15,900,303.15,289.15,900
316800,303.15,289.15,900,303.15,289.15,900
317700,303.15,289.15,900,303.15,289.15,900
318600,303.15,289.15,900,303.15,289.15,900
319500,303.15,289.15,900,303.15,289.15,900
320400,303.15,289.15,900,303.15,289.15,900
321300,303.15,289.15,900,303.15,289.15,900
322200,303.15,289.15,900,303.15,289.15,900
323100,303.15,289.15,900,303.15,289.15,900
324000,303.15,289.15,900,303.15,289.15,900
324900,303.15,289.15,900,303.15,289.15,900
325800,303.15,289.15,900,303.15,289.15,900
326700,303.15,289.15,900,303.15,289.15,900
327600,303.15,289.15,900,303.15,289.15,900
328500,303.15,289.15,900,303.15,289.15,900
329400,303.15,289.15,900,303.15,289.15,900
330300,303.15,289.15,900,303.15,289.15,900
331200,303.15,289.15,900,303.15,289.15,900
332100,303.15,289.15,900,303.15,289.15,900
333000,303.15,289.15,900,303.15,289.15,900
333900,303.15,289.15,900,303.15,289.15,900
334800,303.15,289.15,900,303.15,289.15,900
335700,303.15,289.15,900,303.15,289.15,900
336600,303.15,289.15,900,303.15,289.15,900
337500,303.15,289.15,900,303.15,289.15,900
338400,303.15,289.15,900,303.15,289.15,900
339300,303.15,289.15,900,303.15,289.15,900
340200,303.15,289.15,900,303.15,289.15,900
341100,303.15,289.15,900,303.15,289.15,900
342000,303.15,289.15,900,303.15,289.15,900
342900,303.15,289.15,900,303.15,289.15,900
343800,303.15,289.15,900,303.15,289.15,900
344700,303.15,289.15,900,303.15,289.15,900
345600,303.15,289.15,900,303.15,289.15,900
346500,303.15,289.15,900,303.15,289.15,900
347400,303.15,289.15,900,303.15,289.15,900
348300,303.15,289.15,900,303.15,289.15,900
349200,303.15,289.15,900,303.15,289.15,900
350100,303.15,289.15,900,303.15,289.15,900
351000,303.15,289.15,900,303.15,289.15,900
351900,303.15,289.15,900,303.15,289.15,900
352800,303.15,289.15,900,303.15,289.15,900
353700,303.15,289.15,900,303.15,289.15,900
354600,303.15,289.15,900,303.15,289.15,900
355500,303.15,289.15,900,303.15,289.15,900
356400,303.15,289.15,900,303.15,289.15,900
357300,303.15,289.15,900,303.15,289.15,900
358200,303.15,289.15,900,303.15,289.15,900
359100,303.15,289.15,900,303.15,289.15,900
360000,303.15,289.15,900,303.15,289.15,900
360900,303.15,289.15,900,303.15,289.15,900
361800,303.15,289.15,900,303.15,289.15,900
362700,303.15,289.15,900,303.15,289.15,900
363600,303.15,289.15,900,303.15,289.15,900
364500,303.15,289.15,900,303.15,289.15,900
365400,303.15,289.15,900,303.15,289.15,900
366300,303.15,289.15,900,303.15,289.15,900
367200,303.15,289.15,900,303.15,289.15,900
368100,303.15,289.15,900,303.15,289.15,900
369000,303.15,289.15,900,303.15,289.15,900
369900,303.15,289.15,900,303.15,289.15,900
370800,303.15,289.15,900,303.15,289.15,900
371700,303.15,289.15,900,303.15,289.15,900
372600,303.15,289.15,900,303.15,289.15,900
373500,303.15,289.15,900,303.15,289.15,900
374400,303.15,289.15,900,303.15,289.15,900
375300,303.15,289.15,900,303.15,289.15,900
376200,303.15,289.15,900,303.15,289.15,900
377100,303.15,289.15,900,303.15,289.15,900
378000,303.15,289.15,900,303.15,289.15,900
378900,303.15,289.15,900,303.15,289.15,900
379800,303.15,289.15,900,303.15,289.15,900
380700,303.15,289.15,900,303.15,289.15,900
381600,303.15,289.15,900,303.15,289.15,900
382500,303.15,289.15,900,303.15,289.15,900
383400,303.15,289.15,900,303.15,289.15,900
384300,303.15,289.15,900,303.15,289.15,900
385200,303.15,289.15,900,303.15,289.15,900
386100,303.15,289.15,900,303.15,289.15,900
387000,303.15,289.15,900,303.15,289.15,900
387900,303.15,289.15,900,303.15,289.15,900
388800,303.15,289.15,900,303.15,289.15,900
389700,303.15,289.15,900,303.15,289.15,900
390600,303.15,289.15,900,303.15,289.15,900
391500,303.15,289.15,900,303.15,289.15,900
392400,303.15,289.15,900,303.15,289.15,900
393300,303.15,289.15,900,303.15,289.15,900
394200,303.15,289.15,900,303.15,289.15,900
395100,303.15,289.15,900,303.15,289.15,900
396000,303.15,289.15,900,303.15,289.15,900
396900,303.15,289.15,900,303.15,289.15,900
397800,303.15,289.15,900,303.15,289.15,900
398700,303.15,289.15,900,303.15,289.15,900
399600,303.15,289.15,900,303.15,289.15,900
400500,303.15,289.15,900,303.15,289.15,900
401400,303.15,289.15,900,303.15,289.15,900
402300,303.15,289.15,900,303.15,289.15,900
403200,303.15,289.15,900,303.15,289.15,900
404100,303.15,289.15,900,303.15,289.15,900
405000,303.15,289.15,900,303.15,289.15,900
405900,303.15,289.15,900,303.15,289.15,900
406800,303.15,289.15,900,303.15,289.15,900
407700,303.15,289.15,900,303.15,289.15,900
408600,303.15,289.15,900,303.15,289.15,900
409500,303.15,289.15,900,303.15,289.15,900
410400,303.15,289.15,900,303.15,289.15,900
411300,303.15,289.15,900,303.15,289.15,900
412200,303.15,289.15,900,303.15,289.15,900
413100,303.15,289.15,900,303.15,289.15,900
414000,303.15,289.15,900,303.15,289.15,900
414900,303.15,289.15,900,303.15,289.15,900
415800,303.15,289.15,900,303.15,289.15,900
416700,303.15,289.15,900,303.15,289.15,900
417600,303.15,289.15,900,303.15,289.15,900
418500,303.15,289.15,900,303.15,289.15,900
419400,303.15,289.15,900,303.15,289.15,900
420300,303.15,289.15,900,303.15,289.15,900
421200,303.15,289.15,900,303.15,289.15,900
422100,303.15,289.15,900,303.15,289.15,900
423000,303.15,289.15,900,303.15,289.15,900
423900,303.15,289.15,900,303.15,289.15,900
424800,303.15,289.15,900,303.15,289.15,900
425700,303.15,289.15,900,303.15,289.15,900
426600,303.15,289.15,900,303.15,289.15,900
427500,303.15,289.15,900,303.15,289.15,900
428400,303.15,289.15,900,303.15,289.15,900
429300,303.15,289.15,900,303.15,289.15,900
430200,303.15,289.15,900,303.15,289.15,900
431100,303.15,289.15,900,303.15,289.15,900
432000,303.15,289.15,900,303.15,289.15,900
432900,303.15,289.15,900,303.15,289.15,900
433800,303.15,289.15,900,303.15,289.15,900
434700,303.15,289.15,900,303.15,289.15,900
435600,303.15,289.15,900,303.15,289.15,900
436500,303.15,289.15,900,303.15,289.15,900
437400,303.15,289.15,900,303.15,289.15,900
438300,303.15,289.15,900,303.15,289.15,900
439200,303.15,289.15,900,303.15,289.15,900
440100,298.15,294.15,900,298.15,294.15,900
441000,298.15,294.15,900,298.15,294.15,900
441900,298.15,294.15,900,298.15,294.15,900
442800,298.15,294.15,900,298.15,294.15,900
443700,298.15,294.15,900,298.15,294.15,900
444600,298.15,294.15,900,298.15,294.15,900
445500,298.15,294.15,900,298.15,294.15,900
446400,298.15,294.15,900,298.15,294.15,900
447300,298.15,294.15,900,298.15,294.15,900
448200,298.15,294.15,900,298.15,294.15,900
449100,298.15,294.15,900,298.15,294.15,900
450000,298.15,294.15,900,298.15,294.15,900
450900,298.15,294.15,900,298.15,294.15,900
451800,298.15,294.15,900,298.15,294.15,900
452700,298.15,294.15,900,298.15,294.15,900
453600,298.15,294.15,900,298.15,294.15,900
454500,298.15,294.15,900,298.15,294.15,900
455400,298.15,294.15,900,298.15,294.15,900
456300,298.15,294.15,900,298.15,294.15,900
457200,298.15,294.15,900,298.15,294.15,900
458100,298.15,294.15,900,298.15,294.15,900
459000,298.15,294.15,900,298.15,294.15,900
459900,298.15,294.15,900,298.15,294.15,900
460800,298.15,294.15,900,298.15,294.15,900
461700,298.15,294.15,900,298.15,294.15,900
462600,298.15,294.15,900,298.15,294.15,900
463500,298.15,294.15,900,298.15,294.15,900
464400,298.15,294.15,900,298.15,294.15,900
465300,298.15,294.15,900,298.15,294.15,900
466200,298.15,294.15,900,298.15,294.15,900
467100,298.15,294.15,900,298.15,294.15,900
468000,298.15,294.15,900,298.15,294.15,900
468900,298.15,294.15,900,298.15,294.15,900
469800,298.15,294.15,900,298.15,294.15,900
470700,298.15,294.15,900,298.15,294.15,900
471600,298.15,294.15,900,298.15,294.15,900
472500,298.15,294.15,900,298.15,294.15,900
473400,298.15,294.15,900,298.15,294.15,900
474300,298.15,294.15,900,298.15,294.15,900
475200,298.15,294.15,900,298.15,294.15,900
476100,298.15,294.15,900,298.15,294.15,900
477000,298.15,294.15,900,298.15,294.15,900
477900,298.15,294.15,900,298.15,294.15,900
478800,298.15,294.15,900,298.15,294.15,900
479700,298.15,294.15,900,298.15,294.15,900
480600,298.15,294.15,900,298.15,294.15,900
481500,298.15,294.15,900,298.15,294.15,900
482400,298.15,294.15,900,298.15,294.15,900
483300,303.15,289.15,900,303.15,289.15,900
484200,303.15,289.15,900,303.15,289.15,900
485100,303.15,289.15,900,303.15,289.15,900
486000,303.15,289.15,900,303.15,289.15,900
486900,303.15,289.15,900,303.15,289.15,900
487800,303.15,289.15,900,303.15,289.15,900
488700,303.15,289.15,900,303.15,289.15,900
489600,303.15,289.15,900,303.15,289.15,900
490500,303.15,289.15,900,303.15,289.15,900
491400,303.15,289.15,900,303.15,289.15,900
492300,303.15,289.15,900,303.15,289.15,900
493200,303.15,289.15,900,303.15,289.15,900
494100,303.15,289.15,900,303.15,289.15,900
495000,303.15,289.15,900,303.15,289.15,900
495900,303.15,289.15,900,303.15,289.15,900
496800,303.15,289.15,900,303.15,289.15,900
497700,303.15,289.15,900,303.15,289.15,900
498600,303.15,289.15,900,303.15,289.15,900
499500,303.15,289.15,900,303.15,289.15,900
500400,303.15,289.15,900,303.15,289.15,900
501300,303.15,289.15,900,303.15,289.15,900
502200,303.15,289.15,900,303.15,289.15,900
503100,303.15,289.15,900,303.15,289.15,900
504000,303.15,289.15,900,303.15,289.15,900
504900,303.15,289.15,900,303.15,289.15,900
505800,303.15,289.15,900,303.15,289.15,900
506700,303.15,289.15,900,303.15,289.15,900
507600,303.15,289.15,900,303.15,289.15,900
508500,303.15,289.15,900,303.15,289.15,900
509400,303.15,289.15,900,303.15,289.15,900
510300,303.15,289.15,900,303.15,289.15,900
511200,303.15,289.15,900,303.15,289.15,900
512100,303.15,289.15,900,303.15,289.15,900
513000,303.15,289.15,900,303.15,289.15,900
513900,303.15,289.15,900,303.15,289.15,900
514800,303.15,289.15,900,303.15,289.15,900
515700,303.15,289.15,900,303.15,289.15,900
516600,303.15,289.15,900,303.15,289.15,900
517500,303.15,289.15,900,303.15,289.15,900
518400,303.15,289.15,900,303.15,289.15,900
519300,303.15,289.15,900,303.15,289.15,900
520200,303.15,289.15,900,303.15,289.15,900
521100,303.15,289.15,900,303.15,289.15,900
522000,303.15,289.15,900,303.15,289.15,900
522900,298.15,294.15,900,298.15,294.15,900
523800,298.15,294.15,900,298.15,294.15,900
524700,298.15,294.15,900,298.15,294.15,900
525600,298.15,294.15,900,298.15,294.15,900
526500,298.15,294.15,900,298.15,294.15,900
527400,298.15,294.15,900,298.15,294.15,900
528300,298.15,294.15,900,298.15,294.15,900
529200,298.15,294.15,900,298.15,294.15,900
530100,298.15,294.15,900,298.15,294.15,900
531000,298.15,294.15,900,298.15,294.15,900
531900,298.15,294.15,900,298.15,294.15,900
532800,298.15,294.15,900,298.15,294.15,900
533700,298.15,294.15,900,298.15,294.15,900
534600,298.15,294.15,900,298.15,294.15,900
535500,298.15,294.15,900,298.15,294.15,900
536400,298.15,294.15,900,298.15,294.15,900
537300,298.15,294.15,900,298.15,294.15,900
538200,298.15,294.15,900,298.15,294.15,900
539100,298.15,294.15,900,298.15,294.15,900
540000,298.15,294.15,900,298.15,294.15,900
540900,298.15,294.15,900,298.15,294.15,900
