time,InternalGainsCon[nZ],InternalGainsRad[nZ],InternalGainsLat[nZ],InternalGainsCon[sZ],InternalGainsRad[sZ],InternalGainsLat[sZ]
113400,4380,6570,6750,4380,6570,6750
114300,4380,6570,6750,4380,6570,6750
115200,4380,6570,6750,4380,6570,6750
116100,4623.3335,6935,7125,4623.3335,6935,7125
117000,4623.3335,6935,7125,4623.3335,6935,7125
117900,4623.3335,6935,7125,4623.3335,6935,7125
118800,4623.3335,6935,7125,4623.3335,6935,7125
119700,4866.6665,7300,7500,4866.6665,7300,7500
120600,4866.6665,7300,7500,4866.6665,7300,7500
121500,4866.6665,7300,7500,4866.6665,7300,7500
122400,4866.6665,7300,7500,4866.6665,7300,7500
123300,4866.6665,7300,7500,4866.6665,7300,7500
124200,4866.6665,7300,7500,4866.6665,7300,7500
125100,4866.6665,7300,7500,4866.6665,7300,7500
126000,4866.6665,7300,7500,4866.6665,7300,7500
126900,4380,6570,6750,4380,6570,6750
127800,4380,6570,6750,4380,6570,6750
128700,4380,6570,6750,4380,6570,6750
129600,4380,6570,6750,4380,6570,6750
130500,4380,6570,6750,4380,6570,6750
131400,4380,6570,6750,4380,6570,6750
132300,4380,6570,6750,4380,6570,6750
133200,4380,6570,6750,4380,6570,6750
134100,4866.6665,7300,7500,4866.6665,7300,7500
135000,4866.6665,7300,7500,4866.6665,7300,7500
135900,4866.6665,7300,7500,4866.6665,7300,7500
136800,4866.6665,7300,7500,4866.6665,7300,7500
137700,4380,6570,6750,4380,6570,6750
138600,4380,6570,6750,4380,6570,6750
139500,4380,6570,6750,4380,6570,6750
140400,4380,6570,6750,4380,6570,6750
141300,2920,4380,4500,2920,4380,4500
142200,2920,4380,4500,2920,4380,4500
143100,2920,4380,4500,2920,4380,4500
144000,2920,4380,4500,2920,4380,4500
144900,1946.6667,2920,3000,1946.6667,2920,3000
145800,1946.6667,2920,3000,1946.6667,2920,3000
146700,1946.6667,2920,3000,1946.6667,2920,3000
147600,1946.6667,2920,3000,1946.6667,2920,3000
148500,1460,2190,2250,1460,2190,2250
149400,1460,2190,2250,1460,2190,2250
150300,1460,2190,2250,1460,2190,2250
151200,1460,2190,2250,1460,2190,2250
152100,0,0,0,0,0,0
153000,0,0,0,0,0,0
153900,0,0,0,0,0,0
154800,0,0,0,0,0,0
155700,0,0,0,0,0,0
156600,0,0,0,0,0,0
157500,0,0,0,0,0,0
158400,0,0,0,0,0,0
159300,0,0,0,0,0,0
160200,0,0,0,0,0,0
161100,0,0,0,0,0,0
162000,0,0,0,0,0,0
162900,0,0,0,0,0,0
163800,0,0,0,0,0,0
164700,0,0,0,0,0,0
165600,0,0,0,0,0,0
166500,0,0,0,0,0,0
167400,0,0,0,0,0,0
168300,0,0,0,0,0,0
169200,0,0,0,0,0,0
170100,0,0,0,0,0,0
171000,0,0,0,0,0,0
171900,0,0,0,0,0,0
172800,0,0,0,0,0,0
173700,0,0,0,0,0,0
174600,0,0,0,0,0,0
175500,0,0,0,0,0,0
176400,0,0,0,0,0,0
177300,0,0,0,0,0,0
178200,0,0,0,0,0,0
179100,0,0,0,0,0,0
180000,0,0,0,0,0,0
180900,0,0,0,0,0,0
181800,0,0,0,0,0,0
182700,0,0,0,0,0,0
183600,0,0,0,0,0,0
184500,0,0,0,0,0,0
185400,0,0,0,0,0,0
186300,0,0,0,0,0,0
187200,0,0,0,0,0,0
188100,0,0,0,0,0,0
189000,0,0,0,0,0,0
189900,0,0,0,0,0,0
190800,0,0,0,0,0,0
191700,2920,4380,4500,2920,4380,4500
192600,2920,4380,4500,2920,4380,4500
193500,2920,4380,4500,2920,4380,4500
194400,2920,4380,4500,2920,4380,4500
195300,4380,6570,6750,4380,6570,6750
196200,4380,6570,6750,4380,6570,6750
197100,4380,6570,6750,4380,6570,6750
198000,4380,6570,6750,4380,6570,6750
198900,4623.3335,6935,7125,4623.3335,6935,7125
199800,4623.3335,6935,7125,4623.3335,6935,7125
200700,4623.3335,6935,7125,4623.3335,6935,7125
201600,4623.3335,6935,7125,4623.3335,6935,7125
202500,4866.6665,7300,7500,4866.6665,7300,7500
203400,4866.6665,7300,7500,4866.6665,7300,7500
204300,4866.6665,7300,7500,4866.6665,7300,7500
205200,4866.6665,7300,7500,4866.6665,7300,7500
206100,4866.6665,7300,7500,4866.6665,7300,7500
207000,4866.6665,7300,7500,4866.6665,7300,7500
207900,4866.6665,7300,7500,4866.6665,7300,7500
208800,4866.6665,7300,7500,4866.6665,7300,7500
209700,4380,6570,6750,4380,6570,6750
210600,4380,6570,6750,4380,6570,6750
211500,4380,6570,6750,4380,6570,6750
212400,4380,6570,6750,4380,6570,6750
213300,4380,6570,6750,4380,6570,6750
214200,4380,6570,6750,4380,6570,6750
215100,4380,6570,6750,4380,6570,6750
216000,4380,6570,6750,4380,6570,6750
216900,4866.6665,7300,7500,4866.6665,7300,7500
217800,4866.6665,7300,7500,4866.6665,7300,7500
218700,4866.6665,7300,7500,4866.6665,7300,7500
219600,4866.6665,7300,7500,4866.6665,7300,7500
220500,4380,6570,6750,4380,6570,6750
221400,4380,6570,6750,4380,6570,6750
222300,4380,6570,6750,4380,6570,6750
223200,4380,6570,6750,4380,6570,6750
224100,2920,4380,4500,2920,4380,4500
225000,2920,4380,4500,2920,4380,4500
225900,2920,4380,4500,2920,4380,4500
226800,2920,4380,4500,2920,4380,4500
227700,1946.6667,2920,3000,1946.6667,2920,3000
228600,1946.6667,2920,3000,1946.6667,2920,3000
229500,1946.6667,2920,3000,1946.6667,2920,3000
230400,1946.6667,2920,3000,1946.6667,2920,3000
231300,1460,2190,2250,1460,2190,2250
232200,1460,2190,2250,1460,2190,2250
233100,1460,2190,2250,1460,2190,2250
234000,1460,2190,2250,1460,2190,2250
234900,0,0,0,0,0,0
235800,0,0,0,0,0,0
236700,0,0,0,0,0,0
237600,0,0,0,0,0,0
238500,0,0,0,0,0,0
239400,0,0,0,0,0,0
240300,0,0,0,0,0,0
241200,0,0,0,0,0,0
242100,0,0,0,0,0,0
243000,0,0,0,0,0,0
243900,0,0,0,0,0,0
244800,0,0,0,0,0,0
245700,0,0,0,0,0,0
246600,0,0,0,0,0,0
247500,0,0,0,0,0,0
248400,0,0,0,0,0,0
249300,0,0,0,0,0,0
250200,0,0,0,0,0,0
251100,0,0,0,0,0,0
252000,0,0,0,0,0,0
252900,0,0,0,0,0,0
253800,0,0,0,0,0,0
254700,0,0,0,0,0,0
255600,0,0,0,0,0,0
256500,0,0,0,0,0,0
257400,0,0,0,0,0,0
258300,0,0,0,0,0,0
259200,0,0,0,0,0,0
260100,0,0,0,0,0,0
261000,0,0,0,0,0,0
261900,0,0,0,0,0,0
262800,0,0,0,0,0,0
263700,0,0,0,0,0,0
264600,0,0,0,0,0,0
265500,0,0,0,0,0,0
266400,0,0,0,0,0,0
267300,0,0,0,0,0,0
268200,0,0,0,0,0,0
269100,0,0,0,0,0,0
270000,0,0,0,0,0,0
270900,0,0,0,0,0,0
271800,0,0,0,0,0,0
272700,0,0,0,0,0,0
273600,0,0,0,0,0,0
274500,0,0,0,0,0,0
275400,0,0,0,0,0,0
276300,0,0,0,0,0,0
277200,0,0,0,0,0,0
278100,0,0,0,0,0,0
279000,0,0,0,0,0,0
279900,0,0,0,0,0,0
280800,0,0,0,0,0,0
281700,0,0,0,0,0,0
282600,0,0,0,0,0,0
283500,0,0,0,0,0,0
284400,0,0,0,0,0,0
285300,0,0,0,0,0,0
286200,0,0,0,0,0,0
287100,0,0,0,0,0,0
288000,0,0,0,0,0,0
288900,0,0,0,0,0,0
289800,0,0,0,0,0,0
290700,0,0,0,0,0,0
291600,0,0,0,0,0,0
292500,0,0,0,0,0,0
293400,0,0,0,0,0,0
294300,0,0,0,0,0,0
295200,0,0,0,0,0,0
296100,0,0,0,0,0,0
297000,0,0,0,0,0,0
297900,0,0,0,0,0,0
298800,0,0,0,0,0,0
299700,0,0,0,0,0,0
300600,0,0,0,0,0,0
301500,0,0,0,0,0,0
302400,0,0,0,0,0,0
303300,0,0,0,0,0,0
304200,0,0,0,0,0,0
305100,0,0,0,0,0,0
306000,0,0,0,0,0,0
306900,0,0,0,0,0,0
307800,0,0,0,0,0,0
308700,0,0,0,0,0,0
309600,0,0,0,0,0,0
310500,0,0,0,0,0,0
311400,0,0,0,0,0,0
312300,0,0,0,0,0,0
313200,0,0,0,0,0,0
314100,0,0,0,0,0,0
315000,0,0,0,0,0,0
315900,0,0,0,0,0,0
316800,0,0,0,0,0,0
317700,0,0,0,0,0,0
318600,0,0,0,0,0,0
319500,0,0,0,0,0,0
320400,0,0,0,0,0,0
321300,0,0,0,0,0,0
322200,0,0,0,0,0,0
323100,0,0,0,0,0,0
324000,0,0,0,0,0,0
324900,0,0,0,0,0,0
325800,0,0,0,0,0,0
326700,0,0,0,0,0,0
327600,0,0,0,0,0,0
328500,0,0,0,0,0,0
329400,0,0,0,0,0,0
330300,0,0,0,0,0,0
331200,0,0,0,0,0,0
332100,0,0,0,0,0,0
333000,0,0,0,0,0,0
333900,0,0,0,0,0,0
334800,0,0,0,0,0,0
335700,0,0,0,0,0,0
336600,0,0,0,0,0,0
337500,0,0,0,0,0,0
338400,0,0,0,0,0,0
339300,0,0,0,0,0,0
340200,0,0,0,0,0,0
341100,0,0,0,0,0,0
342000,0,0,0,0,0,0
342900,0,0,0,0,0,0
343800,0,0,0,0,0,0
344700,0,0,0,0,0,0
345600,0,0,0,0,0,0
346500,0,0,0,0,0,0
347400,0,0,0,0,0,0
348300,0,0,0,0,0,0
349200,0,0,0,0,0,0
350100,0,0,0,0,0,0
351000,0,0,0,0,0,0
351900,0,0,0,0,0,0
352800,0,0,0,0,0,0
353700,0,0,0,0,0,0
354600,0,0,0,0,0,0
355500,0,0,0,0,0,0
356400,0,0,0,0,0,0
357300,0,0,0,0,0,0
358200,0,0,0,0,0,0
359100,0,0,0,0,0,0
360000,0,0,0,0,0,0
360900,0,0,0,0,0,0
361800,0,0,0,0,0,0
362700,0,0,0,0,0,0
363600,0,0,0,0,0,0
364500,0,0,0,0,0,0
365400,0,0,0,0,0,0
366300,0,0,0,0,0,0
367200,0,0,0,0,0,0
368100,0,0,0,0,0,0
369000,0,0,0,0,0,0
369900,0,0,0,0,0,0
370800,0,0,0,0,0,0
371700,0,0,0,0,0,0
372600,0,0,0,0,0,0
373500,0,0,0,0,0,0
374400,0,0,0,0,0,0
375300,0,0,0,0,0,0
376200,0,0,0,0,0,0
377100,0,0,0,0,0,0
378000,0,0,0,0,0,0
378900,0,0,0,0,0,0
379800,0,0,0,0,0,0
380700,0,0,0,0,0,0
381600,0,0,0,0,0,0
382500,0,0,0,0,0,0
383400,0,0,0,0,0,0
384300,0,0,0,0,0,0
385200,0,0,0,0,0,0
386100,0,0,0,0,0,0
387000,0,0,0,0,0,0
387900,0,0,0,0,0,0
388800,0,0,0,0,0,0
389700,0,0,0,0,0,0
390600,0,0,0,0,0,0
391500,0,0,0,0,0,0
392400,0,0,0,0,0,0
393300,0,0,0,0,0,0
394200,0,0,0,0,0,0
395100,0,0,0,0,0,0
396000,0,0,0,0,0,0
396900,0,0,0,0,0,0
397800,0,0,0,0,0,0
398700,0,0,0,0,0,0
399600,0,0,0,0,0,0
400500,0,0,0,0,0,0
401400,0,0,0,0,0,0
402300,0,0,0,0,0,0
403200,0,0,0,0,0,0
404100,0,0,0,0,0,0
405000,0,0,0,0,0,0
405900,0,0,0,0,0,0
406800,0,0,0,0,0,0
407700,0,0,0,0,0,0
408600,0,0,0,0,0,0
409500,0,0,0,0,0,0
410400,0,0,0,0,0,0
411300,0,0,0,0,0,0
412200,0,0,0,0,0,0
413100,0,0,0,0,0,0
414000,0,0,0,0,0,0
414900,0,0,0,0,0,0
415800,0,0,0,0,0,0
416700,0,0,0,0,0,0
417600,0,0,0,0,0,0
418500,0,0,0,0,0,0
419400,0,0,0,0,0,0
420300,0,0,0,0,0,0
421200,0,0,0,0,0,0
422100,0,0,0,0,0,0
423000,0,0,0,0,0,0
423900,0,0,0,0,0,0
424800,0,0,0,0,0,0
425700,0,0,0,0,0,0
426600,0,0,0,0,0,0
427500,0,0,0,0,0,0
428400,0,0,0,0,0,0
429300,0,0,0,0,0,0
430200,0,0,0,0,0,0
431100,0,0,0,0,0,0
432000,0,0,0,0,0,0
432900,0,0,0,0,0,0
433800,0,0,0,0,0,0
434700,0,0,0,0,0,0
435600,0,0,0,0,0,0
436500,0,0,0,0,0,0
437400,0,0,0,0,0,0
438300,0,0,0,0,0,0
439200,0,0,0,0,0,0
440100,2920,4380,4500,2920,4380,4500
441000,2920,4380,4500,2920,4380,4500
441900,2920,4380,4500,2920,4380,4500
442800,2920,4380,4500,2920,4380,4500
443700,4380,6570,6750,4380,6570,6750
444600,4380,6570,6750,4380,6570,6750
445500,4380,6570,6750,4380,6570,6750
446400,4380,6570,6750,4380,6570,6750
447300,4623.3335,6935,7125,4623.3335,6935,7125
448200,4623.3335,6935,7125,4623.3335,6935,7125
449100,4623.3335,6935,7125,4623.3335,6935,7125
450000,4623.3335,6935,7125,4623.3335,6935,7125
450900,4866.6665,7300,7500,4866.6665,7300,7500
451800,4866.6665,7300,7500,4866.6665,7300,7500
452700,4866.6665,7300,7500,4866.6665,7300,7500
453600,4866.6665,7300,7500,4866.6665,7300,7500
454500,4866.6665,7300,7500,4866.6665,7300,7500
455400,4866.6665,7300,7500,4866.6665,7300,7500
456300,4866.6665,7300,7500,4866.6665,7300,7500
457200,4866.6665,7300,7500,4866.6665,7300,7500
458100,4380,6570,6750,4380,6570,6750
459000,4380,6570,6750,4380,6570,6750
459900,4380,6570,6750,4380,6570,6750
460800,4380,6570,6750,4380,6570,6750
461700,4380,6570,6750,4380,6570,6750
462600,4380,6570,6750,4380,6570,6750
463500,4380,6570,6750,4380,6570,6750
464400,4380,6570,6750,4380,6570,6750
465300,4866.6665,7300,7500,4866.6665,7300,7500
466200,4866.6665,7300,7500,4866.6665,7300,7500
467100,4866.6665,7300,7500,4866.6665,7300,7500
468000,4866.6665,7300,7500,4866.6665,7300,7500
468900,4380,6570,6750,4380,6570,6750
469800,4380,6570,6750,4380,6570,6750
470700,4380,6570,6750,4380,6570,6750
471600,4380,6570,6750,4380,6570,6750
472500,2920,4380,4500,2920,4380,4500
473400,2920,4380,4500,2920,4380,4500
474300,2920,4380,4500,2920,4380,4500
475200,2920,4380,4500,2920,4380,4500
476100,1946.6667,2920,3000,1946.6667,2920,3000
477000,1946.6667,2920,3000,1946.6667,2920,3000
477900,1946.6667,2920,3000,1946.6667,2920,3000
478800,1946.6667,2920,3000,1946.6667,2920,3000
479700,1460,2190,2250,1460,2190,2250
480600,1460,2190,2250,1460,2190,2250
481500,1460,2190,2250,1460,2190,2250
482400,1460,2190,2250,1460,2190,2250
483300,0,0,0,0,0,0
484200,0,0,0,0,0,0
485100,0,0,0,0,0,0
486000,0,0,0,0,0,0
486900,0,0,0,0,0,0
487800,0,0,0,0,0,0
488700,0,0,0,0,0,0
489600,0,0,0,0,0,0
490500,0,0,0,0,0,0
491400,0,0,0,0,0,0
492300,0,0,0,0,0,0
493200,0,0,0,0,0,0
494100,0,0,0,0,0,0
495000,0,0,0,0,0,0
495900,0,0,0,0,0,0
496800,0,0,0,0,0,0
497700,0,0,0,0,0,0
498600,0,0,0,0,0,0
499500,0,0,0,0,0,0
500400,0,0,0,0,0,0
501300,0,0,0,0,0,0
502200,0,0,0,0,0,0
503100,0,0,0,0,0,0
504000,0,0,0,0,0,0
504900,0,0,0,0,0,0
505800,0,0,0,0,0,0
506700,0,0,0,0,0,0
507600,0,0,0,0,0,0
508500,0,0,0,0,0,0
509400,0,0,0,0,0,0
510300,0,0,0,0,0,0
511200,0,0,0,0,0,0
512100,0,0,0,0,0,0
513000,0,0,0,0,0,0
513900,0,0,0,0,0,0
514800,0,0,0,0,0,0
515700,0,0,0,0,0,0
516600,0,0,0,0,0,0
517500,0,0,0,0,0,0
518400,0,0,0,0,0,0
519300,0,0,0,0,0,0
520200,0,0,0,0,0,0
521100,0,0,0,0,0,0
522000,0,0,0,0,0,0
522900,2920,4380,4500,2920,4380,4500
523800,2920,4380,4500,2920,4380,4500
524700,2920,4380,4500,2920,4380,4500
525600,2920,4380,4500,2920,4380,4500
526500,4380,6570,6750,4380,6570,6750
527400,4380,6570,6750,4380,6570,6750
528300,4380,6570,6750,4380,6570,6750
529200,4380,6570,6750,4380,6570,6750
530100,4623.3335,6935,7125,4623.3335,6935,7125
531000,4623.3335,6935,7125,4623.3335,6935,7125
531900,4623.3335,6935,7125,4623.3335,6935,7125
532800,4623.3335,6935,7125,4623.3335,6935,7125
533700,4866.6665,7300,7500,4866.6665,7300,7500
534600,4866.6665,7300,7500,4866.6665,7300,7500
535500,4866.6665,7300,7500,4866.6665,7300,7500
536400,4866.6665,7300,7500,4866.6665,7300,7500
537300,4866.6665,7300,7500,4866.6665,7300,7500
538200,4866.6665,7300,7500,4866.6665,7300,7500
539100,4866.6665,7300,7500,4866.6665,7300,7500
540000,4866.6665,7300,7500,4866.6665,7300,7500
540900,4380,6570,6750,4380,6570,6750
541800,4380,6570,6750,4380,6570,6750
542700,4380,6570,6750,4380,6570,6750
543600,4380,6570,6750,4380,6570,6750
544500,4380,6570,6750,4380,6570,6750
545400,4380,6570,6750,4380,6570,6750
546300,4380,6570,6750,4380,6570,6750
547200,4380,6570,6750,4380,6570,6750
548100,4866.6665,7300,7500,4866.6665,7300,7500
549000,4866.6665,7300,7500,4866.6665,7300,7500
549900,4866.6665,7300,7500,4866.6665,7300,7500
550800,4866.6665,7300,7500,4866.6665,7300,7500
551700,4380,6570,6750,4380,6570,6750
552600,4380,6570,6750,4380,6570,6750
553500,4380,6570,6750,4380,6570,6750
554400,4380,6570,6750,4380,6570,6750
555300,2920,4380,4500,2920,4380,4500
556200,2920,4380,4500,2920,4380,4500
557100,2920,4380,4500,2920,4380,4500
558000,2920,4380,4500,2920,4380,4500
558900,1946.6667,2920,3000,1946.6667,2920,3000
559800,1946.6667,2920,3000,1946.6667,2920,3000
560700,1946.6667,2920,3000,1946.6667,2920,3000
561600,1946.6667,2920,3000,1946.6667,2920,3000
562500,1460,2190,2250,1460,2190,2250
563400,1460,2190,2250,1460,2190,2250
564300,1460,2190,2250,1460,2190,2250
565200,1460,2190,2250,1460,2190,2250
566100,0,0,0,0,0,0
567000,0,0,0,0,0,0
567900,0,0,0,0,0,0
568800,0,0,0,0,0,0
569700,0,0,0,0,0,0
570600,0,0,0,0,0,0
571500,0,0,0,0,0,0
572400,0,0,0,0,0,0
573300,0,0,0,0,0,0
574200,0,0,0,0,0,0
575100,0,0,0,0,0,0
576000,0,0,0,0,0,0
576900,0,0,0,0,0,0
577800,0,0,0,0,0,0
578700,0,0,0,0,0,0
579600,0,0,0,0,0,0
580500,0,0,0,0,0,0
581400,0,0,0,0,0,0
582300,0,0,0,0,0,0
583200,0,0,0,0,0,0
584100,0,0,0,0,0,0
585000,0,0,0,0,0,0
585900,0,0,0,0,0,0
586800,0,0,0,0,0,0
587700,0,0,0,0,0,0
588600,0,0,0,0,0,0
589500,0,0,0,0,0,0
590400,0,0,0,0,0,0
591300,0,0,0,0,0,0
592200,0,0,0,0,0,0
593100,0,0,0,0,0,0
594000,0,0,0,0,0,0
594900,0,0,0,0,0,0
595800,0,0,0,0,0,0
596700,0,0,0,0,0,0
597600,0,0,0,0,0,0
598500,0,0,0,0,0,0
599400,0,0,0,0,0,0
600300,0,0,0,0,0,0
601200,0,0,0,0,0,0
602100,0,0,0,0,0,0
603000,0,0,0,0,0,0
603900,0,0,0,0,0,0
604800,0,0,0,0,0,0
605700,2920,4380,4500,2920,4380,4500
606600,2920,4380,4500,2920,4380,4500
607500,2920,4380,4500,2920,4380,4500
608400,2920,4380,4500,2920,4380,4500
609300,4380,6570,6750,4380,6570,6750
610200,4380,6570,6750,4380,6570,6750
611100,4380,6570,6750,4380,6570,6750
612000,4380,6570,6750,4380,6570,6750
612900,4623.3335,6935,7125,4623.3335,6935,7125
613800,4623.3335,6935,7125,4623.3335,6935,7125
614700,4623.3335,6935,7125,4623.3335,6935,7125
615600,4623.3335,6935,7125,4623.3335,6935,7125
616500,4866.6665,7300,7500,4866.6665,7300,7500
617400,4866.6665,7300,7500,4866.6665,7300,7500
618300,4866.6665,7300,7500,4866.6665,7300,7500
619200,4866.6665,7300,7500,4866.6665,7300,7500
620100,4866.6665,7300,7500,4866.6665,7300,7500
621000,4866.6665,7300,7500,4866.6665,7300,7500
621900,4866.6665,7300,7500,4866.6665,7300,7500
622800,4866.6665,7300,7500,4866.6665,7300,7500
623700,4380,6570,6750,4380,6570,6750
624600,4380,6570,6750,4380,6570,6750
625500,4380,6570,6750,4380,6570,6750
626400,4380,6570,6750,4380,6570,6750
627300,4380,6570,6750,4380,6570,6750
628200,4380,6570,6750,4380,6570,6750
629100,4380,6570,6750,4380,6570,6750
630000,4380,6570,6750,4380,6570,6750
630900,4866.6665,7300,7500,4866.6665,7300,7500
631800,4866.6665,7300,7500,4866.6665,7300,7500
632700,4866.6665,7300,7500,4866.6665,7300,7500
633600,4866.6665,7300,7500,4866.6665,7300,7500
634500,4380,6570,6750,4380,6570,6750
635400,4380,6570,6750,4380,6570,6750
636300,4380,6570,6750,4380,6570,6750
637200,4380,6570,6750,4380,6570,6750
638100,2920,4380,4500,2920,4380,4500
639000,2920,4380,4500,2920,4380,4500
639900,2920,4380,4500,2920,4380,4500
640800,2920,4380,4500,2920,4380,4500
641700,1946.6667,2920,3000,1946.6667,2920,3000
642600,1946.6667,2920,3000,1946.6667,2920,3000
643500,1946.6667,2920,3000,1946.6667,2920,3000
644400,1946.6667,2920,3000,1946.6667,2920,3000
645300,1460,2190,2250,1460,2190,2250
646200,1460,2190,2250,1460,2190,2250
647100,1460,2190,2250,1460,2190,2250
648000,1460,2190,2250,1460,2190,2250
648900,0,0,0,0,0,0
649800,0,0,0,0,0,0
650700,0,0,0,0,0,0
651600,0,0,0,0,0,0
652500,0,0,0,0,0,0
653400,0,0,0,0,0,0
654300,0,0,0,0,0,0
655200,0,0,0,0,0,0
656100,0,0,0,0,0,0
657000,0,0,0,0,0,0
657900,0,0,0,0,0,0
658800,0,0,0,0,0,0
659700,0,0,0,0,0,0
660600,0,0,0,0,0,0
661500,0,0,0,0,0,0
662400,0,0,0,0,0,0
663300,0,0,0,0,0,0
664200,0,0,0,0,0,0
665100,0,0,0,0,0,0
666000,0,0,0,0,0,0
666900,0,0,0,0,0,0
667800,0,0,0,0,0,0
668700,0,0,0,0,0,0
669600,0,0,0,0,0,0
670500,0,0,0,0,0,0
671400,0,0,0,0,0,0
672300,0,0,0,0,0,0
673200,0,0,0,0,0,0
674100,0,0,0,0,0,0
675000,0,0,0,0,0,0
675900,0,0,0,0,0,0
676800,0,0,0,0,0,0
677700,0,0,0,0,0,0
678600,0,0,0,0,0,0
679500,0,0,0,0,0,0
680400,0,0,0,0,0,0
681300,0,0,0,0,0,0
682200,0,0,0,0,0,0
683100,0,0,0,0,0,0
684000,0,0,0,0,0,0
684900,0,0,0,0,0,0
685800,0,0,0,0,0,0
686700,0,0,0,0,0,0
687600,0,0,0,0,0,0
688500,2920,4380,4500,2920,4380,4500
689400,2920,4380,4500,2920,4380,4500
690300,2920,4380,4500,2920,4380,4500
691200,2920,4380,4500,2920,4380,4500
692100,4380,6570,6750,4380,6570,6750
693000,4380,6570,6750,4380,6570,6750
693900,4380,6570,6750,4380,6570,6750
694800,4380,6570,6750,4380,6570,6750
695700,4623.3335,6935,7125,4623.3335,6935,7125
696600,4623.3335,6935,7125,4623.3335,6935,7125
697500,4623.3335,6935,7125,4623.3335,6935,7125
698400,4623.3335,6935,7125,4623.3335,6935,7125
699300,4866.6665,7300,7500,4866.6665,7300,7500
